,u_years_experience,u_degree,u_senior-level_skill,u_nr_commits,u_nr_languages,u_nr_stars
2000,4.0,0.0,0.9881351,6.0,0.0,1.0
2001,5.0,3.0,0.8420577,6.0,5.0,3.0
2002,9.0,2.0,0.46383548,2.0,2.0,3.0
2003,2.0,2.0,0.015069604,6.0,2.0,4.0
2004,7.0,0.0,0.23474073,6.0,1.0,2.0
2005,2.0,0.0,0.18376303,2.0,10.0,2.0
2006,2.0,1.0,0.45246577,2.0,0.0,4.0
2007,1.0,0.0,0.2689407,6.0,2.0,1.0
2008,0.0,2.0,0.26782298,2.0,4.0,3.0
2009,1.0,0.0,0.9820769,5.0,9.0,5.0
2010,1.0,0.0,0.9322759,4.0,6.0,4.0
2011,6.0,0.0,0.17661035,5.0,17.0,3.0
2012,3.0,0.0,0.39940166,3.0,2.0,0.0
2013,2.0,3.0,0.913303,2.0,5.0,4.0
2014,5.0,2.0,0.9959402,6.0,4.0,0.0
2015,3.0,2.0,0.99287724,4.0,6.0,4.0
2016,0.0,1.0,0.12377107,3.0,2.0,6.0
2017,1.0,0.0,0.9639615,2.0,1.0,2.0
2018,2.0,0.0,0.3072114,5.0,8.0,2.0
2019,8.0,0.0,0.69427454,4.0,1.0,2.0
2020,0.0,0.0,0.44141138,3.0,2.0,5.0
2021,2.0,0.0,0.4645362,2.0,2.0,2.0
2022,4.0,0.0,0.39517307,3.0,1.0,7.0
2023,4.0,0.0,0.44043577,5.0,20.0,2.0
2024,5.0,2.0,0.6696216,3.0,3.0,3.0
2025,4.0,0.0,0.69790184,4.0,1.0,1.0
2026,6.0,0.0,0.8956578,4.0,3.0,4.0
2027,2.0,2.0,0.82902336,2.0,3.0,2.0
2028,3.0,2.0,0.8389182,1.0,14.0,1.0
2029,3.0,1.0,0.21977186,8.0,2.0,8.0
2030,1.0,0.0,0.5395136,3.0,2.0,4.0
2031,2.0,0.0,0.54589915,3.0,1.0,2.0
2032,3.0,0.0,0.28775072,0.0,1.0,3.0
2033,1.0,2.0,0.7069192,5.0,3.0,8.0
2034,1.0,0.0,0.484048,7.0,5.0,6.0
2035,5.0,0.0,0.5194013,5.0,9.0,3.0
2036,4.0,0.0,0.07471633,2.0,0.0,7.0
2037,0.0,2.0,0.36825645,6.0,5.0,2.0
2038,2.0,2.0,0.44434524,5.0,1.0,6.0
2039,1.0,2.0,0.8632585,6.0,1.0,0.0
2040,3.0,3.0,0.87909746,2.0,12.0,4.0
2041,2.0,2.0,0.5107342,2.0,3.0,7.0
2042,4.0,0.0,0.19194448,8.0,4.0,6.0
2043,5.0,0.0,0.256662,2.0,7.0,8.0
2044,0.0,2.0,0.6432415,4.0,1.0,7.0
2045,2.0,1.0,0.41420257,8.0,5.0,7.0
2046,3.0,3.0,0.62778354,5.0,3.0,6.0
2047,2.0,1.0,0.027053952,6.0,0.0,5.0
2048,0.0,2.0,0.99411297,2.0,0.0,3.0
2049,3.0,3.0,0.29689205,2.0,0.0,4.0
2050,3.0,2.0,0.79082346,1.0,8.0,1.0
2051,2.0,0.0,0.062252402,6.0,5.0,7.0
2052,3.0,1.0,0.7873789,8.0,1.0,3.0
2053,4.0,0.0,0.65819573,8.0,2.0,7.0
2054,1.0,0.0,0.5516772,2.0,3.0,2.0
2055,2.0,2.0,0.94234383,6.0,2.0,0.0
2056,4.0,3.0,0.6228938,3.0,5.0,3.0
2057,7.0,0.0,0.69179904,3.0,9.0,6.0
2058,1.0,0.0,0.9377667,1.0,3.0,5.0
2059,2.0,0.0,0.8236289,4.0,14.0,1.0
2060,4.0,0.0,0.20086312,8.0,1.0,8.0
2061,2.0,2.0,0.7597773,4.0,1.0,6.0
2062,1.0,0.0,0.95709217,2.0,8.0,5.0
2063,5.0,2.0,0.84135485,9.0,1.0,11.0
2064,2.0,2.0,0.10474539,2.0,0.0,3.0
2065,0.0,1.0,0.9662132,6.0,7.0,2.0
2066,5.0,0.0,0.9540986,5.0,7.0,2.0
2067,1.0,0.0,0.38391912,5.0,4.0,9.0
2068,4.0,0.0,0.03733158,5.0,0.0,3.0
2069,1.0,0.0,0.7800349,1.0,5.0,3.0
2070,1.0,0.0,0.2786969,1.0,4.0,2.0
2071,2.0,1.0,0.19432247,3.0,5.0,4.0
2072,3.0,0.0,0.6113814,1.0,2.0,5.0
2073,1.0,0.0,0.67151415,4.0,1.0,2.0
2074,1.0,2.0,0.5067644,7.0,12.0,2.0
2075,2.0,0.0,0.9816408,5.0,2.0,5.0
2076,2.0,2.0,0.75625443,5.0,6.0,4.0
2077,0.0,0.0,0.37650192,2.0,2.0,11.0
2078,3.0,2.0,0.32769775,6.0,2.0,4.0
2079,6.0,0.0,0.79393613,4.0,2.0,3.0
2080,3.0,2.0,0.8483945,5.0,8.0,4.0
2081,0.0,0.0,0.65976655,2.0,9.0,2.0
2082,2.0,0.0,0.3053162,4.0,3.0,3.0
2083,1.0,0.0,0.084192276,2.0,1.0,1.0
2084,1.0,0.0,0.537349,4.0,0.0,6.0
2085,6.0,1.0,0.4935677,3.0,0.0,2.0
2086,2.0,1.0,0.23804307,5.0,6.0,1.0
2087,2.0,3.0,0.21672475,5.0,7.0,2.0
2088,4.0,0.0,0.857996,6.0,2.0,0.0
2089,3.0,1.0,0.9286523,5.0,5.0,2.0
2090,0.0,1.0,0.8224462,5.0,10.0,7.0
2091,2.0,1.0,0.09089267,7.0,5.0,1.0
2092,6.0,1.0,0.48158085,2.0,6.0,1.0
2093,5.0,0.0,0.87769973,4.0,2.0,5.0
2094,7.0,2.0,0.12654197,4.0,6.0,2.0
2095,5.0,0.0,0.0865711,5.0,0.0,3.0
2096,4.0,2.0,0.41318178,4.0,7.0,9.0
2097,8.0,1.0,0.16858923,6.0,0.0,1.0
2098,1.0,1.0,0.779968,0.0,0.0,1.0
2099,3.0,0.0,0.2735486,2.0,1.0,0.0
2100,0.0,0.0,0.78663504,2.0,3.0,9.0
2101,3.0,1.0,0.18382144,1.0,2.0,5.0
2102,7.0,1.0,0.9898459,2.0,2.0,3.0
2103,4.0,0.0,0.31874323,5.0,4.0,6.0
2104,1.0,1.0,0.041435003,3.0,3.0,6.0
2105,6.0,0.0,0.44252813,2.0,2.0,4.0
2106,2.0,2.0,0.068439126,5.0,6.0,3.0
2107,6.0,0.0,0.08598864,7.0,1.0,7.0
2108,1.0,0.0,0.8096529,2.0,1.0,6.0
2109,2.0,2.0,0.0018222332,5.0,2.0,1.0
2110,5.0,0.0,0.34580112,0.0,6.0,0.0
2111,4.0,2.0,0.16975176,1.0,0.0,1.0
2112,4.0,0.0,0.09857583,3.0,3.0,1.0
2113,1.0,2.0,0.30892336,7.0,5.0,0.0
2114,6.0,1.0,0.54869807,4.0,7.0,1.0
2115,6.0,0.0,0.13953519,5.0,2.0,1.0
2116,5.0,0.0,0.16919422,4.0,12.0,2.0
2117,2.0,2.0,0.30783093,6.0,4.0,2.0
2118,2.0,2.0,0.6421021,2.0,0.0,8.0
2119,4.0,0.0,0.16688919,2.0,0.0,6.0
2120,2.0,2.0,0.8342638,2.0,0.0,2.0
2121,3.0,2.0,0.46691918,4.0,1.0,10.0
2122,6.0,2.0,0.9571663,7.0,6.0,3.0
2123,3.0,3.0,0.5600314,3.0,4.0,1.0
2124,0.0,2.0,0.0484339,4.0,4.0,7.0
2125,2.0,2.0,0.00062799454,7.0,21.0,4.0
2126,6.0,0.0,0.14030123,4.0,7.0,5.0
2127,1.0,3.0,0.63357484,4.0,5.0,7.0
2128,0.0,0.0,0.93377674,4.0,4.0,3.0
2129,3.0,1.0,0.5640825,7.0,3.0,5.0
2130,6.0,0.0,0.8372599,4.0,3.0,3.0
2131,4.0,0.0,0.8357867,6.0,3.0,7.0
2132,1.0,3.0,0.74683857,3.0,2.0,8.0
2133,2.0,1.0,0.6427369,4.0,1.0,1.0
2134,4.0,1.0,0.056887627,3.0,5.0,2.0
2135,4.0,0.0,0.14321053,10.0,0.0,3.0
2136,1.0,3.0,0.33884704,8.0,1.0,5.0
2137,1.0,1.0,0.41228318,3.0,3.0,3.0
2138,2.0,0.0,0.22984159,6.0,0.0,2.0
2139,3.0,1.0,0.74259794,5.0,6.0,3.0
2140,1.0,3.0,0.25995743,4.0,5.0,7.0
2141,2.0,1.0,0.1926266,4.0,6.0,9.0
2142,1.0,1.0,0.44752705,2.0,2.0,0.0
2143,0.0,0.0,0.63805556,4.0,8.0,4.0
2144,6.0,1.0,0.42619157,2.0,0.0,3.0
2145,3.0,1.0,0.07258415,4.0,1.0,2.0
2146,4.0,1.0,0.2928214,1.0,0.0,3.0
2147,2.0,2.0,0.05117905,4.0,8.0,7.0
2148,2.0,2.0,0.26485682,6.0,2.0,4.0
2149,2.0,0.0,0.725898,3.0,4.0,2.0
2150,2.0,2.0,0.91435254,1.0,2.0,1.0
2151,0.0,3.0,0.41743922,5.0,3.0,3.0
2152,6.0,2.0,0.7481549,3.0,14.0,9.0
2153,1.0,2.0,0.41264915,6.0,2.0,5.0
2154,5.0,0.0,0.97867894,5.0,4.0,9.0
2155,6.0,0.0,0.12754798,2.0,4.0,3.0
2156,2.0,3.0,0.794412,4.0,5.0,2.0
2157,2.0,0.0,0.03986621,1.0,5.0,5.0
2158,1.0,3.0,0.26550472,4.0,4.0,8.0
2159,8.0,2.0,0.3725884,3.0,1.0,2.0
2160,2.0,3.0,0.56593835,5.0,0.0,5.0
2161,6.0,1.0,0.6493335,1.0,6.0,2.0
2162,1.0,2.0,0.5058191,6.0,2.0,5.0
2163,2.0,2.0,0.42011797,4.0,7.0,2.0
2164,2.0,2.0,0.9400971,3.0,6.0,4.0
2165,4.0,2.0,0.5830045,5.0,8.0,4.0
2166,7.0,1.0,0.47242606,4.0,1.0,4.0
2167,3.0,2.0,0.61066043,3.0,4.0,7.0
2168,2.0,2.0,0.5428492,5.0,10.0,3.0
2169,2.0,1.0,0.14210808,4.0,6.0,13.0
2170,3.0,0.0,0.832883,7.0,2.0,8.0
2171,3.0,3.0,0.105790734,6.0,5.0,0.0
2172,2.0,2.0,0.41130173,4.0,0.0,2.0
2173,6.0,0.0,0.41532898,6.0,9.0,8.0
2174,2.0,2.0,0.8883077,2.0,11.0,8.0
2175,2.0,2.0,0.5886302,2.0,3.0,4.0
2176,3.0,0.0,0.3071941,3.0,5.0,6.0
2177,1.0,1.0,0.65752184,7.0,2.0,8.0
2178,3.0,0.0,0.014287829,10.0,2.0,13.0
2179,2.0,1.0,0.8121166,9.0,6.0,4.0
2180,4.0,0.0,0.6593983,4.0,3.0,2.0
2181,5.0,1.0,0.89240193,7.0,1.0,1.0
2182,2.0,0.0,0.5337348,1.0,2.0,5.0
2183,1.0,2.0,0.4301983,5.0,3.0,7.0
2184,1.0,1.0,0.25528204,2.0,2.0,4.0
2185,4.0,2.0,0.8922925,4.0,7.0,6.0
2186,0.0,0.0,0.055267215,5.0,13.0,3.0
2187,1.0,0.0,0.79822195,3.0,10.0,3.0
2188,4.0,2.0,0.80638313,1.0,3.0,4.0
2189,1.0,0.0,0.05973804,5.0,3.0,4.0
2190,4.0,1.0,0.8416029,1.0,4.0,2.0
2191,1.0,2.0,0.45255816,1.0,2.0,0.0
2192,3.0,0.0,0.027270913,3.0,3.0,1.0
2193,2.0,2.0,0.1459521,4.0,2.0,4.0
2194,2.0,3.0,0.19304955,6.0,8.0,3.0
2195,3.0,0.0,0.35211253,1.0,4.0,2.0
2196,5.0,1.0,0.97147775,4.0,1.0,3.0
2197,3.0,0.0,0.96346533,4.0,6.0,6.0
2198,3.0,0.0,0.4014926,4.0,1.0,4.0
2199,5.0,0.0,0.99003077,3.0,0.0,7.0
2200,2.0,3.0,0.61076546,5.0,2.0,2.0
2201,4.0,1.0,0.18946075,5.0,3.0,1.0
2202,9.0,2.0,0.11231816,6.0,1.0,4.0
2203,0.0,0.0,0.22808194,4.0,2.0,6.0
2204,0.0,1.0,0.53820574,9.0,5.0,4.0
2205,2.0,0.0,0.8672644,8.0,3.0,2.0
2206,3.0,0.0,0.013271928,1.0,11.0,1.0
2207,4.0,2.0,0.2986672,3.0,6.0,7.0
2208,3.0,2.0,0.56769633,6.0,7.0,7.0
2209,3.0,1.0,0.8259369,1.0,14.0,4.0
2210,3.0,2.0,0.27689862,9.0,1.0,5.0
2211,1.0,2.0,0.9565966,1.0,6.0,5.0
2212,0.0,2.0,0.59641373,6.0,2.0,4.0
