ix,goal_cost,intv_cost
19240,0.8949999809265137,2.0
14546,0.871999979019165,2.0
15905,0.762,1.5
15506,0.8980000019073486,1.0
19656,0.9259999990463257,2.0
11315,0.8600000143051147,1.0
12737,0.777999997138977,1.0
19301,0.8420000076293945,1.0
16593,0.767,2.3
12727,0.757,0.4
10783,0.915,2.1
13099,0.772,1.7
12864,0.9010000228881836,1.0
17996,0.7699999809265137,1.5
12131,0.761,0.9
18851,0.9160000085830688,1.0
10839,0.7549999952316284,0.0
11776,0.8429999947547913,1.0
16501,0.8830000162124634,1.0
11025,0.9190000295639038,1.0
11382,0.8479999899864197,1.0
16043,0.8130000233650208,2.0
13627,0.801,2.0
10018,0.754,0.8
18048,0.8349999785423279,2.0
17710,0.762,1.7
13337,0.8619999885559082,1.0
11159,0.8050000071525574,1.0
12674,0.8619999885559082,0.0
11245,0.8040000200271606,1.0
17758,0.761,0.3
14080,0.8880000114440918,1.0
17911,0.756,0.7
15585,0.931,2.0
16322,0.761,1.4
11059,0.9020000100135803,1.0
11915,0.8190000057220459,1.0
17876,0.8209999799728394,1.0
13848,0.758,0.6
10213,0.9580000042915344,0.0
10360,0.902999997138977,1.0
17006,0.752,1.1
13642,0.84,1.0
10446,0.754,1.7
10756,0.754,0.8
12547,0.8309999704360962,2.0
10333,0.839,1.0
17035,0.763,0.1
16429,0.751,1.6
16662,0.8939999938011169,1.0
17305,0.777,0.6
17670,0.8849999904632568,1.0
10288,0.890999972820282,1.0
13657,0.9139999747276306,1.0
19318,0.762,1.4
16747,0.905,1.0
15523,0.768,1.1
15233,0.9319999814033508,2.0
16720,0.8809999823570251,0.0
17774,0.925000011920929,1.0
13977,0.759,1.9
19373,0.8730000257492065,1.0
12879,0.8859999775886536,1.0
14567,0.913,1.0
19259,0.7720000147819519,1.0
13883,0.9309999942779541,1.0
12571,0.7870000004768372,2.0
17133,0.767,2.0
11871,0.906000018119812,1.0
10736,0.8889999985694885,1.0
17129,0.9200000166893005,1.0
14977,0.758,0.9
14145,0.7900000214576721,2.0
18012,0.753,1.3
11810,0.767,0.7
13602,0.757,1.9
11840,0.9089999794960022,1.0
15813,0.8289999961853027,1.0
12517,0.751,1.3
18617,0.8730000257492065,1.0
10718,0.757,0.8
18278,0.8759999871253967,1.0
19750,0.7699999809265137,1.0
14324,0.9039999842643738,1.0
14366,0.9419999718666077,2.0
15410,0.9150000214576721,1.0
17042,0.8629999756813049,1.0
16113,0.921999990940094,1.0
16675,0.757,2.1
