,h_post,h_post_individualized
17767,0.96,
17465,0.94,
11717,1.0,
19129,0.98,
14168,0.92,
15380,0.98,
11054,0.96,
14789,0.98,
15498,0.92,
14512,0.98,
12761,0.86,
10426,0.98,
17407,0.96,
13608,0.96,
15574,0.96,
13124,0.92,
13993,0.9,
16839,0.92,
10487,0.9,
14041,0.76,
17552,0.94,
14651,0.98,
15763,0.9,
15945,0.96,
17197,0.96,
13805,0.98,
19960,0.96,
16488,0.86,
16753,0.94,
12873,0.88,
12124,0.96,
12032,0.96,
13847,0.94,
16028,0.98,
11691,0.94,
16759,0.94,
18210,0.92,
11547,0.94,
15022,0.8,
17918,0.88,
18160,0.96,
10545,0.94,
12618,0.94,
10981,0.96,
10890,0.96,
12165,0.94,
11368,0.86,
15668,0.82,
18796,0.78,
17964,0.98,
13349,0.7,
19005,0.96,
14008,0.88,
12808,0.98,
18153,0.92,
17820,0.92,
19828,0.8,
11711,0.82,
13055,0.86,
11233,1.0,
11063,0.96,
12904,0.88,
13972,0.84,
12581,0.7,
14718,0.92,
16919,0.92,
11147,0.92,
14687,0.86,
15267,0.94,
10525,0.96,
17169,0.98,
11786,0.9,
19612,0.98,
16240,0.96,
19392,0.86,
11620,0.98,
15753,0.96,
18243,0.9,
19872,0.98,
18489,0.96,
13137,1.0,
10242,0.98,
12889,0.9,
16047,0.98,
19936,0.54,
18686,0.96,
11495,0.94,
19926,0.98,
10681,0.96,
15836,0.98,
15514,0.92,
11698,0.92,
14837,0.96,
10889,0.76,
16955,0.98,
19579,0.94,
17030,0.98,
19484,0.94,
18349,0.98,
15714,0.98,
17587,0.9,
10194,0.84,
12096,0.96,
16706,0.92,
19825,0.86,
19751,0.94,
13943,0.96,
10135,0.92,
19451,0.86,
14877,0.96,
11954,0.76,
16310,0.96,
14968,0.98,
15155,0.94,
17293,0.98,
15649,0.98,
18364,0.96,
17756,0.9,
17593,0.92,
19412,0.9,
16041,0.98,
18304,0.96,
11356,0.92,
14314,0.94,
12942,0.92,
13837,0.9,
18684,0.94,
17437,0.9,
15947,0.92,
13627,0.94,
12859,0.5,
11824,0.98,
16011,0.94,
18295,0.98,
14372,0.98,
16076,0.84,
13412,0.98,
11316,0.94,
11291,0.98,
19578,0.96,
15418,0.92,
13192,0.92,
18137,0.94,
15489,0.92,
16211,0.92,
10351,0.92,
10722,0.96,
12286,0.92,
13319,0.9,
10999,0.92,
10130,0.94,
14788,0.94,
13551,0.94,
16453,0.96,
17050,0.98,
17405,0.98,
13374,0.96,
18195,0.98,
15887,0.92,
11943,0.92,
18355,0.98,
11889,0.96,
17975,0.86,
13175,0.92,
10698,0.96,
15816,0.86,
11965,0.94,
18457,0.74,
13890,0.94,
19615,0.94,
13191,0.86,
12734,0.94,
17380,0.74,
17001,0.98,
18858,0.92,
16946,0.82,
11260,0.98,
19051,0.92,
15882,0.94,
10640,0.96,
17403,0.92,
14554,0.9,
10346,0.98,
19238,0.98,
13901,0.9,
15580,0.6,
11722,0.94,
17900,0.88,
13867,0.9,
11138,0.96,
10173,0.92,
17871,0.96,
18127,0.96,
16375,0.96,
13404,0.76,
16478,0.98,
18692,0.96,
19607,0.9,
11282,0.96,
10451,0.92,
