ix,goal_cost,intv_cost
19244,0.9800000190734863,1.0
18656,0.954,1.2
15760,0.9860000014305115,2.0
18498,0.9760000109672546,2.0
16291,0.984000027179718,2.0
19908,0.9599999785423279,2.0
16248,0.952,1.6
18692,0.9739999771118164,2.0
18419,0.97380736027933,0.0
15370,0.9879999756813049,1.0
15745,0.956,1.0
10979,0.984,2.0
14274,0.956,3.4
17553,0.9900000095367432,2.0
19925,0.9539999961853027,2.0
13544,0.9580000042915344,2.0
18720,0.954,1.0
12153,0.9700000286102295,2.0
19161,0.9739999771118164,2.0
14312,0.9860000014305115,2.0
19882,0.9660000205039978,2.0
16067,0.9860000014305115,2.0
10167,0.972000002861023,1.0
14621,0.97,3.3
14202,0.9599999785423279,1.0
11959,0.958,1.8
17980,0.9639999866485596,1.0
17014,0.952,2.3
19222,0.9800000190734863,1.0
18447,0.954,1.1
14492,0.966,1.0
10181,0.9800000190734863,2.0
15418,0.968,0.1
16840,0.9819999933242798,2.0
19285,0.962,4.3
13715,0.9919999837875366,2.0
16210,0.9520000219345093,1.0
14028,0.958,0.1
14950,0.9900000095367432,1.0
15435,0.9952989797510948,0.0
11967,0.9779999852180481,2.0
10052,0.988,3.1
12911,0.954,2.4
10890,0.9539999961853027,1.0
13244,0.954,2.4
11104,0.972000002861023,1.0
18300,0.99,1.0
19348,0.958,1.2000000000000002
12108,0.952,1.8
16463,0.9760000109672546,2.0
13723,0.96,1.4
18950,0.96,2.9
11399,0.9879999756813049,2.0
11433,0.9760000109672546,2.0
10008,0.9779999852180481,1.0
11103,0.956,1.5
11844,0.9739999771118164,2.0
11536,0.954,3.8
13799,0.9559999704360962,1.5
15979,0.9679999947547913,1.0
19976,0.9599999785423279,3.0
14602,0.954,1.4000000000000001
19309,0.9760000109672546,2.0
14517,0.956,1.8
17474,0.9679999947547913,2.0
19029,0.96,1.8
13338,0.9599999785423279,2.0
12785,0.9599999785423279,1.0
14200,0.9879999756813049,1.0
10948,0.9539999961853027,2.0
16092,0.9919999837875366,1.0
10419,0.9860000014305115,2.0
13777,0.9679999947547913,2.0
12007,0.952,1.1
15276,0.9739999771118164,1.0
16091,0.96,1.7
19725,0.9819999933242798,3.0
16177,0.97,1.7
19883,0.972000002861023,2.0
17216,0.99,2.0
12896,0.984000027179718,1.0
11651,0.956,1.8
11774,0.9819999933242798,1.0
15976,0.978,1.1
13580,0.9739999771118164,1.0
16875,0.952,2.3
15813,0.972000002861023,2.0
14215,0.976,0.1
15070,0.96,1.3
14523,0.9559999704360962,2.0
18008,0.954,0.6
16306,0.96,1.7
14915,0.9559999704360962,1.0
10827,0.962,0.4
15088,0.9919999837875366,1.0
17481,0.952,2.1
11188,0.954,1.8
11100,0.958,1.2000000000000002
16706,0.964,1.2
19059,0.96,1.1
18889,0.952,1.8
11935,0.952,3.8000000000000003
14732,0.9599999785423279,1.5
17333,0.958,2.1
17915,0.9860000014305115,2.0
16221,0.9739999771118164,2.0
17485,0.96,1.1
11846,0.972,1.8
11002,0.954,3.4
13629,0.96,2.0
16601,0.9919999837875366,3.0
16954,0.952,1.8
14445,0.9599999785423279,2.0
11249,0.9900000095367432,1.0
18641,0.954,2.6
13713,0.992,3.2
16522,0.9819999933242798,2.0
16575,0.9760000109672546,2.0
18160,0.984000027179718,3.0
11909,0.9819999933242798,2.0
10316,0.9819999933242798,2.0
15308,0.952,2.6
10564,0.972000002861023,1.0
13224,0.9660000205039978,2.0
11099,0.9639999866485596,3.0
15654,0.9819999933242798,3.0
15932,0.956,1.6
16154,0.9660000205039978,2.0
15780,0.956,1.1
14702,0.9879999756813049,2.0
13104,0.9620000123977661,2.0
13728,0.954,2.3
13255,0.964,1.4000000000000001
14931,0.9679999947547913,2.0
19460,0.9900000095367432,1.0
12102,0.9539999961853027,1.0
18513,0.968,2.2
13326,0.9800000190734863,2.0
13270,0.9900000095367432,1.0
16006,0.9779999852180481,2.0
14554,0.9779999852180481,2.0
19162,0.9879999756813049,2.0
12548,0.972000002861023,2.0
18676,0.972000002861023,3.0
18428,0.952,0.8999999999999999
13882,0.958,2.0
19794,0.9739999771118164,3.0
17840,0.968,1.0
10844,0.972,1.8
15936,0.9819999933242798,2.0
12046,0.9860000014305115,2.0
13628,0.9559999704360962,1.0
14603,0.9779999852180481,1.0
12362,0.9539999961853027,1.0
11426,0.958,1.6
13201,0.952,1.8
14955,0.988,2.0
10212,0.968,1.7000000000000002
15195,0.9580000042915344,1.0
17588,0.9700000286102295,1.0
14969,0.984000027179718,2.0
12630,0.952,1.2
10639,0.952,1.1
11196,0.984000027179718,2.0
18535,0.984000027179718,3.0
17889,0.984000027179718,2.0
17919,0.9739999771118164,1.0
14339,0.9639999866485596,3.0
13054,0.9879999756813049,2.0
18489,0.954,1.7
16547,0.972000002861023,1.0
12107,0.9879999756813049,2.0
10946,0.9739999771118164,1.0
17255,0.956,2.1
15703,0.9800000190734863,2.0
17739,0.9679999947547913,1.0
10550,0.954,1.8
15014,0.98,2.0
10229,0.96,2.1
11792,0.952,1.2
12681,0.952,1.9
10808,0.9599999785423279,2.0
11861,0.9879999756813049,2.0
12600,0.9679999947547913,1.0
16963,0.986,2.1
16437,0.9700000286102295,2.0
17340,0.9520000219345093,1.0
18722,0.952,1.5
15607,0.9520000219345093,1.0
10874,0.956,2.5
15956,0.958,1.1
15466,0.954,2.1
10197,0.964,3.1
12001,0.966,4.0
14160,0.978,1.0
11900,0.9576002947171082,0.0
18986,0.966,1.1
10205,0.958,2.0
19036,0.958,1.0
11517,0.954,4.1
