,y_hat
19244,False
18656,False
15760,False
18498,False
16291,False
19908,False
16248,False
18692,False
18419,False
15370,False
15745,False
10979,False
14274,False
17553,False
19925,False
13544,False
18720,False
12153,False
19161,False
14312,False
19882,False
16067,False
10167,False
14621,False
14202,False
11959,False
17980,False
17014,False
19222,False
18447,False
14492,False
10181,False
15418,False
16840,False
19285,False
13715,False
16210,False
14028,False
14950,False
15435,False
11967,False
10052,False
12911,False
10890,False
13244,False
11104,False
18300,False
19348,False
12108,False
16463,False
13723,False
18950,False
11399,False
11433,False
10008,False
11103,False
11844,False
11536,False
13799,False
15979,False
19976,False
14602,False
19309,False
14517,False
17474,False
19029,False
13338,False
12785,False
14200,False
10948,False
16092,False
10419,False
13777,False
12007,False
15276,False
16091,False
19725,False
16177,False
19883,False
17216,False
12896,False
11651,False
11774,False
15976,False
13580,False
16875,False
15813,False
14215,False
15070,False
14523,False
18008,False
16306,False
14915,False
10827,False
15088,False
17481,False
11188,False
11100,False
16706,False
19059,False
18889,False
11935,False
14732,False
17333,False
17915,False
16221,False
17485,False
11846,False
11002,False
13629,False
16601,False
16954,False
14445,False
11249,False
18641,False
13713,False
16522,False
16575,False
18160,False
11909,False
10316,False
15308,False
10564,False
13224,False
11099,False
15654,False
15932,False
16154,False
15780,False
14702,False
13104,False
13728,False
13255,False
14931,False
19460,False
12102,False
18513,False
13326,False
13270,False
16006,False
14554,False
19162,False
12548,False
18676,False
18428,False
13882,False
19794,False
17840,False
10844,False
15936,False
12046,False
13628,False
14603,False
12362,False
11426,False
13201,False
14955,False
10212,False
15195,False
17588,False
14969,False
12630,False
10639,False
11196,False
18535,False
17889,False
17919,False
14339,False
13054,False
18489,False
16547,False
12107,False
10946,False
17255,False
15703,False
17739,False
10550,False
15014,False
10229,False
11792,False
12681,False
10808,False
11861,False
12600,False
16963,False
16437,False
17340,False
18722,False
15607,False
10874,False
15956,False
15466,False
10197,False
12001,False
14160,False
11900,False
18986,False
10205,False
19036,False
11517,False
