,perc_recomm_found,gamma,eta,gamma_obs,gamma_obs_pre,eta_obs,eta_obs_individualized,costs,lbd,thresh,r_type,t_type,iteration,model_coef,eta_obs_refits_batch0_mean,intv-cost
0,0.99,0.9,0.9,0.8989899158477783,0.0,0.898989898989899,0.9191919191919192,"[1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,improvement,0,,0.8989898562431335,1.654040404040404
1,1.0,0.9,0.9,0.0,0.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,acceptance,0,,0.9929999113082886,0.35650000000000004
2,0.975,0.9,0.9,0.800000011920929,0.0,0.8,,"[1.0, 1.0, 1.0, 1.0]",2999.0,0.5,subpopulation,improvement,0,,0.800000011920929,1.4471794871794874
3,1.0,0.9,0.9,0.004999999888241291,0.0,0.975,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,subpopulation,acceptance,0,,0.9670000076293945,0.33049999999999996
4,0.97,0.9,0.9,0.9278350472450256,0.0,0.9278350515463918,0.9432989690721649,"[1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,improvement,1,,0.9278351068496704,1.675257731958763
5,1.0,0.9,0.9,0.0,0.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,acceptance,1,,0.9899999499320984,0.547
6,0.97,0.9,0.9,0.8298969268798828,0.0,0.8298969072164949,,"[1.0, 1.0, 1.0, 1.0]",2999.0,0.5,subpopulation,improvement,1,,0.8298969268798828,1.4814432989690722
7,1.0,0.9,0.9,0.009999999776482582,0.0,0.985,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,subpopulation,acceptance,1,,0.9710000157356262,0.535
8,0.975,0.9,0.9,0.8717948794364929,0.0,0.8717948717948718,0.882051282051282,"[1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,improvement,2,,0.8717948794364929,1.636923076923077
9,1.0,0.9,0.9,0.0,0.0,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,individualized,acceptance,2,,0.9970000386238098,0.5575
10,0.985,0.9,0.9,0.7918781638145447,0.0,0.7918781725888325,,"[1.0, 1.0, 1.0, 1.0]",2999.0,0.5,subpopulation,improvement,2,,0.7918781638145447,1.445685279187817
11,1.0,0.9,0.9,0.0,0.0,0.99,,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2999.0,0.5,subpopulation,acceptance,2,,0.9899999499320984,0.5765
