,y
3682,0.0
2526,0.0
2739,0.0
2996,0.0
2988,1.0
3742,1.0
3642,0.0
3988,0.0
3153,0.0
3019,0.0
3973,0.0
2173,0.0
2380,0.0
3581,0.0
3800,0.0
3000,0.0
2411,0.0
3394,0.0
2745,0.0
3285,0.0
2511,0.0
3350,0.0
3995,0.0
3339,0.0
3512,0.0
3516,1.0
3096,0.0
3007,0.0
2531,0.0
2446,0.0
3604,0.0
3041,0.0
2708,1.0
3532,0.0
2457,0.0
3555,0.0
2191,1.0
2559,0.0
2461,0.0
2768,0.0
3640,0.0
2784,0.0
2749,0.0
3139,0.0
2153,0.0
3892,0.0
3726,0.0
3004,0.0
3522,1.0
2992,0.0
2263,0.0
3597,0.0
2685,0.0
3253,0.0
2828,0.0
2190,0.0
3315,0.0
3639,0.0
2370,0.0
3131,1.0
3961,0.0
3141,0.0
3145,0.0
3723,0.0
3551,0.0
2490,0.0
3624,0.0
3200,0.0
2430,0.0
3578,0.0
3263,0.0
3317,0.0
3964,0.0
2650,0.0
3025,0.0
3322,0.0
3383,0.0
3294,0.0
3334,0.0
3467,0.0
2631,0.0
2667,0.0
2164,0.0
2721,0.0
3116,0.0
3903,0.0
3196,0.0
2311,0.0
3146,0.0
3569,0.0
2638,0.0
3205,0.0
2142,0.0
3527,0.0
3430,0.0
2149,0.0
3181,0.0
2584,0.0
3983,0.0
3520,1.0
2901,0.0
2658,1.0
3806,0.0
3082,0.0
3460,0.0
2579,0.0
2941,0.0
2100,0.0
3967,0.0
3018,0.0
3051,0.0
3821,0.0
3813,1.0
2824,1.0
2712,0.0
3877,0.0
2087,0.0
2709,0.0
3206,0.0
2181,0.0
3113,0.0
2247,0.0
3720,1.0
2832,0.0
2722,0.0
3278,0.0
2577,1.0
2224,0.0
3709,0.0
3360,0.0
2270,0.0
3083,0.0
2815,0.0
3838,0.0
2328,0.0
2068,0.0
3065,0.0
2787,0.0
3094,0.0
3981,1.0
3311,0.0
2666,0.0
3930,1.0
2271,0.0
2003,0.0
3630,0.0
3009,0.0
2079,0.0
2205,0.0
3557,0.0
2325,0.0
3349,0.0
2094,0.0
2427,0.0
3031,0.0
2275,1.0
3341,0.0
3791,0.0
2137,0.0
3952,1.0
2624,0.0
3109,0.0
3026,0.0
2536,0.0
2866,0.0
2623,0.0
2589,0.0
2766,0.0
3242,1.0
3209,0.0
3156,0.0
3403,0.0
2228,0.0
3779,0.0
2966,0.0
3999,0.0
2423,0.0
3085,0.0
2774,0.0
2066,0.0
3559,0.0
3246,0.0
3185,0.0
3771,0.0
3023,0.0
2517,0.0
2363,0.0
2687,0.0
2452,0.0
2856,0.0
2955,0.0
3318,1.0
3175,0.0
3487,0.0
3825,0.0
2539,0.0
3617,0.0
2895,1.0
3739,0.0
2808,0.0
