,x1,x2,x3
3560,-0.006346154,0.42471257,0.6102204
2677,1.1035779,-0.6013939,0.7170959
2506,0.12691826,0.2872742,0.6830567
2153,0.20749198,0.13145104,0.7026279
3279,0.18485427,0.41046214,0.49748254
3499,0.21818015,0.5127607,0.38607597
2226,1.0019987,0.5841533,-0.5210996
3376,0.022795308,0.51229876,0.5531312
2892,0.45254773,-0.4439829,1.0691253
3802,0.88248295,-0.51077735,0.72784823
3420,-0.6712745,1.168041,0.5718605
2546,0.17883427,-0.073235035,1.0101017
2327,0.073320605,0.1763111,0.8857881
2271,0.13956557,0.07042875,0.75967455
2228,0.2440695,-0.2623357,0.9696786
2318,-0.12283504,0.24555664,0.966261
3109,-0.5092403,0.47457734,1.1330315
2783,0.36651298,-0.2852397,0.8736089
2303,0.012635862,0.56137955,0.5424822
2704,-0.34087074,0.7832293,0.57002234
3570,-0.14176214,0.47327477,0.7765129
2504,0.9507417,-0.32685527,0.42221883
2802,0.13753548,0.32456994,0.6150913
3032,1.0738399,-0.48784095,0.5144349
2102,-0.32193813,0.6055807,0.86353314
3394,-0.1685822,0.5922404,0.68652123
3855,-0.1424658,0.16955343,1.1152549
2297,0.03353979,0.58181316,0.46084145
3648,-0.40533853,0.44739154,1.1042981
2471,0.48563278,-0.3785754,1.035156
3076,-0.35696822,0.8120687,0.6101527
2634,0.48378733,-0.046821933,0.69872683
2610,1.1241363,-0.9347977,0.89432555
2208,0.5174547,-0.070784844,0.6560905
3679,-0.2690248,0.73614305,0.5937275
3092,0.12403535,0.7846066,0.22082338
3752,-0.3559237,0.76426005,0.5361735
3491,0.07918255,-0.001339674,0.9663743
3312,0.20886545,1.0441694,0.57845235
2333,-0.42527202,0.5453105,0.9698499
2026,0.16166252,0.5625346,0.18798006
3017,-0.26459363,0.7906086,0.48229143
2046,0.72407013,-0.26161805,0.5909728
2886,0.8118816,-0.5034212,0.74376714
3089,0.36420637,-0.15776934,0.7610464
2819,-0.14329055,0.5840445,0.60621774
3963,0.34090874,0.21563582,0.54780424
3527,0.013072145,0.36774,0.6438526
2005,-0.07683365,0.5524999,0.5381702
2081,-0.5198177,0.39539918,1.2385874
3391,-0.46940553,0.9899074,0.52946824
3557,-0.09069083,0.62589276,0.60608006
2562,-0.16960554,0.6520092,0.6747717
3603,0.24950282,0.09543212,0.6149471
2237,-0.02721498,-1.4556394,2.5045166
2825,0.07359038,0.33307004,0.70991564
3928,0.5468499,-0.2276125,0.72116745
2909,-0.39278132,0.86330223,0.62321556
2181,0.9382104,-0.33406502,0.52490294
2084,0.94645154,-0.97408295,1.1238039
2920,1.3752505,1.6001152,-1.9645197
3691,-0.058858115,0.25705582,0.9103793
3418,0.3973521,-0.097204424,0.6896001
3999,0.120208144,0.25870228,0.69199073
2611,0.084576085,0.2932681,0.6682096
2109,0.07083657,0.3215684,0.6730991
2672,0.702941,-0.17520292,0.5299847
2097,0.4223456,0.458808,0.35894066
2843,0.06501212,-0.001164341,1.1040267
3962,0.33995658,-0.27718934,1.0498774
2844,-0.18049276,0.22728714,1.0350261
3408,0.18173936,0.23608986,0.79842174
3657,0.12079962,0.28732568,0.6061639
2682,0.16860256,0.27803674,0.63209116
2383,0.9928098,-0.5102055,0.6321973
2442,-0.78264445,0.82844645,1.0987276
3482,-0.3590831,0.755726,0.69039255
3803,0.0106968405,0.3694566,0.5855704
2747,-0.43343306,0.17689237,1.3020287
3052,0.13178758,0.039688874,0.7781537
2785,-0.13644655,0.6109948,0.62677145
2584,0.49547914,-0.09154997,0.6721935
3840,-0.25648206,0.34227353,0.8883964
2643,-0.2629945,1.1971546,0.106741585
3192,-0.35613912,0.6884059,0.7693876
3775,0.77022827,0.40563667,-0.026427824
3234,0.42790928,0.14861426,0.5633179
3883,-0.16386884,0.6737138,0.49691245
2131,0.18841721,-0.23099053,1.1188791
2602,-0.21729314,0.7807835,0.494116
3063,0.5245269,-0.1381407,0.74209905
2931,0.53745496,-0.16089013,0.73907876
3114,0.8522834,0.12795678,0.19162883
2162,0.9246526,-0.3535323,0.54497135
3935,0.3466292,0.20710275,0.5752161
3759,0.38917118,0.23367043,0.47013465
3518,-0.27493268,0.45056352,0.9429127
2644,0.6534815,-0.116804406,0.6078439
3310,-2.989769e-05,0.3086457,0.8189913
2787,0.21426193,-0.1739169,1.0321548
3455,0.44517523,0.21743265,0.42204815
3582,0.7088957,-0.2419792,0.5903466
3549,0.06474118,0.9547099,0.815016
3280,0.38354263,0.1490422,0.5627675
3474,0.8202147,0.22842363,0.0658136
3462,0.9421719,-0.34016094,0.5163044
2451,0.17482048,0.25880846,0.637846
3449,-0.3378515,0.34410444,1.0483208
3220,0.015271473,0.50142515,0.6314302
3890,0.6679984,-0.22000699,0.6165372
3592,0.67496574,0.17941076,0.2032093
2994,0.19670087,0.37176096,0.5804124
3206,0.29287463,0.22799537,0.62936723
2429,0.17705102,0.21497393,0.5533799
3116,-0.2072248,0.63116837,0.6860038
3848,0.32894847,-0.2554345,0.98114926
3796,0.44562143,0.031748008,0.56368953
2370,0.652774,-0.13287587,0.4671883
3782,0.9030027,0.8005036,0.73797923
2750,0.38853824,0.21610251,0.46806222
3862,0.4507417,-0.15436193,0.8373452
3315,0.036464144,0.17929025,0.8723871
2744,0.19920012,-0.41309908,1.2325206
2408,0.24274512,-0.0967927,0.7781163
3336,-0.19519399,0.42357466,0.8716111
3481,-0.042382073,0.2572827,0.9138324
2270,-0.027726535,0.59079266,0.5272693
2558,-1.1653112,1.4012136,0.8471235
3579,0.64648056,-0.36129877,0.7615772
2718,-0.2762609,0.08958627,1.2140024
2919,-0.024585783,0.45596138,0.54946136
3863,0.24267578,0.20959108,0.69309616
3673,0.49098128,-0.09188427,0.5996031
2839,0.060111273,0.26761124,0.68642455
3880,-0.42344564,0.766872,0.7688902
2702,0.52753603,-0.089697555,0.63849306
3322,0.5126658,0.5575549,-0.08623691
3568,-0.0033702417,0.45567337,0.5798537
3105,-0.26206732,0.6911216,0.7292346
3355,0.14374538,0.57564586,0.35909957
