,y_hat
3803,False
3953,False
3609,False
3895,False
3361,False
3800,False
2067,False
2975,False
3970,False
3827,False
3641,False
2015,False
2603,False
2814,False
3362,False
2332,False
2580,False
3715,False
3171,False
2819,False
2404,False
2166,False
3415,False
3701,False
2491,False
3267,False
2269,False
3683,False
2062,False
3982,False
2306,False
3771,False
2606,False
3983,False
2669,False
2056,False
3847,False
3342,False
2984,False
2304,False
2291,False
3382,False
2838,False
2438,False
2305,False
2989,False
2194,False
3648,False
2557,False
2063,False
3517,False
2573,False
2307,False
2423,False
3817,False
2929,False
3964,False
2116,False
3528,False
2822,False
2315,False
3748,False
2121,False
2301,False
2916,False
3289,False
3881,False
2157,False
2546,False
2171,False
3308,False
3526,False
2658,False
2592,False
3672,False
2503,False
3868,False
2002,False
3309,False
3957,False
2986,False
3569,False
3357,False
3071,False
3172,False
2685,False
2420,False
3842,False
3359,False
3547,False
3966,False
3487,False
2931,False
2712,False
3835,False
2812,False
3035,False
3297,False
2850,False
3093,False
3848,False
3379,False
3716,False
3923,False
2422,False
2866,False
2455,False
3740,False
2341,False
2074,False
2218,False
2513,False
2640,False
2098,False
2331,False
2753,False
2879,False
3875,False
3876,False
2677,False
2297,False
2479,False
3069,False
2670,False
2962,False
3336,False
3173,False
3082,False
3027,False
3376,False
3116,False
3616,False
2727,False
2003,False
3681,False
3506,False
3085,False
3056,False
3197,False
3831,False
2636,False
3298,False
3150,False
3845,False
3225,False
2755,False
2464,False
2614,False
2045,False
3260,False
3219,False
2065,False
3542,False
2385,False
2051,False
3685,False
2821,False
3993,False
3195,False
2922,False
2141,False
3424,False
2339,False
3549,False
3649,False
2296,False
2349,False
2182,False
3625,False
2086,False
2911,False
2043,False
3595,False
2310,False
2526,False
2468,False
2236,False
3395,False
3550,False
2076,False
3610,False
2091,False
3334,False
2136,False
3216,False
2152,False
3821,False
2435,False
3447,False
3437,False
3553,False
3381,False
2055,False
3763,False
3229,False
3385,False
3840,False
2920,False
3469,False
2778,False
