,u_x1,u_x2,u_x3,u_y
2000,0.79848325,0.530238,-0.15954678,0.11367035
2001,0.009866454,1.2554685,-0.16860373,0.07544649
2002,-0.07845729,1.1060054,0.24956015,0.72000194
2003,-1.383504,-0.685511,0.1552432,0.83687806
2004,-1.7780252,-0.6509931,-0.0016707656,0.8513931
2005,-1.2685568,-0.30534518,-0.20057221,0.3877504
2006,-0.9862675,-1.4979627,-0.025004137,0.6854044
2007,1.5309782,-1.8601054,-0.15077257,0.047513008
2008,-0.35814807,-0.26736525,0.115136124,0.029226303
2009,0.6511584,2.0040998,0.041655224,0.77504396
2010,-1.5813066,0.07192606,-0.11029086,0.92811954
2011,-1.2612946,0.0041652457,0.06497901,0.44596803
2012,-0.5316804,-0.7682598,-0.02692982,0.60382867
2013,0.0899409,0.33945066,0.017671006,0.48816144
2014,0.13271424,-0.47010747,-0.029404998,0.118021846
2015,-1.1782084,1.1135038,-0.12648462,0.25404716
2016,0.51701343,0.81629425,0.13888973,0.8896781
2017,-1.0890639,-0.7268861,-0.043355893,0.0942384
2018,-1.7868007,0.39639735,0.040534236,0.15820801
2019,0.24559392,-1.6762766,-0.030859683,0.41180348
2020,-0.33037543,1.1259309,-0.14364742,0.17307305
2021,-0.049303778,-1.3410155,0.07843174,0.5484805
2022,-0.11450032,0.2685238,0.037344772,0.29933608
2023,1.2912506,-0.5766882,0.18909417,0.44211268
2024,2.0559413,0.42035913,0.1630227,0.53183603
2025,0.21131034,-0.6746304,-0.020401958,0.88270044
2026,0.3644283,0.40702072,0.030059446,0.04346931
2027,0.8614325,-0.7205585,-0.049001496,0.6475835
2028,0.62217546,-0.7585475,0.013252072,0.46994483
2029,-0.4576566,-0.44146955,-0.032967113,0.9786575
2030,0.60771203,0.6472774,-0.19139133,0.09774423
2031,2.6001506,-0.18947868,0.07727409,0.8470949
2032,-1.1956779,0.35971206,-0.025949595,0.5089344
2033,-0.9268554,0.071596816,-0.15171933,0.5389111
2034,-0.35498288,1.324195,0.031557612,0.30127156
2035,-0.87629586,0.6342109,-0.012463057,0.595302
2036,-0.84879017,1.4036274,0.031156642,0.23766911
2037,0.4912122,-0.6278248,0.04551495,0.008972406
2038,-0.29784495,2.0931382,-0.16245796,0.9815359
2039,-1.396846,-0.6076773,0.023605166,0.32091987
2040,0.058542345,0.8799645,-0.11488028,0.42774796
2041,-0.055176903,0.0975516,0.05981047,0.45321894
2042,1.180591,1.5389152,0.015670722,0.080652714
2043,-0.49629417,-0.66695434,0.17763183,0.95340776
2044,-1.9197855,0.32858238,0.17759898,0.52933824
2045,-0.7008894,-0.13359018,0.07007727,0.051826477
2046,1.6711191,-1.0257535,0.04084972,0.70692885
2047,-0.067529246,-1.2349097,-0.08727275,0.51063764
2048,-0.32533324,-0.41588706,0.029257556,0.934633
2049,1.2156285,-2.3319566,-0.10415932,0.26840913
2050,2.2422798,0.3760445,0.0029831154,0.3892417
2051,-0.6028059,-0.986632,0.12156253,0.0312531
2052,-0.60793895,0.80051947,-0.012079402,0.5906066
2053,0.46959302,-0.47115794,-0.058374267,0.901039
2054,-0.67706347,1.1603758,0.025384745,0.74968886
2055,1.8231076,1.2537156,-0.042938203,0.69369626
2056,-0.4786946,-0.8699861,0.18444501,0.10183084
2057,-0.1387668,1.7540692,0.122398876,0.30231166
2058,-2.5117967,-0.8174482,-0.02965161,0.46172667
2059,-0.20040853,-1.5396084,0.19458489,0.46101832
2060,1.1497041,0.4519022,0.15868385,0.82007396
2061,0.05275523,-2.5491138,0.07117153,0.061156273
2062,0.057425898,-1.1666605,0.09027239,0.2369467
2063,-0.308777,-0.31694874,-0.03771902,0.49390924
2064,0.8104291,1.6323533,-0.054399263,0.7092078
2065,-0.13096254,1.3145918,0.045797862,0.023650408
2066,-0.38269356,0.47672874,0.0018600187,0.5901917
2067,-2.2330246,0.8703735,-0.0781404,0.7761549
2068,-0.6425554,-1.7952026,0.24120438,0.4243846
2069,0.9527955,-0.8583284,-0.10743884,0.634333
2070,1.9668564,0.27014154,-0.011447745,0.43232405
2071,0.13333496,-0.43609783,-0.047972023,0.2668332
2072,0.5110354,-0.37205487,-0.023111494,0.08604252
2073,-0.3618096,-0.83658195,0.07683303,0.15830183
2074,0.47892162,0.36695316,0.16242628,0.17964184
2075,0.70046216,-1.7924653,-0.17745619,0.41860116
2076,0.69896674,-0.6187622,-0.07248426,0.5247444
2077,-0.5276097,-0.32564074,-0.057070106,0.39314783
2078,-0.87967634,1.5035444,-0.057978988,0.022241592
2079,1.0222002,0.45578524,0.15934592,0.92410755
2080,-1.1888493,-0.8419833,-0.0953538,0.7748138
2081,0.35154966,0.6691885,-0.19035141,0.35412705
2082,0.8533143,0.48929077,-0.03584562,0.251395
2083,-0.9860254,0.35890436,-0.0026076436,0.5246184
2084,0.6407072,0.51267695,-0.04783327,0.75170255
2085,1.4515429,-0.5683332,0.04161987,0.75971043
2086,0.07411321,0.62464356,-0.11507165,0.88117087
2087,-2.3221145,0.5756223,-0.117096715,0.56931686
2088,-0.52666795,1.9556549,0.030342177,0.9611478
2089,0.97162324,1.8166478,-0.090763204,0.4073553
2090,-0.41956887,-1.4310005,0.02807869,0.29934096
2091,-0.5879615,-0.07644204,0.2520905,0.21181762
2092,-1.1859555,-0.04307075,0.059754994,0.07688522
2093,-0.065008305,0.8694857,-0.117665984,0.5812601
2094,0.45882568,0.2268212,-0.118372,0.91171503
2095,-0.82517284,0.78199023,-0.08954913,0.2580589
2096,0.9430638,-0.3871156,0.096651606,0.14058053
2097,-0.5731796,-0.4062828,0.05441446,0.39014626
2098,0.45930877,-0.027888507,0.16731751,0.25013435
