,x1,x2,x3
2806,1.7,2.3,0.2
2602,0.8,0.4,1.6
3981,1.5,5.2,4.0
3999,1.2,3.0,5.7
2081,0.6,0.7,1.4
2987,1.4,3.6,5.0
2952,0.1,2.3,2.6
2829,0.3,1.3,1.1
2064,0.4,0.6,0.9
2233,1.5,3.1,5.2
2478,0.1,1.7,2.1
2755,0.7,2.3,3.5
3901,0.2,2.0,2.3
2863,1.5,1.2,3.1
2434,1.7,0.5,2.5
3019,-0.0,0.3,1.7
3578,0.8,1.8,2.6
3293,1.6,3.6,4.7
2726,0.0,2.0,1.8
3056,0.3,-0.0,1.4
3833,0.5,1.7,2.5
2788,0.5,2.3,2.6
3300,0.1,1.4,0.9
3904,1.3,-0.0,1.1
3022,1.0,0.7,2.3
3871,1.8,0.8,0.0
2085,0.2,1.0,1.9
3823,-0.0,2.1,2.2
3879,0.3,2.1,2.6
3860,0.4,0.9,1.1
3598,1.9,0.8,2.7
2413,1.8,2.9,5.2
2173,0.3,1.3,1.4
3841,0.9,0.8,2.3
2037,1.3,0.3,2.6
2410,0.4,0.7,0.9
3568,1.0,2.0,3.3
3494,0.4,0.9,1.2
3847,1.2,2.2,3.9
2852,0.3,0.8,1.0
2109,0.7,1.0,0.8
3076,2.0,4.0,3.3
2326,0.5,2.0,3.0
2218,0.2,1.3,2.5
3371,1.3,0.4,1.8
3514,1.2,2.0,3.7
2805,0.9,1.2,2.2
3618,1.6,2.0,3.2
2895,0.2,3.6,0.8
3834,1.5,2.8,4.6
3923,0.5,1.4,2.0
2734,1.9,1.3,3.2
2527,0.4,1.3,1.8
3203,1.8,3.8,5.6
3887,1.4,0.9,2.6
2427,1.5,1.0,2.6
2089,0.5,1.3,2.1
3952,0.7,0.3,1.3
3131,1.0,1.7,2.7
2199,1.7,2.2,4.2
2974,0.0,0.5,1.4
2110,0.3,0.9,2.0
2563,1.0,0.2,1.1
3208,3.2,1.0,5.0
2799,1.8,3.7,5.5
2377,0.8,2.3,3.6
3671,0.7,0.1,1.2
2975,0.5,1.1,1.4
3755,0.7,2.0,2.6
3380,2.5,0.3,3.1
2318,1.0,0.5,2.3
2316,1.4,0.3,2.5
3190,2.0,4.2,5.8
2182,0.1,3.0,2.8
3691,0.3,1.2,1.9
3234,1.3,0.8,2.1
2197,2.0,2.3,4.2
2380,0.9,2.0,2.6
3642,0.6,0.0,1.4
3976,0.2,1.4,1.6
2550,0.1,0.7,1.0
3687,0.5,1.4,1.9
2877,0.9,2.4,3.3
3388,0.2,2.1,3.3
3333,0.1,0.7,1.0
2298,1.2,0.2,1.9
3448,1.9,2.3,4.2
3071,0.8,2.2,3.1
3610,0.7,0.2,0.9
3656,-0.0,1.2,1.1
2130,0.4,0.0,1.3
3946,0.6,2.0,2.6
2547,1.1,1.3,2.6
3859,1.0,0.5,1.6
2127,1.9,2.4,4.6
3985,-0.0,0.5,1.3
2608,0.0,2.1,1.9
3144,0.1,1.3,1.4
3775,2.1,0.6,2.8
3054,0.5,1.4,0.2
3078,0.6,1.8,1.2
3760,2.2,0.4,3.2
2833,0.3,2.6,3.2
3590,1.7,1.3,5.5
3419,1.1,0.7,2.3
2831,1.5,3.3,1.4
3884,1.5,0.3,3.6
2942,0.1,1.5,1.8
2203,0.9,0.9,1.3
2161,0.1,1.4,2.1
3134,1.3,2.1,3.5
2507,1.3,-0.0,0.9
2362,0.7,0.3,2.0
3689,2.8,2.1,5.7
2564,1.8,0.4,3.0
3606,1.4,1.0,3.0
2464,1.3,0.7,2.1
2347,1.7,2.7,4.4
2491,0.4,1.1,1.8
2703,1.8,3.2,5.2
2138,0.1,1.3,1.8
2553,1.9,2.1,4.6
3507,0.0,2.0,1.5
2279,2.1,1.6,4.3
2505,0.5,0.5,2.3
2578,0.5,2.8,2.0
3641,0.5,1.0,1.8
3211,1.8,2.3,3.9
2979,0.9,1.3,2.3
2885,1.1,2.6,4.0
2782,0.0,1.6,2.6
3920,0.4,1.3,2.0
2169,0.8,1.8,2.6
2649,1.5,1.0,2.0
2026,3.3,0.2,0.9
2248,0.9,1.8,3.1
2449,0.4,0.9,1.3
3893,0.2,1.8,2.0
2794,2.0,2.0,5.0
3713,0.7,0.3,1.3
3511,1.2,1.2,2.7
2156,0.5,3.0,3.0
2280,1.5,0.4,1.7
3042,1.3,1.1,3.2
2696,2.4,0.7,3.3
2969,1.6,0.1,1.8
3026,0.5,1.3,1.7
2935,0.8,0.8,1.4
2171,2.0,0.0,2.0
3359,2.0,3.7,5.5
2208,0.7,0.9,1.2
3225,1.6,0.6,2.7
3575,0.8,1.4,2.3
2906,0.7,2.1,2.9
2534,0.6,1.0,1.6
3872,0.3,1.1,1.5
3405,0.1,1.7,2.8
3973,1.8,2.6,4.5
2323,1.9,1.2,0.1
3184,1.4,0.7,2.1
3616,0.7,1.2,1.5
3950,0.7,1.6,2.6
3008,2.9,3.7,4.0
3145,1.0,0.2,1.3
2482,2.8,3.8,7.0
2984,0.5,1.5,2.3
2763,0.5,2.5,3.4
2543,2.1,1.3,2.8
2152,1.0,0.1,0.9
3327,3.0,4.2,7.0
2676,0.8,0.6,1.7
3243,1.1,2.0,3.4
2535,2.1,1.8,2.0
3164,1.5,2.8,4.4
2335,0.1,1.3,1.8
3369,0.7,0.2,3.4
2086,0.4,0.9,1.4
3935,2.3,2.6,5.0
2312,1.9,1.6,2.6
3825,1.0,0.8,1.8
3141,3.3,1.9,5.3
2630,0.7,1.7,2.6
2005,2.0,2.1,4.4
3870,1.7,2.0,0.3
3706,1.4,1.9,2.6
2565,0.1,0.7,2.5
3995,2.1,0.6,2.3
2038,0.6,1.9,3.1
2384,0.3,2.6,2.8
3348,0.9,1.3,3.0
3929,1.3,2.2,3.7
2074,1.9,0.6,2.9
2570,2.0,2.8,5.2
2051,2.0,2.4,4.7
2791,0.4,1.6,1.7
2632,1.8,1.2,3.0
3175,1.8,0.6,2.6
3798,1.0,1.3,2.1
3049,0.6,2.2,3.0
3699,1.0,4.1,5.5
