,x1,x2,x3
2809,0.06835474,-0.78053296,0.7136421
3557,-0.08169842,-0.36612743,0.50040185
3747,0.1089972,-1.7125924,1.4016438
3123,0.5362033,0.29382712,0.0058240592
2985,-0.6211719,0.01263814,0.66552657
3864,-0.43619853,0.7254631,0.14958651
3917,-1.4008825,0.14220294,1.2593004
2933,-0.25508294,-1.1284024,1.3186446
2003,0.76813644,-0.5630909,-0.054587822
3056,-0.44067812,-0.2617661,0.7361027
3284,-0.3382956,-0.54730326,0.87766063
2898,-0.27293593,-0.13123529,0.47065008
3872,0.24262102,-1.0732696,0.7839475
2371,0.5442463,-2.1163507,1.362318
2045,0.3293501,-0.50775576,0.31683335
2741,0.26878917,-1.0993811,0.80152106
2505,0.18012509,0.6192372,0.24997787
3375,0.010873211,0.056044355,0.13917044
2414,-0.86306864,0.9184609,0.35954326
3036,-0.028554823,-0.479662,0.54436666
3729,0.6542338,-0.71306735,0.21399936
3726,-0.102953084,0.3515326,0.28810936
2492,0.069433615,-0.25986683,0.9251141
2751,0.13398528,-0.4252033,0.36081275
2245,0.3015985,-0.725677,0.48087883
3004,-0.60409915,0.028586125,0.6268872
3589,-0.45742282,-0.0983027,0.601783
2772,-0.022617722,-0.29776138,0.39009416
3024,-0.07346229,-0.385512,0.7487897
3414,-0.07304978,-0.35063243,0.47740337
2754,0.030534696,-0.46044758,0.4941782
3236,0.22518612,-0.7606711,0.61866474
3153,0.737619,-1.5708418,0.77891284
3559,0.064733446,-0.0767888,0.16148476
2043,-0.32342476,-0.3944226,0.7766459
2316,-1.2120194,-0.78238475,1.8350809
3501,-0.16059914,-0.76687,0.87869906
3057,-0.5732855,1.1523421,-0.014367449
3588,0.54560524,-0.7652566,0.2774152
2582,0.23592539,-0.21069011,0.10517263
2703,-0.06927092,-0.73779875,0.7920902
2507,-0.5954685,-0.40073535,0.99360186
2444,-0.8273731,-0.43092567,1.2490994
2411,-0.30494875,0.54226315,1.0907738
3080,0.37194082,-1.1084521,0.7315427
3604,0.5334814,-0.6947753,0.2629492
3124,-0.45703122,0.7409189,0.09331051
3902,0.21052633,-0.28698063,0.24739116
3737,-0.007247889,-0.27497864,0.3586088
3911,-0.4402837,0.64267373,0.23179665
3440,0.1892759,-0.058199957,0.08675595
2959,-0.39816767,-1.6373509,1.7979604
2459,0.05775819,-0.31979975,0.35150823
3536,0.40931556,-0.42003232,0.15617825
2926,0.057154406,0.20433666,0.55915534
3542,-0.15661754,0.031000659,0.2854034
3993,-0.25867456,-0.32916138,0.68516046
2753,0.6329714,-0.64053094,0.107456066
3180,0.009609568,-0.2695494,0.6142491
2374,0.16116215,0.5741726,0.14057788
2166,0.5143287,-0.4807578,0.10350461
3983,-0.38603085,0.37667754,0.19365747
2497,-0.07344531,0.21955785,0.035047002
3984,0.062002912,-0.19318016,0.29623967
3922,0.22813947,-1.008152,0.7401025
2490,-1.3287646,-0.116430126,1.3545979
2954,0.6891676,-0.6501292,0.074431464
3267,0.0734175,0.071759604,0.04383129
3739,-1.3585435,0.87476504,0.6451897
3910,-0.4587674,0.44266504,0.18106516
3783,0.4828805,-0.027807802,0.08259829
2729,-0.87030435,-1.714838,2.2697341
3319,-0.026093388,0.036252163,0.13667592
3590,0.049711708,-0.22616358,0.3135267
2691,-0.20949118,-0.3206275,0.6077088
2599,-0.2280829,0.089171626,0.28399473
2453,0.047961615,-0.43328395,0.45279938
2385,-0.37855095,-0.22668195,0.6437087
3104,-0.9422238,-0.14432096,1.0921311
2846,0.15734026,-0.278171,0.2273931
3301,0.63687897,0.10771525,0.118732885
3951,-0.30157492,-0.17382707,0.5396454
3396,-0.3179075,0.36832494,0.14666507
3296,0.44601077,-0.4029774,0.09529674
2474,-0.44889805,-0.29458418,0.7517444
2817,0.089569025,-0.5548539,0.50118303
3610,-0.033347,-0.4292758,0.5230071
3260,-1.1026824,0.4466061,0.7541434
3493,-0.30855054,-0.43328676,0.76424694
3601,0.164224,-0.5111596,0.40728718
2427,0.49256548,-0.48342267,0.14709596
3494,0.63742363,-0.6374867,0.11531434
3435,-0.12958243,-0.8828351,0.97349125
2570,0.27050444,-0.26499406,0.13282181
2412,0.21040674,-0.24866518,0.19705038
3804,0.6009326,-0.61799717,0.12929127
2909,-0.6731609,-1.5392629,1.9605842
3281,0.650032,-0.7716438,0.21008167
2679,0.13036022,-0.18999572,0.21030292
2499,-0.77943164,-2.018245,2.405668
2752,-0.5789577,-0.09781389,0.77046
2575,-0.0026229117,0.035841063,0.25919545
3833,0.2853526,0.45316344,0.18433753
2962,0.6084143,-0.5798373,0.109397985
3578,-0.059033513,-0.36637002,0.4784779
3090,0.54173756,-0.64527863,0.18434922
3850,-0.22995353,1.3856717,0.03524103
2662,0.0089427475,1.5502851,1.4641236
2776,-0.0030241846,0.089753196,0.13208894
3811,0.20731182,0.5010933,0.13267818
2532,0.3725454,-2.0225017,1.4917697
3495,0.72219115,-0.67966574,0.08075456
3541,0.014686701,-0.30320805,0.40984732
2968,-0.19723114,-1.2624431,1.3741807
3715,0.008332741,-0.12301598,0.27223378
2424,1.2425277,0.41922545,0.5191868
3334,0.14976825,-0.4164752,0.38626048
3109,-0.78879696,-1.0166664,1.7077105
2075,0.0925916,-1.210475,1.0854098
3251,0.373278,-0.6426815,0.35821742
2020,-0.101802826,-0.80137604,0.8854263
2731,0.66687095,-0.79347855,0.19419184
3292,-0.8611205,1.1722155,0.10476284
3798,0.38469502,-1.293145,0.8439907
3765,0.42521307,-0.5219088,0.18787503
2902,0.46590424,-1.5321796,1.0148125
3240,-1.0157945,-0.78381246,1.6843793
3335,-0.31332928,-0.41092867,0.7609597
2856,-0.17895605,-0.10400312,0.4141207
2973,0.577133,-0.6980916,0.20943704
3797,0.12141713,-0.64844376,0.5978981
2767,-0.49708438,0.48080158,0.42272663
2940,0.10106314,-0.24957779,0.24626574
3954,-0.10296633,0.20128456,0.06773715
3873,0.297731,-0.63468426,0.41355598
3305,0.3249461,-0.5059753,0.2699664
2749,-0.43577746,-0.053701352,0.5783265
2016,0.28245682,-1.6125374,1.2483375
3967,-0.19107378,0.086394,0.22638154
3682,-0.04005574,-0.24957323,0.3784279
3199,0.21252248,-0.53591263,0.44852185
3944,0.6252071,-0.6654693,0.13917379
2026,-0.2839458,-0.80255914,1.4634773
3141,-0.10529489,0.10914665,0.14556785
2997,-0.2588163,-1.265962,1.3698229
2318,-0.5865097,0.033738803,0.6164594
2253,-0.07957516,-0.61949706,0.71473867
2725,-0.50299454,-0.084095,0.6369725
3302,0.17498519,-0.3649621,0.3684697
2648,0.43984,-0.14430878,0.06456588
3693,-0.28335476,-0.42267182,0.73369515
3162,-0.435752,0.5478875,0.12425262
2653,-0.84440553,-1.6404065,2.1824248
3203,0.021973897,0.06453246,0.305315
2328,-0.10717748,-0.46390787,0.62654555
2413,0.0113630295,-0.4193244,0.4650573
3384,-0.26279077,-1.3750771,1.4549179
2554,0.39945474,-0.23419443,-0.003446734
2857,0.34562102,-0.6049075,0.33555874
3365,-0.2894925,-0.6048662,1.2724293
3097,-0.10433342,0.25311264,0.06610141
2051,-0.13330287,0.19279462,0.17943361
3591,-0.34400016,0.5359731,0.39744085
3779,0.15126944,0.22720785,0.3845932
2037,-0.0067698923,-1.2531565,1.1458337
2153,-1.3917953,-1.623598,3.0720136
2682,-0.3628901,0.27841133,0.26394233
2947,-0.069738135,-0.30453926,0.43326396
3298,-0.22228885,0.0798261,0.2719285
3936,-0.17429806,0.23819461,0.13276419
3874,0.3127575,-1.6095041,1.2193935
