ix,goal_cost,intv_cost
2003,0.954,1.9
2051,0.955,0.7
2074,0.961,3.6
2307,0.954,1.4
2914,0.9509999752044678,2.0
3878,0.952,4.4
3474,0.967,0.9
2141,0.951,5.699999999999999
2858,0.965,2.3
2847,0.962,2.7
3912,0.958,1.0
2302,0.951,16.700000000000003
3673,0.976,1.6
2158,0.9729999899864197,1.0
3027,0.951,7.2
2414,0.952,0.9
3433,0.955,3.0999999999999996
3124,0.956,0.8
2793,0.955,4.4
2992,0.952,6.6
3408,0.953,9.0
3930,0.954,1.9
3722,0.952,1.4
3061,0.976,1.7
2730,0.959,0.8
2832,0.959,1.0
3683,0.956,2.8000000000000003
3365,0.956,1.8
3604,0.959,2.1
3424,0.954,4.6
3238,0.955,9.8
2175,0.954,5.1
2217,0.9670000076293945,1.5
2153,0.956,5.7
2907,0.954,8.2
2111,0.955,2.9000000000000004
3449,0.955,12.8
2940,0.954,7.5
3874,0.953,7.4
3272,0.966,0.8
3692,0.956,7.5
3963,0.961,4.7
3719,0.958,1.1
2044,0.96,0.9
3704,0.952,1.2
2469,0.951,3.1
2266,0.972,7.300000000000001
3557,0.97,1.3
2824,0.96,2.6
3400,0.955,1.5
3965,0.952,0.9
3922,0.952,5.4
2943,0.954,3.1
3299,0.958,1.1
2013,0.957,3.9000000000000004
2323,0.971,0.9
3783,0.957,2.1
2609,0.956,0.9
2301,0.952,4.0
3837,0.954,4.300000000000001
3081,0.975,1.3
3947,0.952,4.9
2872,0.955,2.6
2490,0.952,5.199999999999999
2500,0.959,1.2
2772,0.961,1.6
2098,0.9549999833106995,2.0
3375,0.953,0.7
2371,0.951,10.6
3485,0.968,1.0
2954,0.952,5.199999999999999
2636,0.951,2.6
2709,0.956,0.8
2411,0.954,5.8
2453,0.956,1.6
3278,0.951,10.4
3844,0.959,2.7
2000,0.951,2.6
3893,0.965,1.3
2533,0.953,1.1
2299,0.955,6.3999999999999995
3332,0.9539999961853027,5.5
2544,0.958,1.3
2335,0.951,0.8
3069,0.956,1.6
2220,0.961,2.5
2674,0.959,3.4000000000000004
3860,0.953,3.1
2953,0.956,4.3
2644,0.967,0.9
3728,0.954,3.5
3551,0.953,1.1
3590,0.955,9.100000000000001
2618,0.9539999961853027,1.5
3148,0.963,1.8
2494,0.958,4.3
2458,0.963,1.6
2160,0.957,2.6
2751,0.955,7.5
2031,0.951,11.1
3848,0.958,1.4
3116,0.954,3.9
3612,1.0,2.0
3293,0.959,4.2
2109,0.9729999899864197,1.0
3022,0.957,2.3
3168,0.954,1.4
3512,0.985,4.3
2459,0.951,12.6
2245,0.951,12.2
2978,0.972,1.2
2152,0.952,9.3
3237,0.952,7.3
2203,0.951,3.0999999999999996
3152,0.952,3.4
2603,0.962,1.3
3347,0.951,6.1
3578,0.952,8.5
2979,0.959,3.2
3932,0.967,1.8
2010,0.964,1.2
3999,0.965,0.9
2336,0.952,2.4000000000000004
2181,0.961,1.3
3396,0.965,1.2
3482,0.962,0.8
3953,0.9649999737739563,2.0
3384,0.955,11.3
3334,0.971,1.1
2785,0.954,2.7
3648,0.954,3.2
2876,0.954,8.3
2259,0.994,1.7
2506,0.955,2.1
3702,0.953,8.4
2745,0.952,9.8
2401,0.954,1.3
2853,0.951,6.300000000000001
3096,0.952,3.5
3625,0.953,4.6
2320,0.955,1.0
3298,0.953,3.9
2805,0.965,1.1
2147,0.956,2.5
2461,0.951,2.8
2390,0.951,1.4
2927,0.959,2.0
2253,0.952,8.2
2642,0.953,9.8
2054,0.953,3.6
3276,0.951,1.8
3967,0.954,6.7
3174,0.951,3.9000000000000004
2777,0.955,5.199999999999999
2115,0.96,1.1
3951,0.954,8.4
3747,0.951,7.1
3739,0.957,1.1
3541,0.953,4.800000000000001
3591,0.958,1.2
2873,0.956,6.0
3527,0.955,5.9
3889,0.952,3.8
2318,0.958,1.1
3993,0.989,2.4
2918,0.951,11.3
2686,0.96,0.9
3952,0.965,2.8
3920,0.951,5.6
2157,0.962,0.8
2606,0.974,2.3
2150,0.952,0.9
3710,0.969,1.3
2070,0.956,2.2
3028,0.952,5.6
2178,0.955,1.0
3547,0.952,5.0
2273,0.954,7.3
2545,0.9700000286102295,1.0
3545,0.952,8.3
2487,0.965,0.8
2435,0.954,5.5
3367,0.954,7.8
3233,0.952,3.8
2036,0.953,2.2
3774,0.963,2.2
3052,0.957,0.9
2331,0.959,8.7
3959,0.958,1.3
2091,0.951,2.5
2204,0.952,13.2
2028,0.973,1.3
3538,0.952,6.9
2239,0.963,1.5
3977,0.953,4.300000000000001
3103,0.964,1.1
3883,0.955,2.5
3041,0.953,4.800000000000001
2231,0.958,2.6
2517,0.956,0.9
