ix,goal_cost,intv_cost
3897,1.0,5.0
2704,1.0,2.4
3164,1.0,2.2
2257,1.0,0.5
2270,1.0,4.1
2335,1.0,2.9000000000000004
2581,1.0,2.2
3588,1.0,4.2
3740,1.0,3.5
3386,1.0,8.5
3002,1.0,1.7
3082,1.0,4.6
3154,1.0,4.0
3254,1.0,0.9
2507,1.0,0.7
3174,1.0,1.3
3741,1.0,4.0
3095,1.0,0.1
3523,1.0,2.7
2836,1.0,4.800000000000001
3746,1.0,0.7
3016,1.0,0.3
2154,1.0,3.1
2967,1.0,0.5
3444,1.0,2.5999999999999996
3330,1.0,1.2000000000000002
3725,1.0,2.3
3146,1.0,4.1
3343,1.0,3.7
2757,1.0,3.1999999999999997
2892,1.0,0.6
3397,1.0,6.5
3299,1.0,1.3
2384,1.0,2.1
3785,1.0,4.800000000000001
3954,1.0,0.30000000000000004
3733,1.0,1.3
2910,1.0,4.8
2291,1.0,1.9
3638,1.0,4.1
3151,1.0,5.8999999999999995
3213,1.0,3.9
2889,1.0,3.8
2928,1.0,0.9
3577,1.0,1.7
3406,1.0,0.1
3266,1.0,5.1
2913,1.0,5.300000000000001
2613,1.0,5.6
3885,1.0,2.7
2946,1.0,3.2
2546,1.0,1.2000000000000002
3261,1.0,4.5
2992,1.0,1.4000000000000001
3418,1.0,5.3
3051,1.0,0.2
2294,1.0,2.2
3347,1.0,0.8999999999999999
2733,1.0,3.1
3158,1.0,3.9
2932,1.0,1.1
2929,1.0,3.3
3339,1.0,0.2
2728,1.0,0.3
3263,1.0,0.9
2001,1.0,1.8
3054,1.0,1.4
2251,1.0,5.8
2166,1.0,0.30000000000000004
2039,1.0,6.3
2820,1.0,4.1
2120,1.0,6.3
2560,1.0,0.9
2754,1.0,7.0
2015,1.0,1.2
3232,1.0,5.2
2506,1.0,3.6
3281,1.0,0.9
2036,1.0,2.3
3027,1.0,1.6
3542,1.0,1.8
2540,1.0,10.0
3085,1.0,3.9000000000000004
3629,1.0,1.4000000000000001
2087,1.0,3.2
3309,1.0,1.6
2516,1.0,0.8
2323,1.0,6.7
3999,1.0,0.6
2746,1.0,4.3
3335,1.0,1.5
2666,1.0,2.0
3124,1.0,4.8
3088,1.0,4.0
3808,1.0,2.3
3634,1.0,1.0
2232,1.0,1.7
3006,1.0,2.5
3765,1.0,2.1
3722,1.0,0.4
2385,1.0,1.1
2375,1.0,0.7
2984,1.0,3.2
3877,1.0,3.9000000000000004
2084,1.0,5.4
3547,1.0,3.4000000000000004
2476,1.0,0.2
3047,1.0,0.6
3973,1.0,5.4
3512,1.0,0.9
3060,1.0,4.2
3651,1.0,4.9
2801,1.0,1.6
3677,1.0,5.1
2676,1.0,1.6
2338,1.0,1.6
3506,1.0,3.3
2393,1.0,6.0
2253,1.0,1.1
3284,1.0,1.1
3337,1.0,1.7999999999999998
2347,1.0,3.5
3732,1.0,4.7
2202,1.0,1.8
2010,1.0,0.8
2467,1.0,8.5
3420,1.0,5.6
2952,1.0,1.5
2415,1.0,2.5
2422,1.0,3.6999999999999997
2792,1.0,0.1
3737,1.0,2.9
2558,1.0,1.3
2359,1.0,0.2
2690,1.0,2.1
3061,1.0,1.8
3822,1.0,0.1
2655,1.0,3.9
2409,1.0,7.2
2221,1.0,7.2
2092,1.0,1.1
2831,1.0,0.1
2977,1.0,2.5
2096,1.0,3.5
3097,1.0,0.5
2719,1.0,4.6
2240,1.0,0.1
3856,1.0,0.4
2696,1.0,0.5
2475,1.0,7.0
3121,1.0,2.9
2420,1.0,0.1
3788,1.0,4.4
2314,1.0,0.4
3684,1.0,5.6000000000000005
2023,1.0,1.2
3460,1.0,3.1999999999999997
3720,1.0,4.3
3312,1.0,0.7
3579,1.0,2.5
2468,1.0,2.7
2363,1.0,2.2
2212,1.0,4.2
2810,1.0,4.4
3230,1.0,0.9
2348,1.0,2.1999999999999997
3931,1.0,4.0
3587,1.0,1.7000000000000002
2626,1.0,0.5
2824,1.0,7.2
3377,1.0,4.2
3979,1.0,1.2
2941,1.0,5.3
3648,1.0,2.7
3663,1.0,1.8
2600,1.0,4.6
2205,1.0,3.0999999999999996
3661,1.0,3.2
3554,1.0,3.9000000000000004
2427,1.0,5.7
3896,1.0,3.1
2086,1.0,2.6
2885,1.0,3.6999999999999997
2621,1.0,5.3
2823,1.0,1.3
3150,1.0,0.9
3478,1.0,8.5
2163,1.0,3.3000000000000003
2139,1.0,1.9
2474,1.0,12.8
2738,1.0,3.2
3541,1.0,2.5
3017,1.0,1.6
2724,1.0,4.6
2245,1.0,4.1000000000000005
2094,1.0,3.5
2366,1.0,0.30000000000000004
2093,1.0,4.9
2796,1.0,1.7000000000000002
3623,1.0,6.1
