,y_hat
3951,False
3261,False
3198,False
3033,False
3348,False
2144,False
2899,False
3199,False
3177,False
2611,False
2062,False
3458,False
2237,False
2467,False
2679,False
2334,False
3863,False
3095,False
3448,False
2502,False
2107,False
2783,False
2436,False
2865,False
3534,False
3569,False
2567,False
3508,False
3316,False
3599,False
3495,False
2124,False
2101,False
3463,False
2102,False
2308,False
2674,False
3623,False
3489,False
3278,False
2874,False
3707,False
3858,False
3438,False
2183,False
2816,False
3879,False
2484,False
3604,False
3826,False
3431,False
3474,False
3300,False
3755,False
2749,False
2627,False
2210,False
2449,False
3793,False
3703,False
2843,False
2531,False
3214,False
2747,False
3258,False
2954,False
3650,False
3689,False
3795,False
3422,False
2966,False
2405,False
3193,False
2084,False
2738,False
3275,False
2901,False
3717,False
3995,False
2704,False
2612,False
3157,False
2877,False
2147,False
3619,False
3365,False
3988,False
3439,False
3500,False
3215,False
3186,False
2327,False
3281,False
3109,False
2654,False
3864,False
2050,False
2764,False
2814,False
3012,False
2323,False
2367,False
2580,False
2202,False
2081,False
2389,False
3040,False
2179,False
2126,False
2022,False
2488,False
3339,False
2905,False
3127,False
3445,False
3624,False
2244,False
3054,False
2775,False
2870,False
2657,False
3626,False
3784,False
2933,False
3632,False
2683,False
3651,False
2934,False
2002,False
2036,False
3480,False
2585,False
3478,False
3743,False
3174,False
2343,False
3654,False
2091,False
2809,False
2602,False
2127,False
2541,False
2759,False
2010,False
2410,False
3721,False
3233,False
2380,False
2876,False
3986,False
2186,False
3294,False
2008,False
3450,False
3588,False
3303,False
2886,False
3684,False
3488,False
2005,False
2969,False
2731,False
3203,False
2842,False
3141,False
2359,False
2996,False
2740,False
3306,False
3697,False
3551,False
2247,False
2653,False
3401,False
2217,False
3263,False
3218,False
2014,False
2975,False
2206,False
2431,False
2447,False
3720,False
3742,False
3855,False
3045,False
3423,False
3736,False
3693,False
3005,False
2846,False
2340,False
2223,False
3558,False
3980,False
2277,False
3101,False
3676,False
2399,False
3542,False
