ix,goal_cost,intv_cost
3982,0.958,7.3
3202,0.954,6.3
2054,0.952,8.4
2566,0.954,6.4
2700,0.956,5.3
3415,0.956,6.2
3752,0.96,3.5
2635,0.958,7.6000000000000005
2724,0.954,5.300000000000001
3179,0.952,4.5
3118,0.956,12.2
3688,0.962,6.6
3824,0.954,5.699999999999999
2402,0.958,6.1
2585,0.964,4.9
3923,0.962,7.4
3652,0.96,6.7
3191,0.952,8.7
2722,0.954,5.8
2598,0.964,4.5
2498,0.968,10.0
2814,0.956,10.9
3008,0.954,7.0
2488,0.952,6.1
3964,0.954,12.6
2887,0.96,5.1
2499,0.956,12.299999999999999
3619,0.954,6.8
3530,0.952,7.8
2143,0.954,12.0
2093,0.954,7.3
3553,0.962,3.6999999999999997
3033,0.96,7.6
3525,0.952,5.6
2490,0.962,5.4
3858,0.954,14.399999999999999
2236,0.962,4.1
2470,0.952,3.0999999999999996
3644,0.96,3.4
2178,0.9539999961853027,3.5
2843,0.962,9.399999999999999
3399,0.954,5.5
2514,0.956,8.2
2560,0.954,6.6
2095,0.96,9.9
3717,0.968,8.0
2798,0.952,6.0
2478,0.958,4.8
2770,0.956,5.0
2131,0.96,7.199999999999999
2933,0.956,10.7
2675,0.954,4.6
3013,0.956,5.800000000000001
3095,0.958,3.4
2329,0.958,11.6
2264,0.954,9.5
2738,0.956,3.7
3866,0.956,7.8
2973,0.954,4.1
3355,0.958,4.8
3742,0.954,2.9
3301,0.964,4.3
3601,0.954,10.3
2638,0.96,9.2
2617,0.956,3.2
3222,0.954,3.8000000000000003
3025,0.952,9.899999999999999
2019,0.962,4.3
2476,0.956,6.7
2101,0.954,5.9
3629,0.954,7.6
2849,0.962,9.399999999999999
3934,0.954,2.9
3450,0.958,9.5
3532,0.962,3.7
3628,0.954,6.6
2442,0.952,3.1
2092,0.956,9.399999999999999
2343,0.962,4.300000000000001
2201,0.952,7.2
2218,0.952,9.0
2870,0.952,5.1
2213,0.956,6.300000000000001
2686,0.954,5.3
3069,0.954,3.7
2030,0.954,8.1
2885,0.962,5.4
2928,0.954,3.7
2383,0.952,11.1
2632,0.952,4.3999999999999995
2132,0.96,9.3
3551,0.956,9.9
2572,0.958,8.1
2359,0.964,9.100000000000001
3476,0.956,9.9
3950,0.966,3.3
3112,0.966,9.3
2519,0.968,7.4
3487,0.958,3.0
2126,0.96,9.1
2348,0.954,8.7
2248,0.954,5.800000000000001
2595,0.954,7.8
3683,0.952,3.2
2318,0.96,11.0
3021,0.956,9.2
2105,0.964,2.7
2214,0.954,3.9000000000000004
2866,0.956,8.3
3351,0.952,6.0
3785,0.954,12.7
2886,0.954,3.0
3297,0.952,12.6
3143,0.954,11.1
2754,0.954,3.4000000000000004
2646,0.952,3.5999999999999996
2192,0.952,5.8
2614,0.966,9.0
3061,0.954,6.6
3853,0.9599999785423279,11.5
3108,0.958,6.3
3668,0.952,4.6
2330,0.96,7.2
2691,0.954,6.8999999999999995
3801,0.954,3.1
3401,0.952,8.1
2001,0.954,3.7
2741,0.956,3.2
2800,0.952,8.3
2600,0.952,5.3
3102,0.952,5.199999999999999
3533,0.952,6.6
3367,0.954,4.9
3027,0.956,11.899999999999999
3194,0.954,3.6
2336,0.952,5.0
3694,0.958,3.1
3959,0.962,5.5
2701,0.962,4.199999999999999
3581,0.954,3.1
3354,0.952,8.1
3247,0.952,3.0999999999999996
3738,0.954,3.5
2792,0.952,11.8
3059,0.956,5.8
3740,0.966,8.2
3980,0.954,14.1
3077,0.952,9.1
2626,0.952,5.5
2064,0.952,3.6
2458,0.968,5.3999999999999995
3563,0.96,6.5
2005,0.954,4.6
2139,0.956,4.5
2718,0.952,5.1
3871,0.952,3.6999999999999997
3376,0.954,7.4
3676,0.954,2.9
3377,0.952,15.399999999999999
2354,0.952,6.4
3283,0.968,9.5
3504,0.96,9.2
3972,0.952,8.5
3049,0.952,5.2
3138,0.952,6.5
2592,0.968,15.5
2284,0.958,3.5
2296,0.954,11.5
3011,0.966,6.7
2737,0.954,3.4000000000000004
3062,0.954,10.5
3502,0.954,8.8
2860,0.954,8.1
2540,0.952,7.9
3457,0.962,5.0
3855,0.952,10.399999999999999
2465,0.96,7.6
3137,0.966,3.0999999999999996
2288,0.962,12.4
2568,0.954,5.5
2884,0.958,7.699999999999999
2425,0.954,3.2
2171,0.952,16.4
3039,0.954,3.5999999999999996
3063,0.954,5.2
3550,0.964,3.6
2494,0.956,4.9
3840,0.966,3.8000000000000003
2374,0.956,3.9
3271,0.954,5.6000000000000005
3183,0.954,4.0
2496,0.954,3.6
2565,0.956,7.6
2487,0.952,8.7
2925,0.954,3.5
2306,0.96,7.2
3834,0.952,3.8000000000000003
3272,0.954,5.0
3662,0.96,6.9
3460,0.956,4.7
