,x1,x2,x3
2080,0.3269128,-0.8183932,0.4131659
2140,0.26829752,-0.18416125,0.1777452
2713,-1.307846,-0.18572068,1.1174759
2748,-0.3645058,-0.5315313,0.68768996
2696,-0.22005828,-0.2045035,0.31589133
2431,-0.7485143,0.35264993,0.27612525
2862,-0.3263995,0.115021564,0.13612862
3602,0.48316303,-0.8974544,0.34915152
2378,-0.47132263,-1.0986576,1.2405692
2798,-0.38271952,0.09638973,0.19313264
3949,-1.4147396,0.24538974,0.8596772
3183,-0.090081766,-0.1633375,0.23706989
3556,0.2532841,-1.04191,0.65652966
3386,-0.38293287,-0.18097836,0.4325805
3333,-0.504731,0.28909323,0.12647745
2829,-0.64121735,0.42061257,0.13796143
2190,-0.04009769,-0.26690573,0.24711156
3187,-0.24526365,0.18863626,0.06163041
3944,-0.29484656,-0.75344175,0.85216266
3349,-0.37698725,-0.45972374,0.6993129
2715,-0.4876855,-0.3275804,0.6226182
3059,0.22217004,-0.8557317,0.55191267
3232,-0.93326795,-0.29790878,0.9646708
2469,-0.73035365,0.02766025,1.1307948
2681,-0.34604257,-0.015661646,0.2576649
2230,-1.1699189,0.22140928,0.7158441
2312,-0.15676267,-1.1677697,1.08629
2954,-0.65416056,0.8410427,0.08213341
2038,-0.15668379,-1.6634325,1.5174258
2151,-0.7934868,-0.041151047,1.6726376
2587,0.3933988,-1.8065844,1.1824543
3103,-0.22210944,-0.024375603,0.25090644
2802,-0.77283853,0.17182782,0.44856566
3474,0.51029736,-0.51896036,0.015947128
3188,-0.587117,0.20221168,0.38300014
3800,0.0301368,-0.7797323,0.63092077
2592,0.18659133,-0.4022616,0.19406505
3140,-0.032799553,-1.1449074,0.9423503
3149,0.31559905,-0.34559304,0.03612888
3906,-0.21040542,-0.8708085,0.8622906
3413,-0.2823039,-0.13059574,0.33107072
2814,-0.35101527,0.16888565,0.21034086
2650,-1.2853118,-1.5207977,2.185235
2685,-0.40112895,0.28696755,0.052828647
3489,-0.12765737,-0.0020674705,0.1060894
2559,-0.15020864,-0.2488667,0.2977091
3110,-0.777681,-0.435312,0.9340595
2321,-1.0037618,0.056427717,0.7771523
2115,-0.19846533,0.04373164,0.11171765
3091,0.09061055,-0.8743109,2.4821985
3371,-0.8727542,-0.013913536,0.6580029
3408,-0.97914636,-0.24311247,0.93335474
2156,-0.5448023,0.25769913,0.18870251
3784,-0.46439338,-1.7594618,1.7444028
2513,-0.03083812,-0.5821972,0.4950709
3015,-0.9929353,-0.54527885,1.180248
2461,0.31534392,-0.2971073,0.04280546
2665,-0.23715827,-0.36752725,0.46642464
2236,-0.17524776,-0.5411267,0.5478904
3910,-1.0286331,-0.57244045,2.7147303
3251,-0.4767272,-0.47173515,0.7273888
2752,-0.5149059,-0.84090066,1.0741972
