,x1,x2,x3
2688,0.4,0.3,1.8
3873,0.0,0.2,1.7
3955,0.5,-0.0,3.8
3553,-0.0,0.4,6.3
3663,0.1,0.0,2.3
2202,-0.0,0.4,2.5
3086,0.3,0.7,5.5
3992,-0.0,0.0,0.8
2928,0.2,-0.0,1.5
3472,0.2,0.6,2.3
3000,0.0,0.0,2.7
2449,0.0,0.3,3.4
2036,0.0,0.2,2.9
2407,0.0,-0.0,0.7
3380,-0.0,0.1,0.2
2622,0.2,1.4,6.0
3759,-0.0,0.1,0.4
2922,0.0,0.0,1.9
3226,0.0,0.7,3.5
2903,-0.0,-0.0,4.4
3620,0.2,0.7,3.3
2405,0.0,0.0,0.8
3108,0.0,1.2,4.1
3858,-0.0,0.0,3.6
3359,-0.0,0.2,1.1
3506,0.7,0.5,6.6
3455,-0.0,-0.0,1.2
3886,0.1,0.1,1.5
3601,0.4,0.6,6.0
3971,0.1,0.3,2.1
3927,0.1,-0.0,4.2
3201,0.1,0.2,1.4
2596,0.3,0.1,3.2
2215,-0.0,0.8,2.2
2648,0.3,0.0,2.1
3481,-0.0,0.0,3.6
2297,0.1,-0.0,2.5
2349,0.4,0.0,3.5
3930,0.0,-0.0,1.5
3144,0.0,0.4,1.9
3789,-0.0,-0.0,1.1
3587,0.0,0.0,0.1
2085,0.0,-0.0,3.1
2322,-0.0,0.2,4.4
2769,0.0,0.0,1.1
2278,0.1,1.8,3.6
2860,-0.0,-0.0,2.5
2545,-0.0,2.3,6.9
3440,0.0,0.2,3.7
3677,0.0,0.0,0.7
3983,0.0,0.0,2.3
3547,0.1,-0.0,2.1
2994,0.0,0.1,1.8
3224,-0.0,0.1,0.3
3196,0.2,0.1,0.5
3091,-0.0,0.0,0.5
3274,0.1,-0.0,1.4
3771,0.0,0.0,0.4
3419,0.2,0.0,0.9
2795,0.3,0.0,4.7
3302,0.3,0.2,2.4
3753,-0.0,0.0,0.4
3264,-0.0,0.4,1.0
3288,0.2,0.0,3.8
2090,1.0,0.2,4.6
2771,-0.0,0.2,1.2
2100,0.5,0.0,2.1
3400,-0.0,1.2,8.2
3560,-0.1,-0.0,0.4
2762,0.0,0.0,0.9
3766,-0.0,-0.1,0.1
3279,0.1,0.1,2.0
2679,0.1,-0.0,0.3
3005,-0.0,0.7,2.7
2578,-0.0,0.0,0.5
3036,1.3,0.5,7.4
2941,0.2,0.5,1.5
3774,-0.0,-0.0,5.1
2686,0.0,0.1,0.4
3733,0.0,0.0,0.2
2444,0.0,0.0,3.1
3271,0.2,-0.0,2.4
3194,0.1,-0.0,2.4
3280,0.3,0.5,3.6
3815,0.1,0.1,4.0
3334,0.0,0.4,2.3
2553,0.1,0.3,3.9
2988,0.0,0.6,3.2
3009,-0.0,1.2,2.2
3710,0.0,0.1,2.6
3912,0.0,-0.0,0.1
2069,0.1,0.0,2.0
3834,0.1,0.1,1.8
2041,0.1,0.3,1.4
2530,0.1,0.0,-0.0
2975,0.0,0.0,3.3
3176,0.6,1.5,5.6
2939,-0.0,0.6,2.4
3456,0.0,0.0,2.9
2105,1.0,2.1,6.1
2274,0.0,0.9,6.9
3475,0.0,0.1,0.1
3074,0.0,0.3,1.9
2486,-0.0,-0.0,0.9
2531,0.5,0.7,3.3
3460,0.0,0.7,3.7
3984,-0.0,0.0,3.8
3633,0.0,0.0,1.6
2489,0.5,0.1,1.7
3482,0.1,0.8,6.2
2547,0.1,0.0,3.0
2562,0.5,-0.0,4.6
3745,1.4,0.2,3.8
3712,0.0,0.3,1.5
3599,0.5,0.0,4.0
3122,0.0,0.0,1.9
2169,0.1,1.0,4.5
2234,-0.0,0.3,2.7
3671,0.1,1.3,1.4
2709,0.1,0.1,2.8
3994,0.3,0.3,4.0
3188,-0.0,1.0,4.2
2042,0.0,0.0,5.7
3956,0.0,-0.0,2.3
3178,-0.0,0.1,5.5
2926,-0.0,0.5,2.4
3428,-0.0,0.1,1.7
3213,0.0,0.1,0.9
3002,-0.0,0.0,3.1
3064,0.3,0.0,0.3
3065,0.6,0.1,3.7
3015,0.1,0.9,3.0
2246,-0.0,0.2,4.2
2275,0.0,0.9,1.9
3139,-0.0,0.2,3.7
3715,-0.0,0.2,2.1
2454,0.0,-0.0,1.9
2689,-0.0,0.7,1.9
3446,-0.0,0.0,4.0
2899,-0.0,-0.0,0.2
2131,0.1,0.2,3.0
2600,0.0,0.0,2.9
3687,0.0,-0.0,1.8
2277,-0.0,-0.0,0.3
2780,-0.0,1.1,3.5
2142,0.1,0.1,4.2
3350,0.0,0.1,0.3
3661,0.1,0.1,1.9
3746,0.0,-0.1,0.9
2442,0.5,0.0,2.9
2192,0.0,0.0,1.5
3608,-0.0,0.2,1.3
2523,0.5,0.2,2.6
2870,0.8,1.3,4.4
2450,0.9,0.2,5.4
2393,0.2,0.8,3.4
2126,0.1,0.1,2.1
2723,0.9,0.0,3.9
2865,-0.0,0.0,2.7
2337,0.1,0.7,4.5
3572,0.5,-0.0,3.1
3770,0.1,0.0,1.3
2341,0.0,0.1,1.3
3140,0.2,0.3,0.9
2185,0.0,0.0,2.5
3163,-0.0,-0.0,0.9
3711,0.1,0.2,1.4
2424,-0.0,0.0,0.2
2204,-0.0,-0.0,0.8
3372,0.0,-0.0,0.8
