,x1,x2,x3
3704,0.5,0.8,0.0
2046,0.1,0.0,0.3
3991,0.0,0.0,0.7
2564,0.3,0.6,3.5
2044,0.2,-0.0,2.3
2615,0.5,0.0,2.6
3869,0.7,-0.0,-0.0
3335,2.4,2.3,-0.0
2063,-0.0,0.0,0.5
2396,0.1,0.0,1.8
2837,0.3,0.0,2.1
2561,0.0,0.0,0.9
3320,0.5,0.7,3.7
3590,0.9,2.3,-0.0
3985,0.0,0.1,0.0
2722,0.1,0.6,5.1
3678,0.4,0.0,2.5
3328,0.2,0.0,1.1
2413,0.2,-0.0,0.5
3843,0.1,-0.0,3.8
3495,-0.0,1.1,0.0
2996,-0.0,0.3,1.3
2978,0.0,0.1,1.9
3297,0.1,0.0,1.8
2267,1.4,0.0,0.0
3165,-0.0,-0.0,1.6
3484,0.4,-0.0,5.1
3001,0.6,-0.0,2.2
3478,0.1,0.2,4.1
2779,0.4,0.0,4.1
3497,0.5,0.6,0.0
2145,0.6,-0.0,-0.0
3903,0.1,0.0,2.3
3646,1.3,2.2,0.0
2121,-0.0,0.5,0.0
3118,-0.0,0.1,2.1
2707,0.1,0.0,1.4
3139,0.0,0.0,0.5
3777,-0.0,0.0,3.8
2036,0.2,-0.0,-0.0
2010,1.2,0.0,4.1
3196,0.2,-0.0,-0.0
3103,0.5,-0.0,5.2
3949,0.1,0.0,0.4
3301,0.1,0.7,4.0
2004,0.4,-0.0,-0.0
3823,0.2,-0.0,0.8
3567,0.7,0.0,1.9
3659,0.7,-0.0,4.8
2146,0.6,0.0,6.1
3893,0.1,-0.0,5.7
2094,0.0,0.5,2.3
2403,0.1,0.0,1.8
3740,0.7,1.3,-0.0
3273,0.0,1.3,2.1
3566,-0.0,0.1,0.9
2307,0.7,1.6,0.0
3673,0.5,0.0,0.0
2959,0.1,-0.0,0.0
2037,0.2,-0.0,-0.0
2420,0.1,0.6,4.0
3027,0.0,0.2,2.7
3707,0.0,-0.0,0.9
2728,0.0,0.0,0.5
3304,0.0,0.2,4.3
2765,0.1,-0.0,3.2
2277,-0.0,-0.0,0.4
3429,0.7,-0.0,2.4
3979,-0.0,1.9,0.0
2583,0.2,1.9,-0.0
2281,0.4,0.0,1.7
3240,0.5,0.0,3.2
2323,0.5,0.0,1.8
2714,-0.0,0.0,0.8
3056,0.5,-0.0,3.2
2285,0.1,-0.0,0.4
2540,0.3,-0.0,5.0
2491,0.1,1.1,-0.0
2484,0.0,0.1,2.0
3660,0.2,0.9,0.0
2051,0.8,-0.0,4.5
3885,0.2,-0.0,0.7
2479,1.0,2.8,-0.0
2701,0.4,-0.0,0.9
2958,0.0,0.4,2.6
3920,0.8,0.0,2.4
3393,0.1,-0.0,-0.0
2642,0.5,0.0,1.1
2111,-0.0,-0.0,2.2
3896,0.0,0.1,0.0
2794,0.0,-0.0,1.7
3952,0.7,0.0,0.0
3082,0.8,-0.0,0.0
3464,0.2,-0.0,1.0
2826,-0.0,-0.0,0.3
2534,1.0,1.6,-0.0
2344,0.0,1.1,0.0
3626,0.7,-0.0,5.2
3375,0.0,0.0,4.6
2392,0.1,0.0,2.4
2143,-0.0,0.0,1.3
2925,0.1,0.0,2.5
3702,1.4,0.1,6.0
2907,0.1,-0.0,0.0
3963,1.0,2.2,4.9
3032,0.2,0.1,4.4
2531,0.4,-0.0,0.0
3045,0.0,-0.0,3.3
3797,0.0,0.9,4.7
3282,0.0,0.1,-0.0
2023,0.3,-0.0,1.0
3420,0.0,0.0,0.8
3197,0.5,0.0,1.0
3115,0.2,-0.0,1.4
2234,0.0,1.8,4.7
3853,0.3,0.0,2.6
3050,0.3,0.0,0.0
3520,0.2,0.4,5.1
3935,1.1,0.0,4.9
3468,0.3,-0.0,-0.0
3803,0.0,0.0,1.3
2741,1.3,0.0,-0.0
2171,0.5,0.0,0.0
3106,0.3,-0.0,0.0
2042,0.6,-0.0,-0.0
2803,-0.0,0.5,2.7
2115,-0.0,-0.0,0.4
3993,0.0,0.1,-0.0
2261,0.0,0.0,4.7
2737,0.1,1.0,3.5
2122,0.5,0.0,0.0
2035,1.3,-0.0,5.3
2663,0.0,0.6,-0.0
2225,0.2,-0.0,0.9
2089,0.0,0.2,2.6
3008,0.1,0.0,0.5
2472,-0.1,0.0,8.6
3161,0.8,-0.0,0.0
2577,-0.0,0.0,3.4
