ix,goal_cost,intv_cost
3040,1.0,4.1
2399,1.0,0.6
3467,1.0,0.7
3697,1.0,1.7
3466,1.0,3.7
3561,1.0,0.2
3262,1.0,1.1
3764,1.0,1.6
3947,1.0,1.2
2530,1.0,0.6
3767,1.0,5.1000000000000005
3399,1.0,0.4
3884,1.0,3.0
2146,1.0,0.1
3780,1.0,0.6
2921,1.0,0.3
3034,1.0,0.4
2797,1.0,1.3
3722,1.0,0.6
3023,1.0,1.4
2430,1.0,3.6
3018,1.0,5.0
2366,1.0,0.4
2816,1.0,0.3
3409,1.0,0.5
3679,1.0,1.2999999999999998
2648,1.0,1.9
3249,1.0,4.4
2235,1.0,1.0
3915,1.0,0.4
3360,1.0,0.9
2325,1.0,1.7
3717,1.0,1.0
3647,1.0,0.1
3397,1.0,0.5
3084,1.0,1.0
2172,1.0,10.2
3295,1.0,1.4
2020,1.0,4.9
2911,1.0,0.4
2745,1.0,14.4
2479,1.0,0.5
2998,1.0,3.1
2831,1.0,5.1
3115,1.0,0.7
3453,1.0,1.5
2852,1.0,8.6
3493,1.0,13.2
3919,1.0,2.3
2507,1.0,0.2
3612,1.0,10.3
2548,1.0,2.8
3130,1.0,0.2
2062,1.0,2.3
2287,1.0,0.4
2836,1.0,3.3
2981,1.0,2.0
2473,1.0,8.799999999999999
2206,1.0,2.3
3151,1.0,2.3000000000000003
3312,1.0,0.7
3229,1.0,2.2
3606,1.0,0.3
3213,1.0,1.1
2010,1.0,1.2
2971,1.0,0.2
2862,1.0,0.6
3374,1.0,3.9
3343,1.0,0.5
3744,1.0,1.1
2806,1.0,1.2
3305,1.0,7.4
3931,1.0,0.4
2186,1.0,4.0
3137,1.0,2.8
2759,1.0,1.5999999999999999
2434,1.0,1.7
2566,1.0,8.3
2478,1.0,3.1999999999999997
3541,1.0,4.4
3021,1.0,0.30000000000000004
3481,1.0,0.2
3792,1.0,2.0
3770,1.0,5.1
3613,1.0,0.6
2371,1.0,7.999999999999999
3028,1.0,1.3
2439,1.0,0.9
3147,1.0,14.500000000000002
2814,1.0,0.5
2632,1.0,0.3
2444,1.0,0.9
2536,1.0,0.7
3609,1.0,3.6
2730,1.0,1.6
2596,1.0,1.9
2129,1.0,1.8
2685,1.0,6.0
3161,1.0,3.2
3220,1.0,6.5
3548,1.0,1.1
2258,1.0,2.2
2187,1.0,0.8
3950,1.0,1.1
3485,1.0,0.6
3157,1.0,0.3
3718,1.0,0.8
2552,1.0,0.4
2451,1.0,0.1
3676,1.0,2.0
3110,1.0,2.2
2674,1.0,0.8
3296,1.0,0.2
3651,1.0,1.3
3394,1.0,1.2
3433,1.0,1.0
3801,1.0,0.1
2526,1.0,1.1
2800,1.0,3.5
3172,1.0,5.0
3598,1.0,0.2
3781,1.0,3.9000000000000004
3314,1.0,1.1
3948,1.0,9.700000000000001
3993,1.0,0.5
3273,1.0,0.4
3498,1.0,0.30000000000000004
3338,1.0,9.100000000000001
2266,1.0,0.5
3861,1.0,0.8
2688,1.0,1.1
2432,1.0,0.3
2839,1.0,1.2
3426,1.0,0.5
2373,1.0,6.6
2915,1.0,3.9
2870,1.0,0.2
3778,1.0,1.8
3699,1.0,0.1
3508,1.0,0.9
2987,1.0,3.0
2110,1.0,1.4
2449,1.0,1.3
3662,1.0,1.2
2090,1.0,0.9
2108,1.0,0.1
3568,1.0,0.8
3711,1.0,1.2
2775,1.0,0.5
3653,1.0,1.6
2189,1.0,1.4000000000000001
2591,1.0,1.2
3911,1.0,7.6
2778,1.0,0.30000000000000004
2203,1.0,6.699999999999999
3880,1.0,12.1
2264,1.0,2.8000000000000003
3867,1.0,0.5
3054,1.0,0.5
2569,1.0,0.2
3988,1.0,1.4
3708,1.0,1.1
2218,1.0,0.9
2230,1.0,0.5
3127,1.0,2.4
2853,1.0,0.1
2555,1.0,5.8
2617,1.0,1.2
3972,1.0,1.2
3392,1.0,3.9
3517,1.0,0.9
2955,1.0,1.5
2961,1.0,0.7
2825,1.0,0.3
3643,1.0,1.2
3661,1.0,1.6
2467,1.0,1.5
2360,1.0,0.8
2594,1.0,0.2
2248,1.0,6.5
3233,1.0,2.1
2164,1.0,2.9
3694,1.0,1.5
3520,1.0,1.4
3347,1.0,1.1
2236,1.0,1.0
2683,1.0,0.3
2740,1.0,1.7
2332,1.0,2.8
3872,1.0,1.6
2464,1.0,0.5
2765,1.0,2.1
2758,1.0,2.0999999999999996
2115,1.0,3.9
2156,1.0,1.1
3772,1.0,0.1
3280,1.0,7.4
2539,1.0,0.1
3571,1.0,0.1
3145,1.0,3.1
