,y_hat
2531,False
3745,False
3950,False
3557,False
2321,False
3728,False
3912,False
3340,False
2668,False
2517,False
3606,False
3544,False
2459,False
3215,False
2481,False
2396,False
2543,False
3881,False
3922,False
3983,False
2860,False
2465,False
2757,False
3877,False
2259,False
2833,False
2494,False
3502,False
2379,False
3897,False
3844,False
3426,False
3476,False
2162,False
3973,False
2127,False
3832,False
2895,False
2324,False
2408,False
2675,False
3816,False
2932,False
2159,False
2337,False
2999,False
3664,False
2996,False
2038,False
3131,False
2088,False
3062,False
3217,False
3115,False
2385,False
3211,False
2399,False
3135,False
3323,False
3499,False
3951,False
2951,False
2591,False
2730,False
2017,False
3852,False
2125,False
2855,False
2995,False
3230,False
3552,False
3865,False
3656,False
3093,False
2590,False
2381,False
2227,False
3486,False
2907,False
2074,False
3414,False
2210,False
2285,False
3937,False
2661,False
2380,False
3797,False
2772,False
3186,False
3791,False
3975,False
2287,False
3508,False
3579,False
3041,False
2718,False
2766,False
3481,False
2304,False
3339,False
3968,False
3172,False
3139,False
2489,False
2698,False
3484,False
3173,False
3315,False
3018,False
3047,False
3288,False
3864,False
2866,False
2329,False
2172,False
2567,False
2467,False
2663,False
2128,False
3287,False
3803,False
2184,False
2059,False
3682,False
2593,False
2905,False
3236,False
3188,False
3658,False
2644,False
2810,False
2094,False
2266,False
3776,False
2276,False
3554,False
2345,False
3039,False
3944,False
3383,False
3112,False
2000,False
2423,False
3857,False
2921,False
3543,False
2534,False
3722,False
2625,False
3380,False
3510,False
2758,False
2888,False
2505,False
2507,False
2097,False
3034,False
2068,False
3704,False
3740,False
3014,False
2617,False
2514,False
2480,False
2146,False
2965,False
3733,False
2170,False
2095,False
2869,False
3100,False
3938,False
2839,False
2607,False
3475,False
2350,False
2450,False
2887,False
3313,False
2030,False
2042,False
2389,False
3630,False
3352,False
3242,False
3238,False
2834,False
2950,False
2076,False
3144,False
3202,False
2993,False
2628,False
2495,False
2175,False
3042,False
3784,False
3700,False
2754,False
2082,False
