,y_hat
3427,False
3193,False
3050,False
3231,False
3488,False
3026,False
3175,False
3024,False
2522,False
2665,False
3589,False
3091,False
3926,False
3990,False
2738,False
2268,False
3839,False
2376,False
3581,False
2897,False
2246,False
3623,False
3992,False
3178,False
3841,False
3891,False
3740,False
3525,False
2534,False
2573,False
3759,False
3184,False
2114,False
2107,False
3806,False
2252,False
2519,False
3916,False
3500,False
2802,False
2838,False
2395,False
2434,False
3225,False
3999,False
3342,False
3040,False
2189,False
2087,False
3937,False
2172,False
3656,False
2502,False
3578,False
3463,False
2473,False
2682,False
3513,False
3188,False
2920,False
3984,False
2197,False
3688,False
2773,False
3786,False
3849,False
2100,False
2238,False
3538,False
2193,False
2253,False
3057,False
3094,False
3113,False
2176,False
2840,False
2983,False
2525,False
2043,False
3082,False
2469,False
3070,False
3524,False
2198,False
3885,False
2751,False
3560,False
2514,False
3058,False
2034,False
3049,False
3750,False
2857,False
2365,False
2453,False
2148,False
3634,False
3222,False
2410,False
3451,False
2875,False
3025,False
3579,False
2067,False
2116,False
2074,False
2228,False
2389,False
3164,False
2753,False
2586,False
2097,False
2458,False
2026,False
2945,False
2283,False
2759,False
2528,False
3730,False
3412,False
3713,False
2692,False
3574,False
3069,False
2367,False
2329,False
2971,False
3060,False
3549,False
3163,False
3828,False
2778,False
3702,False
3970,False
3000,False
3923,False
2339,False
3344,False
2879,False
3971,False
2267,False
2383,False
3468,False
3733,False
2302,False
2362,False
2964,False
2931,False
2292,False
3153,False
3792,False
3422,False
3881,False
3055,False
2633,False
3317,False
2925,False
3769,False
3096,False
2862,False
3536,False
3756,False
3705,False
2860,False
3099,False
3092,False
2504,False
2078,False
2853,False
3757,False
3046,False
2913,False
2734,False
2940,False
3800,False
2122,False
3455,False
2671,False
2323,False
3229,False
3909,False
3020,False
3117,False
2357,False
3659,False
3746,False
2210,False
3316,False
3288,False
3142,False
2849,False
2192,False
3311,False
2668,False
3077,False
3333,False
2827,False
3864,False
2632,False
2594,False
