,x1,x2,x3
2606,0.9692794,1.1746137,2.1641655
2113,0.38607016,0.73648727,3.1322913
2306,0.39909065,0.4878372,2.5818677
2876,0.6619413,0.5041194,1.8622034
3021,0.3647161,0.83260524,0.886739
3279,1.5104977,-0.4883306,2.793592
3782,0.52839977,0.8248301,2.3714926
2383,0.27355602,1.4640238,1.452315
3867,1.159778,0.2906503,2.424988
3459,0.23680791,0.84633195,1.3608996
2407,0.111784086,0.8644705,1.8453178
2751,0.7807656,0.53758216,2.0584962
2323,0.15001583,1.1210768,-0.04364121
3285,0.022779012,1.2817314,2.096118
2479,1.1134669,1.1061113,-0.122939825
2135,0.7361646,1.2195723,2.197687
3529,0.97631574,0.30230534,2.027576
2990,-0.8333145,1.9128078,1.9040294
2527,1.0606371,0.18099546,2.2852314
3445,0.32433054,0.91838056,1.66466
2266,0.4551459,1.5764081,1.102793
3697,-0.07000778,1.2266021,0.7127719
2458,0.34694403,0.9568056,1.7246196
2478,0.16084984,0.6919584,2.048597
3393,1.2752717,-0.06110525,0.88609064
2052,-0.45856994,1.7469571,2.3377206
3488,1.4716017,0.25180852,2.328916
2273,0.5363209,0.7949842,2.132715
2671,0.6386108,0.70517343,2.1575043
2412,0.8481325,0.82956296,0.48980713
2880,0.94854,0.24768505,0.63571477
3429,0.017916834,1.2075903,1.7337797
2501,1.3464677,0.3389147,1.4379799
2204,1.1410174,-0.002443552,2.9758716
2994,0.5470827,1.1133189,1.0235584
3462,-0.33161122,1.4044493,1.41955
2964,0.0162444,1.6558279,2.2177284
3657,0.31224298,1.2495899,2.3819125
3326,0.14938271,0.98755074,3.0030432
2935,0.23890357,0.9300314,0.9913298
2850,-0.09412817,1.2153015,2.5248232
3770,1.5238231,-0.18469119,1.8585155
3911,0.24930935,0.8828456,2.5228055
2043,0.16831167,0.9205959,2.3108869
3912,0.8561215,0.20994855,1.453371
3310,0.04384811,1.1941748,0.76848847
2557,0.90833634,0.16781624,1.610894
2357,0.16511147,1.399561,1.0330038
3758,-0.4281537,1.7680709,2.1727092
2674,0.99811524,1.0508627,1.0763334
3881,-0.30809423,1.7614734,1.9199457
2989,0.19706729,1.1633261,0.7962113
2954,0.20653443,1.837019,1.8935428
2661,0.38423228,0.99649686,0.54514194
2559,0.8215489,0.46576387,2.0147731
3460,0.7236545,0.4894652,1.2969594
3254,1.5564473,-0.11289668,2.0695653
2270,-0.2856757,1.4841042,1.6111327
2569,-0.34092695,1.4485629,1.8172474
2378,0.6052985,1.2738297,0.90556455
3632,0.272589,1.0504876,1.8396857
2613,0.9267624,0.37866545,2.2162116
2014,0.8183433,0.6122986,-0.054971218
3907,0.6205467,0.53096896,2.2091389
3923,0.3738751,0.82387066,2.9226255
2075,0.83715534,0.48429978,2.3571332
3427,1.5229416,-0.06740546,2.6112418
3184,1.1396923,0.20265383,1.231758
2544,1.0420786,0.20504165,2.578314
2247,0.5211527,0.5849906,3.4919057
2753,0.12990564,0.6854053,2.8045382
3787,0.98535264,0.34851122,1.2964901
