,y_hat
2606,False
2113,False
2306,False
2876,False
3021,False
3279,False
3782,False
2383,False
3867,False
3459,False
2407,False
2751,False
2323,False
3285,False
2479,False
2135,False
3529,False
2990,False
2527,False
3445,False
2266,False
3697,False
2458,False
2478,False
3393,False
2052,False
3488,False
2273,False
2671,False
2412,False
2880,False
3429,False
2501,False
2204,False
2994,False
3462,False
2964,False
3657,False
3326,False
2935,False
2850,False
3770,False
3911,False
2043,False
3912,False
3310,False
2557,False
2357,False
3758,False
2674,False
3881,False
2989,False
2954,False
2661,False
2559,False
3460,False
3254,False
2270,False
2569,False
2378,False
3632,False
2613,False
2014,False
3907,False
3923,False
2075,False
3427,False
3184,False
2544,False
2247,False
2753,False
3787,False
3493,False
2496,False
3193,False
3203,False
3513,False
2630,False
2925,False
2805,False
2837,False
3027,False
3574,False
3057,False
3909,False
2528,False
2618,False
2324,False
3079,False
3212,False
2819,False
2686,False
3834,False
3648,False
2938,False
2210,False
3401,False
3195,False
2068,False
3551,False
3244,False
3799,False
2487,False
3004,False
3841,False
3358,False
3449,False
2248,False
3122,False
3944,False
3980,False
2302,False
2076,False
3096,False
3924,False
2596,False
3917,False
2983,False
2913,False
3992,False
3131,False
3693,False
3581,False
2923,False
2734,False
3585,False
2578,False
2219,False
2098,False
2372,False
3612,False
2774,False
3897,False
3984,False
3205,False
2620,False
2591,False
2292,False
3055,False
2840,False
3137,False
3339,False
2696,False
2560,False
2038,False
2546,False
2061,False
2552,False
3938,False
3674,False
3509,False
3528,False
3224,False
3007,False
2314,False
2608,False
3502,False
2389,False
2193,False
3170,False
3477,False
2500,False
2096,False
2848,False
3547,False
3396,False
3750,False
2317,False
3011,False
3796,False
2742,False
2961,False
2488,False
3802,False
3702,False
2623,False
3032,False
3534,False
3060,False
3179,False
2514,False
3435,False
2079,False
3202,False
3947,False
3849,False
3869,False
3552,False
2612,False
2885,False
2456,False
3956,False
3119,False
3175,False
2680,False
2101,False
3558,False
3906,False
2873,False
3716,False
