,y
3898,0.0
3701,0.0
3329,1.0
2546,0.0
3253,0.0
3163,1.0
3175,0.0
2754,0.0
2313,1.0
3435,1.0
2278,0.0
2238,0.0
3009,0.0
3895,1.0
3473,0.0
3985,0.0
3964,0.0
2638,0.0
2976,1.0
3059,0.0
3312,0.0
3551,0.0
2753,1.0
2332,0.0
3474,0.0
3983,0.0
3780,0.0
2867,0.0
2270,0.0
2289,0.0
3742,1.0
2805,0.0
3505,0.0
3835,0.0
2552,0.0
2888,0.0
2496,0.0
2376,1.0
2390,0.0
2850,0.0
2018,0.0
3691,0.0
3649,0.0
3606,0.0
2027,0.0
3764,0.0
2706,0.0
2671,0.0
3519,0.0
2513,0.0
2209,0.0
3831,1.0
2068,0.0
3220,1.0
3930,0.0
2467,1.0
2954,0.0
2770,0.0
2692,1.0
3322,0.0
2414,0.0
2995,0.0
2682,0.0
2163,0.0
3720,0.0
3038,0.0
2851,0.0
3639,0.0
3454,0.0
2155,1.0
3261,0.0
2422,0.0
2352,0.0
3151,0.0
2819,0.0
2434,0.0
3770,0.0
2750,0.0
2301,0.0
2326,0.0
2652,1.0
2274,0.0
3408,0.0
3645,0.0
3797,0.0
2684,1.0
2363,0.0
2518,0.0
2267,0.0
2748,0.0
3599,0.0
2903,0.0
2307,0.0
2028,0.0
3911,0.0
3094,0.0
3809,0.0
2775,0.0
2318,0.0
3677,0.0
3994,1.0
3144,0.0
3843,0.0
3231,0.0
2069,0.0
3506,1.0
3254,0.0
2373,0.0
3074,1.0
3689,0.0
3479,0.0
2412,0.0
2113,0.0
3603,0.0
3946,0.0
2621,0.0
2187,0.0
2361,0.0
2538,0.0
3951,0.0
3702,0.0
2579,0.0
2826,1.0
2111,0.0
2357,0.0
3840,0.0
2673,1.0
3457,0.0
3715,1.0
3148,0.0
3066,0.0
2790,0.0
2820,0.0
2438,0.0
3886,0.0
3400,0.0
3482,0.0
3860,0.0
2857,0.0
2085,1.0
2022,0.0
3591,0.0
2514,0.0
3754,0.0
3024,0.0
3337,1.0
3252,0.0
3554,0.0
2058,0.0
2244,0.0
3186,0.0
2424,0.0
2585,1.0
2398,0.0
2043,0.0
3669,0.0
3401,0.0
2294,0.0
2624,0.0
3995,0.0
3221,0.0
2203,0.0
2458,1.0
3017,0.0
2184,0.0
2889,0.0
3012,0.0
2977,0.0
3089,0.0
2801,0.0
3183,0.0
3854,0.0
2056,0.0
3736,1.0
3427,1.0
3063,0.0
3967,0.0
2003,0.0
3538,0.0
2905,0.0
3297,0.0
3751,1.0
2208,0.0
3670,0.0
2543,0.0
2930,1.0
2143,1.0
3433,1.0
3430,0.0
2782,0.0
2537,0.0
3592,0.0
2368,1.0
3324,0.0
2047,0.0
3550,0.0
3679,0.0
3165,0.0
3908,0.0
2114,0.0
