,x1,x2,x3
2287,-1.2741647,-1.084528,1.0368767
2339,0.12575617,0.06455456,0.5186775
2863,-1.1302245,-1.7794938,1.0592887
2161,-0.72994447,-2.3202238,1.0580716
3565,-1.3042874,-0.35924536,0.85748386
2293,0.3669588,-0.582124,0.5220667
3301,-1.0998566,-0.28607613,0.77769506
3006,-0.072688974,-1.7968462,0.8021219
2453,-1.6690419,-0.87846357,1.0091624
2191,0.35998908,-0.22961278,0.45154837
2397,-0.9394002,-0.46439186,0.7883838
2664,-0.1987192,0.6858385,0.43986887
3873,-0.15472662,1.1475656,0.3446386
3196,-0.6455969,-0.979276,0.78297836
3651,-0.8243487,-2.1356602,0.999499
2472,-0.112261005,0.4014747,0.5159333
2172,-0.83587956,-0.5165409,0.7748719
3100,-0.022115111,-0.00720549,0.56600076
3945,-0.29549778,-1.7082229,0.85805964
3663,-2.1836603,-1.6810361,1.2896689
2226,-0.3632619,-0.20450124,0.6543556
2328,-0.33014283,-0.4428636,0.64901674
3954,-0.5825122,1.1763561,0.44752154
3949,-0.09173534,-1.084901,0.706779
2325,0.09243558,0.70482266,0.3825669
2935,0.002418366,0.59058386,0.44142056
3679,-0.9550046,-2.2132473,1.1146455
2651,-0.24230236,-1.0424795,0.73669344
3653,-0.56510663,-1.7502743,0.90584415
2873,-0.4498316,-0.8111543,0.7278365
2860,-0.49197742,1.1884521,0.50167006
3602,0.1977122,-0.21475764,0.501804
2924,-1.103442,-0.898191,0.91216016
3267,-0.018203745,0.004225947,0.56149125
3556,-0.5135272,-1.7111664,0.91043866
2806,-0.15443566,-0.7565247,0.6998887
2509,-0.5458492,-0.068244874,0.67138463
3031,-0.6776212,0.28935117,0.64483577
3259,-0.699866,-2.7094939,1.1296283
3833,-0.736958,-2.241313,1.0417513
2662,-0.1298511,-0.08216476,0.6002822
3102,-2.1732485,-1.7387136,1.3245584
3625,-0.26681435,-1.2895385,0.835415
2720,-1.2896816,-1.4466975,1.0230808
3050,-0.30022728,-1.1552076,0.80435693
3493,-0.7020099,-1.1057949,0.827862
3293,-0.9416037,-1.4819934,0.97568387
3702,-1.0638515,-1.1484108,0.91012347
2831,-1.4777471,-1.8787014,1.1217196
3244,-0.5066811,0.02096349,0.5989039
3929,-0.23014127,-0.009368539,0.6182721
2778,-0.55652255,-1.168688,0.82640505
2864,-1.3350952,-1.3200436,1.0203288
2872,0.0924746,-2.2622747,0.8122207
3778,0.027155686,-1.4085677,0.6938207
2473,-0.5013275,-0.4860757,0.7189181
3141,-0.4039516,-0.50636446,0.6820772
2617,0.13531415,-0.62735695,0.60671276
3902,-0.29207206,-1.259824,0.74751365
3465,-0.6421661,0.31949377,0.73304933
3937,-1.8704989,-1.215753,1.1062639
2880,-0.83819896,0.34713644,0.6882902
3647,0.23356327,-1.387582,0.6482341
3024,-0.070065595,0.49434164,0.48709896
2595,-1.4499121,-2.5194807,1.2076094
3439,-0.11143351,-0.7156172,0.68549395
3362,-0.58645713,0.14361858,0.6718236
3915,-1.2520627,0.38457835,0.71460444
2681,-0.5918439,-0.20910746,0.7346523
3926,-1.6430128,-0.67909765,1.0440806
2288,-0.9685607,-1.8123894,1.019652
2912,-0.29380006,0.31772834,0.5706304
3845,-1.0426635,-0.24516088,0.83305883
3111,-1.486186,0.70107937,0.7119485
3796,-0.9096038,-2.0606985,1.0087076
2444,-1.5259337,-2.1553974,1.194766
3428,-1.2475173,-0.7145681,0.87536764
3343,-0.6402997,-0.9525752,0.8107186
2361,-1.0614862,-1.5110006,0.96378803
3514,0.52819794,-1.6150411,0.6126542
3860,-0.65391034,0.6617598,0.57671994
3106,-0.108862504,-1.0120281,0.6942705
3257,0.1612764,0.5203105,0.37526757
2843,-0.659217,-0.96432835,0.8329534
3628,-0.26241353,-0.426,0.6421032
3882,-1.0492969,-0.9002689,0.86614084
3680,-1.3054601,-2.6266556,1.2535987
2508,-0.59939826,-0.014976382,0.63586426
2275,0.18253027,0.09542919,0.48308557
3670,-0.41038743,-0.6012036,0.67322016
2089,-1.2391335,-1.2883439,1.0220027
2753,0.13157645,-0.13402277,0.5570311
3187,-0.9303003,-1.2164418,0.89026296
2182,-1.7223544,-3.1660876,1.3720473
3170,-0.8679078,-1.0582159,0.8910062
2520,-0.3319524,-0.9325143,0.7036358
3998,-1.387386,-0.94297314,0.96509117
3446,-1.2733755,-1.1804012,0.9613145
3008,-0.18017742,-1.0775859,0.70150584
2489,-1.7971572,-3.3303506,1.4146857
3941,0.07267624,-0.2883283,0.5681179
3608,0.25783038,1.0574946,0.26216468
2146,-0.5009786,-0.27228123,0.65980345
3620,-0.51953304,-0.8836074,0.73803353
2017,-0.13608243,0.28151524,0.4976343
3299,-1.65935,-1.7859021,1.2222399
2811,-1.2355309,-2.6915927,1.1991949
3363,-0.5280937,-0.98469806,0.8030302
3169,-1.1736975,0.012001157,0.7990513
3149,-0.7268811,-1.8981348,0.94738907
2946,-0.3498987,1.097126,0.45128897
2751,-0.92227924,-1.2312386,0.89880157
3993,-1.0078171,-0.17809284,0.7892264
2736,-0.0043995245,-1.0071768,0.67345977
2471,-2.0458724,-3.0724683,1.5067358
3737,0.26535544,-0.33425352,0.50185454
2083,-0.47129312,-0.98952127,0.7550901
2106,-1.1708212,-2.523819,1.3432995
3373,0.0068307025,0.035885498,0.55644375
3463,0.62703115,-0.7382819,0.5002507
2584,-0.369548,-1.9460498,0.94418937
2609,-1.3887347,-1.8415107,1.090256
2854,-2.0494785,-2.027438,1.3279371
3924,-1.757386,-0.25037456,0.95910704
2798,0.03906013,-1.6773118,0.7426325
3315,-0.5695944,0.1182366,0.6784263
3769,0.017974667,-0.030787311,0.48678687
2914,-0.61585695,-1.7039578,0.95513785
3370,-0.25538042,-0.51777256,0.66304815
2237,-0.48724854,-0.5405627,0.6895396
2813,-1.5209208,-3.4040356,1.395207
2612,-1.6822416,-1.7460692,1.1650058
2964,-0.48956278,-1.3626536,0.81005925
2421,-0.90338975,-1.794888,0.96600854
3015,-0.37870848,0.5019859,0.62769496
3856,-0.26064762,0.076512545,0.5826511
2379,0.14677146,-2.5304117,0.86356133
2832,-0.65438336,-0.783219,0.78862226
3911,0.3740918,-0.99456495,0.6138773
3829,-0.6763085,-1.1772264,0.8476579
3677,-0.39443782,0.56327045,0.5264194
3645,0.89182174,-0.93822813,0.508233
3717,-0.10098676,-1.2486975,0.7862926
3935,-0.9928172,0.32800323,0.73028207
3485,-0.3288111,-0.7647377,0.7086251
3269,-0.92343247,-0.14209473,0.7803578
3684,-0.5757791,0.5022161,0.5678202
3932,-0.5358621,-1.2698807,0.82228
3986,-1.1479366,-0.9816162,0.99217826
3456,-0.34386504,-1.3357159,0.8047844
2084,-0.18435277,-1.1532406,0.7213197
2705,0.71866596,-1.9932598,0.7089068
2998,-1.3149068,-1.5635943,1.0478127
3016,-1.0582553,-1.9890405,1.0404892
3082,-0.21123289,-2.1277046,0.90079486
2138,0.41163072,0.9993974,0.29885998
3472,-0.3596013,-0.93584454,0.7613978
3418,-1.0545837,-0.3409925,0.8860119
3233,-0.3969784,-0.40395644,0.64080304
2209,-0.28991795,0.10026595,0.61845505
2545,0.2383361,-0.09095074,0.46481252
3603,-0.74265265,0.020084739,0.68838775
3830,-1.1214811,-1.5784042,0.99396145
2246,-1.3013822,-0.6875874,0.96079093
2344,-0.52218366,-0.5664894,0.7269816
2204,-0.2990756,-0.82567006,0.7373893
2415,-0.47449708,-1.3826425,0.8148455
3736,-1.7319534,-1.4697185,1.1313789
3616,-1.547467,-2.0676737,1.1553438
2978,-0.66191775,-1.9515396,0.9449416
3186,-2.0752175,-2.6473305,1.3646309
3394,-0.8521429,-0.70466214,0.81865007
2169,-1.0408747,-2.5699127,1.2523171
2060,-1.1864151,-0.7855392,0.8954781
2446,-1.004204,-1.8244275,1.033947
3852,-0.78305423,0.33310688,0.6811646
2822,-1.169337,-0.9203452,0.9641154
2732,-1.6193166,-0.05699563,0.8776025
2251,-1.0630372,-0.77699715,0.8477599
3182,-1.9405065,-0.12890983,1.0252843
3530,-1.0704501,-1.6350622,0.98385257
2693,-1.2326871,-1.7942051,1.0701324
3673,-0.47502157,-0.08442649,0.6519893
2934,-1.3324333,-1.2183967,1.0332384
3721,-0.9910311,-1.2214642,0.94865906
3931,0.20194705,0.33138216,0.39021385
2729,-0.23260427,-0.64172405,0.68832695
3077,-0.9889303,-0.33895528,0.8246986
