,x1,x2,x3
3440,0.0,-0.0,7.6
3229,-0.0,0.0,0.5
3111,0.2,0.0,0.7
2164,-0.0,0.0,2.2
2194,0.0,-0.0,0.6
2988,0.3,0.3,1.8
3137,-0.0,-0.0,0.5
2815,-0.0,0.0,4.9
3941,0.0,-0.0,0.8
3276,0.0,0.0,2.1
3086,0.1,0.0,1.3
2990,0.0,-0.0,1.3
3230,-0.0,-0.0,2.2
2087,0.0,-0.0,1.8
3917,0.0,0.3,5.2
2146,-0.0,0.0,1.1
3030,-0.0,0.1,4.0
3666,0.0,0.0,4.4
2843,-0.0,-0.0,3.3
3755,-0.0,0.0,2.8
2279,0.1,0.1,1.6
2070,0.2,0.0,2.0
2708,-0.0,-0.0,0.3
3993,-0.0,0.0,1.2
2985,-0.1,0.0,5.3
3379,-0.0,0.0,1.0
2195,-0.0,0.0,0.2
2565,0.2,-0.0,3.1
3606,0.1,0.3,2.5
2103,0.1,0.1,0.5
2356,-0.0,-0.0,0.7
3250,-0.0,0.0,1.3
3112,-0.0,0.0,2.3
3558,-0.0,0.1,2.7
3786,0.4,0.2,2.3
3629,-0.0,0.2,2.6
3520,-0.0,0.0,0.9
3940,0.0,0.0,1.9
3434,-0.0,-0.0,4.6
3514,-0.0,0.0,3.7
2240,0.0,0.0,0.6
2403,0.0,1.7,3.8
2125,-0.0,0.1,3.4
3381,0.0,-0.0,1.5
3460,0.1,0.1,3.7
2389,0.0,0.2,0.7
3718,0.1,0.2,2.1
2664,-0.0,-0.0,1.8
3238,-0.0,0.0,1.9
3564,0.0,0.0,3.4
2152,0.2,0.3,3.5
2340,-0.0,0.0,1.2
3717,0.0,0.1,2.1
2715,0.1,0.0,2.0
3694,-0.0,-0.0,0.7
2934,0.7,0.0,4.0
3333,0.2,0.0,3.4
2726,0.0,-0.0,5.4
2598,0.2,0.3,3.3
3300,-0.0,0.0,2.7
3277,0.0,-0.0,0.7
3712,-0.0,-0.0,0.8
2513,0.7,0.7,8.2
3986,0.0,0.0,3.3
2914,-0.0,0.2,4.0
2419,-0.1,-0.0,2.3
3714,0.3,0.5,5.8
3281,0.1,0.0,0.5
2997,-0.0,0.1,3.3
3412,0.0,0.8,5.7
3644,0.2,0.1,3.0
2860,0.0,-0.0,0.8
3876,0.2,0.0,2.5
3685,0.0,-0.0,1.5
