,x1,x2,x3
3695,-0.0,-0.0,1.2
2253,-0.0,0.0,1.4
2241,-0.0,-0.0,0.4
3900,-0.0,0.0,3.3
2569,-0.1,-0.0,2.8
2171,-0.0,-0.0,2.1
2154,-0.0,0.0,1.8
3154,-0.0,-0.0,3.5
3976,-0.0,0.0,0.2
3050,0.0,-0.0,1.0
3224,-0.0,0.0,3.0
2760,-0.0,-0.0,2.4
3796,0.1,0.0,1.2
2008,0.0,-0.0,3.0
2584,-0.0,0.1,3.8
3260,0.0,0.0,0.2
2064,-0.0,0.0,0.4
3415,-0.0,0.0,2.4
3093,0.0,0.0,2.9
2983,-0.0,-0.0,1.5
3760,0.0,-0.0,2.4
3777,-0.0,0.0,0.8
2478,-0.0,-0.0,3.1
2188,0.0,-0.0,4.2
2631,0.0,-0.0,1.8
3714,-0.0,0.0,2.9
3591,-0.0,0.0,3.7
2925,-0.0,-0.0,2.4
2798,0.0,-0.0,3.8
3380,0.0,0.0,4.7
3928,0.0,-0.0,3.7
3847,0.0,0.1,0.5
2885,-0.0,-0.0,0.5
3113,-0.0,-0.0,0.7
2551,0.0,0.7,3.7
3266,-0.0,-0.0,1.9
3651,-0.0,-0.0,1.9
3187,0.0,-0.0,3.9
2953,0.0,0.1,4.1
3544,0.0,-0.0,1.4
2580,-0.0,0.2,1.7
2802,0.0,-0.0,1.4
3449,-0.0,0.0,1.8
2031,0.0,-0.0,3.0
3202,0.0,-0.0,2.6
3500,-0.0,-0.0,0.8
3882,-0.0,0.0,1.3
3426,-0.0,0.0,2.3
3929,0.0,0.0,0.8
2822,0.0,-0.1,1.4
3763,0.0,0.0,0.2
2871,-0.0,-0.0,1.1
2354,-0.0,-0.0,2.1
3262,0.0,0.0,4.2
3078,-0.0,-0.0,1.9
2081,-0.0,-0.0,0.7
3930,0.0,-0.0,2.6
2393,0.0,-0.0,3.9
3051,-0.0,-0.0,0.4
3629,-0.0,0.0,2.4
2766,-0.0,0.0,2.6
3478,0.0,-0.0,2.3
2800,0.0,-0.0,2.0
2510,-0.1,0.0,2.0
3945,0.0,0.0,2.1
3667,0.0,-0.0,4.0
3778,-0.0,0.0,4.6
3419,0.0,-0.0,0.3
3501,-0.0,0.0,0.1
2913,0.0,-0.0,0.6
3750,-0.0,0.0,2.8
2437,0.0,0.0,3.1
3225,0.0,0.0,2.4
3412,-0.0,-0.0,2.2
