,x1,x2,x3
3442,-1.1091256,-0.5898187,-2.0390112
2185,-0.57347083,-1.6355116,-2.2924051
2131,-1.4319353,-2.4579792,-4.6686893
3125,-0.70458174,-0.2907485,-1.3876562
3584,0.021186631,1.7502971,0.2953384
2543,-2.256222,-3.1960285,-4.6321564
2390,0.21145853,-1.2145187,-1.3075135
2234,-0.95731306,-0.12368518,0.3986048
2705,-0.14810832,-1.860693,-2.546315
3853,-0.54843277,-0.4176874,-0.2332592
3908,-0.49255997,-0.8432187,-1.5671076
2717,-2.3722277,-3.5702147,-6.817046
2796,-1.4644686,-1.65235,-4.7203984
3153,-0.68536925,-0.47910225,-2.175272
2213,-0.18419658,-0.3736272,0.027974606
2570,-0.3334292,-2.144119,-2.9038885
3154,-0.76006436,-0.36838838,-0.9117404
2557,-1.9467019,-1.8964256,-2.6128407
3140,-0.7564395,-0.6842582,-2.2914183
3792,-0.3446241,-0.029198736,-1.5559055
2677,-1.0671233,-2.2629247,-3.6407113
3688,-1.3360041,-1.4009364,-2.1567256
2952,0.03288025,-0.9001028,-0.6481323
2573,-0.11932525,0.33091196,-0.42099702
2202,-0.81635654,-1.3132169,-3.0219865
3122,-0.30465588,-1.3021343,-2.5034854
2895,-0.8576302,-0.0032278895,0.3208878
2352,1.0117893,-0.010658145,0.36513203
2209,-1.292685,-0.72443104,-2.6912475
2696,-2.021632,-1.26052,-2.243177
3755,-0.06806954,-0.40731528,-1.0990324
3728,0.75315416,-0.8500204,-0.06089294
3098,0.32006738,-1.4894048,-1.7954702
2964,-0.8493214,-1.5293257,-2.9332414
2113,-0.8051121,-1.2037151,-3.6623595
3086,-0.50639975,-1.399995,-1.4307497
3301,-3.1691594,-4.8088875,-7.547093
3405,0.45354593,1.2606726,0.2230227
2798,-0.9357664,-0.7852397,0.27143592
3600,0.13263316,-0.2693392,-2.1604111
3089,-1.8364223,-1.9674789,-2.065316
3963,0.19918266,-1.4352496,-1.3270711
3256,-0.39952642,0.0465672,0.4218478
2843,-1.2628525,0.36838663,-3.051276
2147,-0.02259692,-2.3855467,-2.719357
2443,0.5218609,0.2664385,0.20887792
2827,-1.3024387,-1.0039239,-1.658292
3224,-0.6716324,-0.37266725,-1.6218917
2978,-1.0401113,-3.046356,-4.96018
3699,-0.054206405,-2.0654552,-0.89931834
3520,-0.43790495,0.3433805,-0.43933183
3811,-0.0910764,0.8661392,0.25636506
3843,-0.4604193,-0.6476116,-2.2548103
3213,-0.6675512,-0.027691305,-1.0734107
3160,-0.08291543,-1.3766022,-2.4842546
2902,-0.5901196,-1.2719644,-2.6406913
3077,-3.3314857,-5.2124786,-7.693207
3705,-1.8250294,0.38575673,-0.37911987
2205,0.5559499,-0.36680394,-0.22130752
2207,-1.9812019,-2.5676007,-3.241392
2957,-0.11027718,-1.2130877,-0.3020972
2797,-0.44282538,-0.3269325,-2.8505049
2948,-0.047021784,-0.4148833,0.04515803
2453,0.03294991,-0.48496312,-0.45869988
2067,-1.3320255,-1.3538164,-1.8071786
2018,-1.0309333,-1.3380518,-3.5338373
2625,-0.3585674,-2.4719768,-1.6791129
3758,0.28259265,1.3443271,-0.549366
2740,-0.24124119,0.49495086,0.2177006
3439,-0.3764151,-1.0137075,-1.6251364
3684,-2.1992123,-2.9444056,-4.523278
2059,-1.1878545,-1.102304,-2.1064124
2408,-0.9770407,-1.6217718,-2.840255
2243,-1.5237356,-2.7356915,-4.5207334
3954,-0.64415663,-0.39991722,-3.0781908
2942,-0.5944726,-0.66746986,-0.81137383
2353,0.84050894,-0.40019667,-0.34489608
3732,-0.59751683,-1.6727831,-0.6192267
3096,0.1211331,-0.7799811,-0.21050745
2513,-2.2855964,1.4521782,-1.0232627
3436,-0.03573754,0.33214334,-0.5339332
2608,-0.30496106,-1.5907475,-2.8397949
