,u_x1,u_x2,u_y,u_x3
2000,-0.29996252,-0.12944128,0.0025581121,0.104630716
2001,2.4370556,-1.6374106,0.21484923,0.091376305
2002,0.3298,0.40376043,0.07683945,-0.28822678
2003,1.2206296,-2.6774623,0.5338228,-0.76802504
2004,0.35609493,0.6687109,0.03762698,0.7657478
2005,-1.1845707,-0.60762703,0.60211587,1.5748923
2006,0.32336682,-0.5171431,0.92419016,-0.88580686
2007,-0.23535778,-1.046723,0.66098845,0.45997933
2008,-1.1153884,1.268662,0.83245254,-0.54666686
2009,-0.031364337,1.1189452,0.069134235,0.0907693
2010,-1.7786133,0.53594947,0.7993349,0.13623458
2011,1.010598,1.8314334,0.27585232,-1.7882106
2012,1.6194645,0.035982873,0.14846706,0.6085662
2013,0.64768165,-0.6432542,0.74030375,-0.3547401
2014,1.1821474,0.95810926,0.5793946,-0.3591413
2015,0.028822223,1.0099912,0.44329655,0.5752298
2016,-0.8189249,0.7841833,0.3077469,0.45317075
2017,-0.80890155,0.37033272,0.94860804,-0.00046517767
2018,1.0407209,0.4270844,0.06472087,-0.122033924
2019,-0.5006805,0.24370962,0.34287274,0.9479407
2020,0.9995281,-0.3043573,0.09648454,0.33135435
2021,0.7456297,0.45701247,0.8863697,0.20266162
2022,1.9788201,1.2643427,0.021330714,-0.7198265
2023,1.1496664,-0.8092311,0.6522989,0.8436109
2024,1.6290139,-0.27489644,0.76097155,0.23532353
2025,-0.7265285,-0.28594685,0.23999429,-0.42341685
2026,2.0046186,-0.4960411,0.034371138,0.51887643
2027,0.55959076,-0.12142553,0.12614667,-0.7311865
2028,1.1915166,0.19155039,0.610193,0.01884406
2029,0.7394175,-0.40171647,0.08978808,-0.6234464
2030,-0.4084402,-0.5363461,0.17994153,0.28642267
2031,1.3542879,-0.6849071,0.33266604,2.7910795
2032,-0.5187949,0.74012345,0.9253973,-2.0143342
2033,1.7377095,-1.3859586,0.78872013,-0.76757324
2034,-0.87453586,0.11680624,0.64547133,-0.9865309
2035,0.2981103,-0.9505183,0.95362985,-0.17825592
2036,-0.5238045,0.20608844,0.6047176,-0.061345916
2037,-1.417273,-0.37158224,0.12857783,0.23314694
2038,0.33296186,2.2801476,0.21636629,0.10180598
2039,-1.9699119,-0.5911826,0.8891454,0.92463565
2040,0.33888125,-0.49351725,0.6391475,0.24674834
2041,-2.3094149,0.5361599,0.73177147,-1.390722
2042,1.234422,0.7297388,0.10355008,1.9175705
2043,-0.8972476,-1.0692801,0.20229208,-0.9961697
2044,0.20333512,0.15901183,0.358065,-1.5651274
2045,1.1610217,1.0190423,0.7224059,-0.28498635
2046,0.1517834,0.9155765,0.7077167,1.5339648
2047,0.46641675,0.30633575,0.21130836,1.4218067
2048,-0.76810575,-0.73805076,0.18738139,-0.33721218
2049,-0.21112351,-0.12362542,0.9366429,-1.7877513
2050,2.1926692,0.7036596,0.566496,-0.14221339
2051,1.1567134,0.77880436,0.46957076,0.9329246
2052,-0.6861283,-0.8055977,0.15304327,0.0727077
2053,-0.34433997,0.60386354,0.6851466,0.76107293
2054,-0.24328932,-0.8077685,0.20508683,0.09735914
2055,0.46265614,-0.059432413,0.027519703,-1.1094937
2056,-0.2672098,-0.49028412,0.24891078,0.4068477
2057,-0.9244087,0.38083217,0.6203543,-1.164255
2058,-0.45371133,-0.43619606,0.44343185,-1.0631582
2059,1.5621306,0.96871847,0.8521687,0.44499937
2060,-1.7022133,-1.4413263,0.74894667,1.894091
2061,0.421705,-0.41198447,0.21659875,-0.34142286
2062,0.15281878,0.6626419,0.407331,0.18518123
2063,-0.108027205,0.969913,0.6730393,0.5208843
2064,0.025340365,2.5864792,0.48754716,1.6259357
2065,-0.16258629,0.8777231,0.6688266,0.34073514
2066,0.60466874,0.68352866,0.055671453,0.16352667
2067,-0.09306414,-0.11744002,0.60653067,0.24906366
