,y
2845,0.0
3237,0.0
2954,0.0
2558,0.0
2799,0.0
3519,0.0
2555,0.0
3281,0.0
2371,0.0
2601,0.0
2493,0.0
2309,1.0
3226,0.0
3895,0.0
2434,0.0
3434,0.0
3157,0.0
2952,0.0
2109,0.0
3236,1.0
2848,0.0
3166,0.0
3393,0.0
3113,0.0
3259,0.0
3207,0.0
3100,0.0
2413,1.0
3846,0.0
2752,0.0
2618,0.0
2861,0.0
2872,0.0
3574,0.0
3929,0.0
2681,0.0
2464,0.0
2853,0.0
3622,1.0
2266,0.0
2421,0.0
2468,1.0
2501,0.0
3089,0.0
3495,0.0
3595,0.0
2577,0.0
3817,0.0
3292,0.0
2931,0.0
2879,0.0
3782,0.0
2419,0.0
3920,0.0
2297,1.0
3758,1.0
3322,0.0
3078,0.0
3431,0.0
3383,0.0
3869,0.0
2652,0.0
3756,1.0
3143,1.0
2092,0.0
2415,1.0
2359,0.0
3123,0.0
3464,1.0
3176,0.0
3274,1.0
2807,0.0
2547,1.0
2589,1.0
3307,0.0
3958,0.0
2327,0.0
3262,0.0
3726,1.0
3221,0.0
2201,0.0
2339,0.0
2796,0.0
2213,0.0
3563,0.0
3306,0.0
2580,0.0
3827,0.0
3239,0.0
2245,0.0
3592,0.0
3263,0.0
2177,0.0
2401,0.0
2032,0.0
3065,1.0
2202,0.0
3508,0.0
2613,0.0
3398,0.0
2819,0.0
2768,0.0
3258,0.0
2950,0.0
2007,0.0
3474,0.0
3090,0.0
3159,0.0
3872,1.0
3061,0.0
3255,0.0
3737,0.0
3492,0.0
2964,1.0
2695,0.0
3235,0.0
2847,0.0
2596,0.0
2050,0.0
3606,0.0
2407,0.0
2825,0.0
2328,0.0
3413,0.0
2346,0.0
2581,0.0
3964,0.0
3473,1.0
3289,0.0
2267,0.0
3001,0.0
3298,0.0
2278,0.0
2200,1.0
2152,0.0
3360,0.0
3187,1.0
3845,0.0
2821,1.0
3798,0.0
2924,0.0
2539,0.0
2730,0.0
3180,0.0
3842,0.0
3193,0.0
3951,0.0
3228,0.0
3017,0.0
3025,0.0
3059,0.0
2438,1.0
2409,0.0
2400,0.0
3771,1.0
2251,0.0
2306,0.0
2042,0.0
2301,0.0
3266,0.0
3033,0.0
3646,0.0
3687,0.0
3252,0.0
2375,0.0
2621,1.0
2151,0.0
2091,0.0
3372,0.0
2857,0.0
2965,0.0
3246,0.0
3849,1.0
2769,0.0
3903,0.0
3700,0.0
3231,0.0
2948,0.0
3893,0.0
3482,1.0
2198,0.0
2392,0.0
2293,0.0
3704,0.0
3538,1.0
3593,0.0
3679,0.0
3968,0.0
3420,0.0
3363,0.0
2056,0.0
3906,0.0
2624,1.0
2988,0.0
3744,0.0
3213,0.0
2235,0.0
3818,0.0
3587,0.0
3707,0.0
