,x1,x2,x3
2465,-1.5444918,-2.5857916,-2.9256988
2373,-0.2416968,-0.8662969,-1.9305372
3454,-0.09019098,-0.28656888,-0.105273604
3599,0.13969414,0.41641432,-0.35195583
3060,-0.22676523,-1.3800509,-1.9439873
3183,-1.8352813,-2.58522,-2.6000166
2294,-0.3194813,1.0790348,0.18290865
2772,-0.08104008,-1.3083392,-1.8721719
3596,-0.4788407,0.42682552,-0.6058092
3057,0.041264463,-1.5780122,-2.4440799
3569,0.4498209,1.16316,-0.6023829
3692,-1.8441237,-3.2314763,-4.324113
2574,-0.49954847,0.4164208,-0.2374572
3884,0.02903686,-1.0023825,-0.6835163
2034,-0.858448,-1.8446149,-1.4091468
3601,-0.116356015,0.23942977,-0.7153787
3859,-1.6812265,-2.5890684,-3.569415
2576,-1.8816403,-1.5229893,-3.488529
3494,-0.52515376,-0.7255925,-1.3142793
3970,0.48544127,-0.38216406,-0.21337378
2563,0.48799518,0.011026263,-0.050655007
2886,-1.5443392,-1.2714672,-3.6533628
3427,-0.21844892,-1.1026865,-1.3021231
2118,0.07563605,-0.0812592,-1.4882615
2714,-1.0346531,-1.9404659,-3.0132225
3657,-2.282731,-4.678909,-7.2206984
3696,-0.040952984,0.46158606,0.10338017
3868,-0.39940116,-2.1774874,-1.4558028
2162,-1.3843893,-1.7462257,-1.5624226
2012,-0.51939595,-0.6413853,-2.3929482
3004,-0.65276515,-1.1126798,-2.1835003
2333,-0.4770272,-0.7742188,-1.458675
2061,-0.20864919,0.05928576,0.17136604
2669,-1.3266544,-2.2529433,-3.0707395
3536,-0.28016326,-0.79067767,-1.2389635
2194,-1.600022,-0.79349035,-2.857518
2581,-0.46470958,-1.7471085,-2.7388632
3485,0.10001414,0.43121505,-0.079741776
3296,0.25973222,-2.5770402,-2.8819976
2921,0.08972909,0.348715,-0.72537196
3504,-1.5345556,-0.78381574,-2.2809014
2541,-0.26521322,-2.3962183,-0.78765655
2979,0.2746747,-0.19814864,-0.5615759
3380,-0.37546232,-0.05239427,-0.40297624
3269,-0.38459215,0.54018927,0.104711235
3335,-1.5060035,-1.4326863,-3.9091084
2731,-1.048941,0.46567798,-0.46420217
3950,0.054126948,-0.2603016,0.022226095
3646,-0.20836641,-1.6632296,-1.6949863
2536,-1.1931885,-1.6371045,-1.9682779
2215,-0.9258664,-3.152084,-3.6616309
3398,-0.6531534,-0.6599457,-2.369926
3891,-1.1795961,-2.7348533,-2.2534509
2735,-0.11439233,-0.48933753,-0.75211644
2682,-0.60112286,-1.0147288,-1.8120477
2973,-0.8417883,-1.5567186,-4.9726152
2099,0.06449851,-2.0231636,-2.398792
3238,-0.9725274,-0.41644877,-0.59818786
3652,-1.6515704,-1.485496,-0.776772
3938,-0.95243776,-1.2873644,-3.0266871
3707,-0.24550231,-1.036076,-2.7562342
3793,-1.5377196,-2.6444201,-4.0784693
2775,-0.76219213,-0.7750925,-0.65392554
3435,-0.7816023,-0.65574586,-1.8265225
2927,-1.3718725,-2.4880779,-1.3081954
2610,0.28512838,0.0118095875,-0.5031388
2800,-1.1119312,-0.048642397,-1.0042393
2314,-0.21396168,0.29078096,-0.42024195
2724,-0.8941517,-1.1675661,-2.88577
3070,-0.18855846,-0.6693323,-1.2652535
2722,0.32966688,-1.3597746,-2.9509
2810,0.032424014,0.2028799,-2.2456641
3754,-0.90760857,-0.33518755,-2.0833044
2387,-1.4750255,-2.4982014,-4.896842
3875,-0.7151753,-1.2477456,-2.379781
2312,-0.005727611,-0.842257,-1.1652627
2475,-1.8221849,-1.0095328,-0.95795465
2652,0.024234716,0.37672633,-0.41182137
3438,0.18607439,-1.3941387,-0.57389987
2530,-1.2083372,-2.5756068,-2.4637718
3567,-1.2261958,-1.336798,-3.5089734
3390,-0.66772974,-0.29530036,0.04662568
2232,-0.33859316,-0.2755136,-0.42965078
2693,-1.3405398,-0.40858668,-1.4732876
3236,-0.5936541,0.3165747,0.21899259
2760,-0.22574933,-1.4971775,-1.659291
3355,-1.8389255,-0.84088194,-1.7788867
3575,-1.6481045,-0.7473264,-3.6356747
2586,0.002120157,0.018865021,-1.6448077
2055,-0.040431123,0.6239774,0.08047593
3442,0.74583423,1.0013423,0.35518813
3097,-0.098705925,-2.1155667,-0.884356
2050,-0.71607244,0.28955674,-1.2000964
2864,0.323109,0.5613938,0.3842734
2273,-0.84543675,-1.0217851,-2.6354756
3893,0.25205523,0.24396932,-0.33229804
3432,0.0867086,-0.01813981,-0.60900885
2315,-0.034592077,-0.22927651,-0.16583431
3994,0.34314632,-0.071834475,-0.8256732
2268,0.14326012,-1.2973497,-2.2382338
3287,-1.6002251,0.33966613,-0.61851865
3000,0.18610571,0.78449,-0.4849764
2147,-0.86704826,-1.2636588,-2.9529665
3356,0.41273874,-0.8276538,-1.3261654
2029,-0.3442921,-1.9264786,-1.4862387
2112,0.27497354,-1.9002384,-2.522437
2556,-2.4878435,-2.2923465,-4.0410194
2527,0.32032466,-0.22912145,-0.44594485
2875,-1.4531294,-1.9957018,-3.3393111
3007,0.5132792,0.53585833,0.3590613
3854,-0.6783199,-2.0987694,-3.8990161
2379,-1.1305538,-2.786105,-5.2493153
3677,-2.5126936,-1.5070413,-4.059932
3376,-0.20500515,-0.31039077,0.4361918
2883,-0.6497205,-0.49663413,-0.9829116
3560,0.40815842,1.0971934,0.36418366
3865,-0.6034776,0.22969949,-0.7387377
2254,-0.57533544,-0.43615788,0.23882997
3441,-0.83528686,-0.9765588,-1.195184
2427,-0.02209927,-0.5664481,-1.8388786
2170,-0.8018315,-1.1699718,-3.3052545
2181,-0.116683334,-0.54677033,-1.1396093
3377,-0.23455545,-1.2918835,-1.8674662
3171,0.29463893,0.22872837,-0.709509
2690,-0.5062136,-1.2554766,-2.9333177
3368,-1.0481969,-1.6295397,-1.0531745
3699,-0.7418435,-0.79676366,-1.7359465
2531,0.20495036,-0.9007156,0.065749645
2017,-0.6480357,-1.9616172,-2.045568
2257,-0.4536269,-1.4902555,-0.96896845
3094,0.21189277,-0.19892521,-0.20984244
2111,-0.2991459,-0.2110833,-0.7603594
2672,-1.1924034,-0.96899396,-1.1853529
3050,-0.9791629,-1.5357594,-2.4745836
2093,-0.3121579,-0.4150436,-0.60720086
2366,-1.2072052,0.42926133,-0.40646198
2378,-0.22655739,-0.51075184,-2.4825406
2620,0.9266362,-1.364574,0.6095625
3237,-0.20818229,0.17969717,0.42275894
3998,0.34617147,-0.62302744,0.53566074
3530,0.32755405,-1.1468785,-1.8572786
3265,-0.29508477,0.039224446,0.14227948
3710,-0.15760225,-2.2248898,-3.3295567
2144,-1.7746426,-3.3492122,-3.910618
2303,-0.8289037,-0.9083115,-1.4090015
3080,-0.15933609,-0.30942923,-0.5413569
2595,-1.3882505,-1.3011708,-2.8476374
2454,-1.2833031,-0.8113175,0.23156166
2242,-0.3450893,-0.4013771,-0.38643205
2480,-1.2424914,-1.2927343,-2.2389314
2691,0.3929259,-0.37913743,-0.7212057
3104,-0.4244414,-0.45088223,-2.395742
2667,-0.58651996,-1.7147098,-3.7589626
3594,-1.1214492,-0.3059116,-2.417705
2898,-0.9394185,-2.8053145,-4.596619
2894,-0.7341,-0.5222436,0.44995213
2150,-2.1743784,-1.6775144,-2.237502
3026,-0.6083352,0.49453086,-0.07545473
3145,-0.4135541,-0.6549116,-1.2705781
3992,-1.6249722,-1.7642845,-2.1050377
