,y
3496,0.0
3238,1.0
2610,1.0
2540,1.0
3549,0.0
2388,0.0
3368,0.0
3012,0.0
2796,1.0
3804,0.0
2020,0.0
2122,0.0
2622,0.0
2783,0.0
2348,0.0
2023,0.0
2010,1.0
2135,0.0
3615,0.0
2617,0.0
2130,0.0
2686,0.0
2629,0.0
3195,0.0
2112,0.0
2879,0.0
3235,0.0
2119,0.0
2672,0.0
3190,0.0
2958,0.0
2279,1.0
3656,0.0
3610,0.0
2625,1.0
3491,0.0
3252,1.0
3741,0.0
3862,0.0
3371,0.0
2600,1.0
3623,0.0
3561,1.0
2086,1.0
2466,1.0
3688,1.0
2751,0.0
3013,0.0
2289,0.0
2383,0.0
3213,1.0
3351,1.0
3019,0.0
3143,0.0
2659,0.0
2976,0.0
2261,0.0
3633,1.0
3859,0.0
2878,0.0
2026,0.0
3020,0.0
3295,0.0
2615,1.0
2567,0.0
2733,0.0
2601,0.0
2649,1.0
2172,1.0
2161,1.0
3572,0.0
3771,0.0
2478,1.0
2375,0.0
2053,0.0
3638,0.0
2874,1.0
3802,1.0
2929,1.0
2643,1.0
3115,0.0
3567,0.0
3074,0.0
3025,0.0
2620,0.0
2632,0.0
2580,1.0
2050,0.0
2568,0.0
2058,0.0
2849,0.0
2611,0.0
3643,0.0
2300,0.0
3153,1.0
3632,0.0
2594,0.0
2073,0.0
3251,0.0
2189,0.0
3490,0.0
3916,0.0
2278,0.0
2886,0.0
2062,0.0
3157,0.0
3200,1.0
3268,0.0
3199,0.0
2899,0.0
2246,0.0
3203,0.0
2725,0.0
2475,0.0
3693,0.0
2744,1.0
3984,0.0
3010,0.0
2266,0.0
3717,0.0
2967,1.0
2396,0.0
3230,0.0
2154,0.0
3559,0.0
3369,0.0
2239,0.0
3631,0.0
2609,0.0
3047,1.0
3476,0.0
3288,0.0
2766,1.0
3182,0.0
2797,1.0
2007,0.0
2385,1.0
3900,0.0
2500,0.0
3087,0.0
3685,0.0
3830,0.0
2501,0.0
3519,1.0
2134,1.0
2382,1.0
3733,1.0
3229,1.0
3468,1.0
2787,0.0
2560,0.0
3600,1.0
2451,0.0
2790,0.0
2258,1.0
2436,0.0
3506,0.0
2624,0.0
2959,0.0
2510,0.0
2737,1.0
3092,0.0
2225,0.0
2439,0.0
3329,0.0
3161,0.0
3008,0.0
3460,0.0
3135,1.0
2324,0.0
3890,0.0
2810,0.0
2476,0.0
2591,0.0
3562,0.0
3298,0.0
3763,0.0
2888,0.0
3220,0.0
3232,0.0
3325,1.0
3568,0.0
2755,1.0
3304,0.0
2853,0.0
2685,1.0
3338,1.0
3956,0.0
3597,1.0
2340,0.0
2608,0.0
2877,0.0
3817,0.0
3076,0.0
3847,0.0
3983,0.0
3579,0.0
2446,0.0
3056,0.0
3069,1.0
