,y_hat
2831,False
3700,False
3968,False
2120,False
3631,False
3742,False
2599,False
2779,False
2677,False
3942,False
2204,False
2862,False
2736,False
3779,False
3424,False
2900,False
3698,False
3411,False
2876,False
3687,False
3657,False
2689,False
2439,False
2837,False
3778,False
3852,False
3332,False
2111,False
3516,False
3611,False
2531,False
2523,False
3704,False
3781,False
3740,False
2797,False
3186,False
2039,False
3336,False
2397,False
3829,False
3129,False
2347,False
3066,False
3191,False
3911,False
2918,False
3325,False
3841,False
3446,False
3080,False
2684,False
2119,False
2618,False
3581,False
2884,False
2385,False
3593,False
3359,False
3244,False
2161,False
3097,False
2445,False
3020,False
3072,False
3899,False
3214,False
3271,False
2414,False
3792,False
2702,False
2838,False
2090,False
2052,False
3071,False
3596,False
3752,False
3032,False
3697,False
3627,False
3888,False
3782,False
3543,False
3763,False
2116,False
3299,False
3178,False
2871,False
2693,False
2899,False
3980,False
3474,False
2723,False
3765,False
2507,False
2193,False
3901,False
3358,False
2283,False
3239,False
3249,False
2606,False
3264,False
2249,False
2666,False
2228,False
3795,False
2483,False
3981,False
2013,False
3241,False
3771,False
3605,False
3894,False
3761,False
2811,False
2557,False
3555,False
3462,False
3637,False
3269,False
2879,False
3087,False
2635,False
2280,False
3616,False
3012,False
2581,False
3364,False
3690,False
3146,False
3009,False
3401,False
3987,False
2570,False
2863,False
2561,False
2849,False
3093,False
2365,False
2384,False
3913,False
3882,False
2886,False
3989,False
3976,False
3420,False
3607,False
3879,False
2434,False
3277,False
2952,False
2095,False
2674,False
2543,False
3063,False
2720,False
2680,False
3158,False
3791,False
3988,False
2996,False
2019,False
2170,False
2795,False
2025,False
2663,False
2981,False
3382,False
2545,False
2103,False
2825,False
3799,False
3758,False
3147,False
3041,False
2880,False
3030,False
3308,False
3443,False
2396,False
3457,False
3546,False
2136,False
3188,False
3606,False
3380,False
3390,False
2279,False
3974,False
2508,False
2921,False
3307,False
2300,False
2910,False
3287,False
3219,False
2383,False
3970,False
3561,False
