,years_experience,degree,nr_commits,nr_languages,nr_stars
2525,2.0,0.0,23.0,1.0,2.0
2838,1.0,0.0,17.0,6.0,4.0
2568,1.0,2.0,13.0,18.0,4.0
2374,0.0,0.0,5.0,17.0,4.0
2958,2.0,0.0,22.0,3.0,5.0
3393,1.0,0.0,13.0,1.0,1.0
2445,2.0,0.0,25.0,5.0,8.0
2166,1.0,2.0,13.0,3.0,6.0
3942,1.0,1.0,12.0,2.0,4.0
3057,1.0,0.0,13.0,2.0,1.0
2567,3.0,0.0,33.0,2.0,4.0
2910,2.0,0.0,24.0,0.0,3.0
2333,1.0,2.0,13.0,3.0,2.0
2922,3.0,0.0,31.0,4.0,2.0
2615,1.0,0.0,12.0,0.0,2.0
2672,2.0,0.0,20.0,1.0,3.0
3187,1.0,1.0,13.0,8.0,2.0
3055,1.0,2.0,14.0,11.0,10.0
2863,2.0,0.0,20.0,6.0,2.0
3551,3.0,0.0,36.0,2.0,2.0
2968,3.0,0.0,33.0,3.0,8.0
3147,2.0,0.0,21.0,2.0,1.0
3615,3.0,0.0,36.0,5.0,3.0
3419,2.0,0.0,27.0,3.0,4.0
2744,3.0,0.0,34.0,10.0,4.0
2637,2.0,0.0,26.0,7.0,4.0
3350,0.0,1.0,6.0,1.0,1.0
3230,3.0,0.0,34.0,5.0,6.0
2580,2.0,0.0,24.0,8.0,1.0
3367,0.0,0.0,6.0,3.0,5.0
3024,1.0,1.0,11.0,2.0,4.0
3926,0.0,0.0,3.0,3.0,5.0
3185,4.0,0.0,45.0,2.0,9.0
2865,2.0,0.0,25.0,2.0,3.0
3761,2.0,0.0,24.0,0.0,5.0
3572,4.0,0.0,42.0,5.0,2.0
2151,1.0,0.0,17.0,1.0,3.0
2566,1.0,0.0,14.0,10.0,2.0
2790,0.0,0.0,3.0,3.0,1.0
2954,3.0,0.0,33.0,6.0,3.0
3789,2.0,0.0,22.0,5.0,0.0
2952,1.0,0.0,14.0,6.0,3.0
3423,2.0,1.0,21.0,7.0,1.0
2153,2.0,0.0,24.0,3.0,2.0
2244,1.0,0.0,12.0,7.0,4.0
2953,1.0,0.0,12.0,18.0,7.0
2304,0.0,2.0,5.0,2.0,1.0
2473,1.0,0.0,11.0,0.0,4.0
3163,1.0,2.0,14.0,6.0,3.0
2742,2.0,0.0,24.0,2.0,5.0
3963,0.0,0.0,3.0,1.0,3.0
2256,0.0,2.0,2.0,4.0,2.0
3442,0.0,2.0,4.0,8.0,3.0
3339,3.0,0.0,34.0,4.0,1.0
2695,2.0,0.0,25.0,1.0,4.0
3196,1.0,0.0,15.0,1.0,3.0
3149,0.0,0.0,3.0,11.0,1.0
2943,1.0,0.0,15.0,7.0,4.0
3183,2.0,1.0,24.0,10.0,7.0
3372,2.0,1.0,26.0,1.0,5.0
2280,1.0,0.0,19.0,1.0,5.0
2949,1.0,0.0,12.0,3.0,6.0
2182,1.0,1.0,15.0,2.0,5.0
2783,1.0,0.0,14.0,6.0,8.0
3221,0.0,2.0,3.0,4.0,6.0
2208,0.0,0.0,2.0,13.0,4.0
2743,1.0,0.0,20.0,0.0,3.0
3262,2.0,0.0,27.0,1.0,4.0
2359,3.0,0.0,35.0,1.0,7.0
2559,3.0,0.0,34.0,1.0,2.0
3976,3.0,0.0,35.0,0.0,5.0
2425,0.0,0.0,7.0,2.0,1.0
2019,0.0,2.0,4.0,3.0,3.0
3498,0.0,0.0,2.0,2.0,1.0
2854,1.0,0.0,13.0,2.0,11.0
2723,1.0,0.0,16.0,4.0,2.0
3343,2.0,0.0,25.0,0.0,3.0
3831,3.0,0.0,35.0,0.0,1.0
3689,2.0,0.0,26.0,6.0,1.0
3934,1.0,1.0,14.0,4.0,6.0
3300,2.0,0.0,23.0,4.0,7.0
3928,1.0,0.0,12.0,5.0,2.0
2299,1.0,1.0,16.0,3.0,8.0
2172,1.0,1.0,14.0,1.0,2.0
2623,0.0,2.0,3.0,1.0,1.0
3150,0.0,2.0,5.0,4.0,2.0
2352,2.0,0.0,22.0,2.0,0.0
3299,0.0,0.0,6.0,0.0,4.0
2610,0.0,1.0,9.0,2.0,10.0
2535,2.0,0.0,22.0,13.0,3.0
2351,2.0,0.0,23.0,2.0,1.0
2808,1.0,0.0,11.0,8.0,2.0
3634,3.0,0.0,34.0,11.0,12.0
2562,0.0,2.0,1.0,0.0,1.0
3654,1.0,1.0,15.0,1.0,1.0
2604,1.0,2.0,15.0,1.0,4.0
2243,3.0,0.0,35.0,2.0,8.0
2117,2.0,0.0,23.0,12.0,10.0
2712,2.0,0.0,23.0,5.0,1.0
3577,2.0,0.0,26.0,1.0,2.0
3755,2.0,0.0,25.0,5.0,5.0
2683,4.0,0.0,45.0,0.0,2.0
2821,3.0,0.0,30.0,2.0,8.0
2726,2.0,0.0,20.0,0.0,7.0
2284,1.0,2.0,17.0,4.0,6.0
3225,4.0,0.0,42.0,0.0,4.0
2413,0.0,0.0,6.0,4.0,9.0
3042,1.0,0.0,13.0,11.0,3.0
2282,3.0,0.0,39.0,2.0,3.0
3036,0.0,2.0,6.0,1.0,3.0
3137,0.0,2.0,1.0,9.0,4.0
2699,0.0,0.0,6.0,1.0,3.0
3777,2.0,0.0,25.0,2.0,3.0
