,years_experience,degree,nr_commits,nr_languages,nr_stars
2030,3.0,0.0,35.0,4.0,1.0
3650,2.0,0.0,24.0,1.0,3.0
3321,2.0,1.0,23.0,0.0,2.0
3443,1.0,0.0,13.0,6.0,1.0
2344,2.0,0.0,25.0,5.0,2.0
3741,0.0,0.0,2.0,8.0,5.0
3038,3.0,0.0,34.0,5.0,7.0
2942,0.0,2.0,1.0,5.0,2.0
2913,1.0,0.0,14.0,5.0,4.0
2300,3.0,0.0,36.0,0.0,1.0
3331,2.0,0.0,31.0,4.0,3.0
3372,0.0,0.0,4.0,1.0,9.0
2509,1.0,1.0,12.0,2.0,9.0
3521,2.0,1.0,23.0,2.0,2.0
3456,2.0,1.0,20.0,3.0,6.0
3461,0.0,2.0,3.0,15.0,5.0
3090,0.0,0.0,5.0,2.0,12.0
3669,0.0,0.0,2.0,11.0,5.0
3601,0.0,2.0,9.0,9.0,3.0
2607,0.0,1.0,1.0,5.0,4.0
3345,2.0,0.0,21.0,4.0,1.0
3936,0.0,0.0,6.0,3.0,1.0
3091,0.0,0.0,3.0,7.0,1.0
2338,1.0,1.0,13.0,2.0,1.0
2282,3.0,0.0,33.0,3.0,2.0
3913,1.0,0.0,12.0,6.0,3.0
2411,0.0,2.0,8.0,10.0,9.0
3361,2.0,0.0,23.0,4.0,8.0
3543,2.0,1.0,26.0,4.0,5.0
2048,1.0,1.0,12.0,6.0,1.0
2023,1.0,0.0,13.0,5.0,4.0
2840,1.0,1.0,15.0,1.0,8.0
2026,3.0,0.0,34.0,1.0,0.0
3205,0.0,0.0,5.0,0.0,2.0
2621,1.0,1.0,11.0,9.0,1.0
3163,1.0,0.0,13.0,1.0,0.0
3896,1.0,0.0,13.0,3.0,3.0
3779,2.0,0.0,23.0,4.0,4.0
2485,2.0,0.0,24.0,0.0,7.0
3213,0.0,0.0,3.0,2.0,7.0
2385,1.0,2.0,15.0,1.0,4.0
3451,0.0,1.0,3.0,9.0,0.0
3117,1.0,0.0,13.0,5.0,2.0
2807,3.0,0.0,36.0,2.0,4.0
3053,2.0,1.0,26.0,2.0,5.0
3577,0.0,2.0,2.0,0.0,1.0
3099,1.0,0.0,12.0,2.0,5.0
3454,1.0,0.0,18.0,9.0,4.0
3826,1.0,1.0,14.0,3.0,2.0
3791,2.0,0.0,22.0,2.0,1.0
3572,0.0,2.0,4.0,10.0,5.0
3243,2.0,0.0,23.0,1.0,5.0
2470,4.0,0.0,45.0,3.0,5.0
3613,2.0,0.0,28.0,6.0,6.0
3707,0.0,0.0,5.0,3.0,2.0
2857,3.0,0.0,36.0,1.0,1.0
2898,1.0,0.0,13.0,4.0,4.0
2381,2.0,0.0,27.0,11.0,1.0
3095,3.0,0.0,34.0,1.0,6.0
2606,0.0,2.0,2.0,6.0,2.0
3656,3.0,0.0,34.0,3.0,6.0
2367,1.0,2.0,16.0,1.0,5.0
3637,3.0,0.0,33.0,1.0,3.0
3886,2.0,0.0,22.0,4.0,8.0
3350,3.0,0.0,30.0,3.0,13.0
2133,3.0,0.0,36.0,3.0,2.0
3042,2.0,0.0,21.0,4.0,11.0
2397,3.0,0.0,36.0,0.0,3.0
3564,1.0,0.0,10.0,2.0,7.0
3086,0.0,2.0,6.0,2.0,3.0
3534,3.0,0.0,40.0,3.0,7.0
3353,3.0,0.0,35.0,5.0,3.0
3594,2.0,0.0,24.0,9.0,6.0
2574,0.0,0.0,2.0,1.0,7.0
2754,3.0,0.0,34.0,4.0,2.0
2222,0.0,0.0,3.0,3.0,6.0
3571,3.0,0.0,32.0,4.0,3.0
3606,2.0,1.0,29.0,6.0,1.0
2859,3.0,0.0,32.0,7.0,4.0
2211,0.0,0.0,6.0,3.0,5.0
2276,3.0,0.0,33.0,4.0,3.0
3157,2.0,1.0,24.0,1.0,1.0
3278,0.0,2.0,4.0,2.0,4.0
3194,0.0,0.0,1.0,1.0,4.0
3301,2.0,0.0,22.0,8.0,6.0
3212,1.0,2.0,13.0,11.0,4.0
2906,1.0,0.0,15.0,5.0,3.0
2417,2.0,0.0,24.0,0.0,3.0
3241,3.0,0.0,32.0,12.0,5.0
3848,2.0,0.0,22.0,4.0,2.0
2285,1.0,1.0,12.0,2.0,5.0
3421,2.0,1.0,22.0,1.0,2.0
3312,2.0,0.0,22.0,0.0,8.0
2402,3.0,0.0,30.0,2.0,3.0
3710,2.0,0.0,22.0,10.0,1.0
3642,2.0,0.0,30.0,3.0,8.0
3859,1.0,0.0,16.0,0.0,0.0
2916,1.0,0.0,14.0,1.0,2.0
3542,2.0,1.0,22.0,6.0,3.0
3096,1.0,0.0,10.0,3.0,3.0
2842,1.0,1.0,15.0,6.0,2.0
3724,0.0,0.0,5.0,20.0,5.0
2677,2.0,0.0,25.0,0.0,5.0
3147,3.0,0.0,33.0,7.0,2.0
3386,3.0,0.0,32.0,6.0,2.0
2265,2.0,0.0,28.0,2.0,5.0
2052,3.0,0.0,34.0,7.0,2.0
3017,2.0,0.0,25.0,1.0,4.0
3861,3.0,0.0,35.0,3.0,5.0
2220,2.0,0.0,24.0,1.0,3.0
3391,0.0,1.0,0.0,3.0,3.0
3264,0.0,0.0,5.0,1.0,5.0
2277,2.0,0.0,24.0,5.0,9.0
3922,3.0,0.0,38.0,0.0,5.0
3806,3.0,0.0,35.0,2.0,3.0
3360,3.0,0.0,37.0,2.0,8.0
2955,2.0,1.0,24.0,7.0,3.0
2425,3.0,0.0,31.0,5.0,10.0
2116,2.0,0.0,22.0,19.0,0.0
2487,1.0,0.0,18.0,0.0,5.0
2291,1.0,0.0,18.0,2.0,5.0
2195,3.0,0.0,34.0,0.0,8.0
2598,1.0,0.0,14.0,0.0,3.0
2603,0.0,1.0,4.0,6.0,5.0
3575,2.0,0.0,23.0,3.0,0.0
3903,0.0,1.0,5.0,6.0,1.0
2904,3.0,0.0,34.0,4.0,1.0
3493,1.0,2.0,16.0,4.0,6.0
2315,0.0,0.0,2.0,1.0,6.0
3750,2.0,0.0,24.0,2.0,1.0
2478,3.0,0.0,33.0,2.0,5.0
2010,3.0,0.0,36.0,1.0,7.0
2214,0.0,2.0,5.0,0.0,6.0
3842,2.0,0.0,23.0,6.0,5.0
3446,1.0,0.0,14.0,4.0,7.0
3630,3.0,0.0,35.0,0.0,2.0
2774,4.0,0.0,43.0,4.0,1.0
2200,2.0,0.0,24.0,1.0,6.0
3555,1.0,1.0,16.0,1.0,10.0
2497,2.0,1.0,25.0,2.0,0.0
2712,2.0,0.0,22.0,1.0,9.0
3186,0.0,0.0,5.0,6.0,1.0
3423,1.0,0.0,14.0,4.0,3.0
2725,0.0,1.0,1.0,6.0,8.0
2915,0.0,2.0,2.0,2.0,0.0
3438,2.0,0.0,27.0,3.0,3.0
2732,1.0,0.0,17.0,4.0,3.0
2844,1.0,1.0,16.0,1.0,2.0
3260,1.0,0.0,15.0,0.0,5.0
2008,1.0,0.0,12.0,2.0,5.0
3380,0.0,2.0,6.0,6.0,1.0
2623,1.0,0.0,11.0,7.0,4.0
3635,1.0,1.0,13.0,6.0,7.0
2118,0.0,0.0,2.0,4.0,4.0
2034,3.0,0.0,32.0,1.0,12.0
3473,2.0,0.0,26.0,3.0,2.0
2980,1.0,0.0,17.0,0.0,0.0
3193,0.0,1.0,2.0,6.0,1.0
3704,2.0,0.0,26.0,6.0,1.0
3037,3.0,0.0,33.0,5.0,2.0
2000,1.0,2.0,13.0,6.0,2.0
3545,2.0,0.0,21.0,4.0,9.0
3623,1.0,1.0,14.0,8.0,3.0
2940,2.0,0.0,26.0,2.0,5.0
3800,1.0,1.0,15.0,9.0,1.0
2164,3.0,0.0,39.0,1.0,4.0
3970,0.0,1.0,6.0,3.0,7.0
3942,1.0,0.0,14.0,1.0,0.0
2069,2.0,0.0,24.0,1.0,2.0
3934,1.0,1.0,12.0,0.0,4.0
3262,0.0,2.0,3.0,5.0,1.0
2194,3.0,0.0,32.0,9.0,4.0
2100,0.0,0.0,7.0,1.0,2.0
3282,2.0,0.0,22.0,0.0,4.0
2537,3.0,0.0,35.0,5.0,7.0
3651,1.0,0.0,12.0,5.0,1.0
3614,1.0,1.0,11.0,6.0,6.0
2364,0.0,2.0,2.0,4.0,1.0
3978,1.0,1.0,14.0,1.0,3.0
3210,3.0,0.0,36.0,6.0,11.0
3342,2.0,0.0,21.0,4.0,3.0
3405,0.0,2.0,4.0,5.0,5.0
2590,1.0,1.0,14.0,0.0,4.0
2937,0.0,2.0,4.0,9.0,3.0
2808,3.0,0.0,33.0,6.0,3.0
2839,0.0,2.0,3.0,2.0,3.0
3648,2.0,1.0,33.0,1.0,2.0
2663,0.0,2.0,5.0,2.0,2.0
3986,2.0,0.0,28.0,2.0,2.0
2819,2.0,0.0,25.0,4.0,3.0
3979,2.0,1.0,21.0,13.0,3.0
3279,3.0,0.0,35.0,7.0,3.0
3242,2.0,0.0,26.0,2.0,5.0
3694,2.0,0.0,21.0,2.0,8.0
2305,3.0,0.0,31.0,8.0,3.0
2746,1.0,0.0,15.0,6.0,3.0
2432,1.0,0.0,13.0,3.0,8.0
3063,3.0,0.0,37.0,3.0,2.0
3870,1.0,1.0,16.0,3.0,7.0
3065,0.0,2.0,8.0,2.0,2.0
