,y_hat
2030,False
3650,False
3321,False
3443,False
2344,False
3741,False
3038,False
2942,False
2913,False
2300,False
3331,False
3372,False
2509,False
3521,False
3456,False
3461,False
3090,False
3669,False
3601,False
2607,False
3345,False
3936,False
3091,False
2338,False
2282,False
3913,False
2411,False
3361,False
3543,False
2048,False
2023,False
2840,False
2026,False
3205,False
2621,False
3163,False
3896,False
3779,False
2485,False
3213,False
2385,False
3451,False
3117,False
2807,False
3053,False
3577,False
3099,False
3454,False
3826,False
3791,False
3572,False
3243,False
2470,False
3613,False
3707,False
2857,False
2898,False
2381,False
3095,False
2606,False
3656,False
2367,False
3637,False
3886,False
3350,False
2133,False
3042,False
2397,False
3564,False
3086,False
3534,False
3353,False
3594,False
2574,False
2754,False
2222,False
3571,False
3606,False
2859,False
2211,False
2276,False
3157,False
3278,False
3194,False
3301,False
3212,False
2906,False
2417,False
3241,False
3848,False
2285,False
3421,False
3312,False
2402,False
3710,False
3642,False
3859,False
2916,False
3542,False
3096,False
2842,False
3724,False
2677,False
3147,False
3386,False
2265,False
2052,False
3017,False
3861,False
2220,False
3391,False
3264,False
2277,False
3922,False
3806,False
3360,False
2955,False
2425,False
2116,False
2487,False
2291,False
2195,False
2598,False
2603,False
3575,False
3903,False
2904,False
3493,False
2315,False
3750,False
2478,False
2010,False
2214,False
3842,False
3446,False
3630,False
2774,False
2200,False
3555,False
2497,False
2712,False
3186,False
3423,False
2725,False
2915,False
3438,False
2732,False
2844,False
3260,False
2008,False
3380,False
2623,False
3635,False
2118,False
2034,False
3473,False
2980,False
3193,False
3704,False
3037,False
2000,False
3545,False
3623,False
2940,False
3800,False
2164,False
3970,False
3942,False
2069,False
3934,False
3262,False
2194,False
2100,False
3282,False
2537,False
3651,False
3614,False
2364,False
3978,False
3210,False
3342,False
3405,False
2590,False
2937,False
2808,False
2839,False
3648,False
2663,False
3986,False
2819,False
3979,False
3279,False
3242,False
3694,False
2305,False
2746,False
2432,False
3063,False
3870,False
3065,False
