,h_post,h_post_individualized
3389,0.6,
2327,0.6,
3665,0.6,
3119,0.6,
2905,0.6,
2315,0.6,
3120,0.6,
2635,0.6,
3676,0.6,
2751,0.6,
3254,0.6,
3895,0.6,
3073,0.8,
2526,0.6,
2858,0.6,
3764,0.6,
3110,0.6,
2775,0.6,
2671,0.6,
3822,0.6,
2762,0.6,
3549,0.6,
3210,0.6,
2808,0.6,
3713,0.6,
3673,0.6,
2438,0.6,
2458,0.6,
3245,0.6,
2543,0.6,
2521,0.6,
3432,0.6,
3385,0.6,
2717,0.6,
3899,0.6,
3076,0.6,
2124,0.6,
2194,0.6,
3346,0.6,
2373,0.6,
3544,0.6,
3239,0.6,
2346,0.6,
2978,0.6,
3460,0.6,
3900,0.6,
2270,0.6,
3656,0.6,
3976,0.6,
3819,0.6,
2196,0.6,
2057,0.6,
2187,0.6,
3363,0.6,
3228,0.6,
2653,0.6,
2948,0.6,
3921,0.6,
2914,0.6,
2771,0.6,
2681,0.6,
3763,0.6,
2551,0.6,
2459,0.6,
2022,0.6,
3755,0.6,
2837,0.6,
2159,0.6,
3421,0.6,
2568,0.6,
2632,0.6,
2566,0.6,
2444,0.6,
2749,0.6,
3369,0.6,
3953,0.6,
2519,0.6,
3550,0.6,
3057,0.6,
3579,0.6,
2299,0.6,
2655,0.6,
2431,0.6,
2512,0.6,
3639,0.6,
2776,0.6,
2880,0.6,
2310,0.6,
2516,0.6,
2385,0.6,
3047,0.8,
2898,0.6,
3513,0.6,
2120,0.5649697803182996,
2126,0.6,
3079,0.6,
3266,0.6,
3362,0.6,
3202,0.6,
2558,0.6,
3414,0.6,
3995,0.6,
3540,0.6,
3290,0.6,
2399,0.6,
3209,0.6,
2098,0.6,
2592,0.6,
2971,0.6,
2366,0.6,
2934,0.6,
2793,0.6,
2705,0.6,
3422,0.6,
3341,0.6,
3954,0.6,
3113,0.6,
3038,0.6,
2213,0.6,
2821,0.6,
3374,0.6,
2364,0.6,
2101,0.6,
3511,1.0,
2823,0.6,
2434,0.6,
2646,0.6,
3137,0.6,
3866,0.6,
3426,0.8,
3242,0.6,
3317,0.6,
3658,0.6,
3909,0.6,
2680,0.6,
3996,0.6,
3637,0.6,
3982,0.6,
3749,0.6,
3412,0.6,
2711,0.6,
2950,0.6,
3754,0.6,
2104,0.6,
3280,0.6,
3800,0.6,
2801,0.6,
2601,0.6,
3454,0.6,
3181,0.6,
2619,0.6,
3538,0.6,
3845,0.6,
2581,0.8,
2308,0.6,
3091,0.6,
3872,0.6,
3014,0.6,
3905,0.6,
2422,0.6,
3926,0.6,
2492,0.6,
3836,0.6,
3017,0.6,
3102,0.6,
2403,0.6,
3688,0.6,
2384,0.6,
2895,0.6,
2951,0.6,
3285,0.6,
3424,1.0,
2557,0.6,
3893,0.6,
3598,0.6,
3480,0.6,
3314,0.6,
3167,0.6,
2556,0.6,
3773,0.6,
3686,0.6,
2909,0.6,
3747,0.6,
3088,0.6,
3255,0.6,
2360,0.6,
2396,0.6,
2463,0.6,
3410,0.6,
3532,0.8,
3801,0.6,
3029,0.8,
2652,0.6,
3162,0.6,
3529,0.6,
3006,0.6,
3206,0.6,
2423,0.6,
3607,0.6,
3163,0.6,
