ix,goal_cost,intv_cost
2737,0.99,15.0
3177,0.991,15.0
2111,0.989,15.0
3830,0.992,15.0
2875,0.991,10.0
3598,0.953,10.0
2124,0.88,15.0
2107,0.977,10.0
3633,0.933,5.0
2432,0.955,15.0
2584,0.971,5.0
2936,0.949,10.0
2757,0.992,10.0
3345,0.996,10.0
2340,0.895,10.0
3528,0.976,5.0
2306,0.993,15.0
3771,0.912,5.0
3854,0.978,5.0
3355,0.994,10.0
2653,0.998,15.0
3200,0.853,5.0
3382,0.951,10.0
3028,0.882,15.0
3276,0.989,10.0
3104,0.995,15.0
2030,0.872,15.0
3653,0.951,5.0
2801,0.95,5.0
3513,0.96,10.0
3778,0.906,5.0
3368,0.996,15.0
2117,0.974,5.0
3163,0.929,5.0
3158,0.988,10.0
3344,0.873,15.0
2069,0.952,10.0
2065,0.95,5.0
3096,0.995,15.0
3329,0.965,5.0
3338,0.886,10.0
3263,0.942,10.0
2967,0.862,10.0
2095,0.994,10.0
3960,0.976,5.0
3117,0.924,5.0
3057,0.885,15.0
3339,0.931,5.0
3690,0.869,5.0
3004,0.992,10.0
2538,0.857,5.0
2761,0.99,10.0
2529,0.891,10.0
2547,0.895,15.0
3448,0.96,5.0
3804,0.969,5.0
3640,0.981,10.0
2500,0.891,10.0
3999,0.992,10.0
3675,0.922,5.0
3997,0.953,5.0
3079,0.986,10.0
2859,0.869,15.0
3484,0.859,10.0
3452,0.996,15.0
3660,0.982,10.0
3825,0.979,5.0
3773,0.998,15.0
2622,0.963,5.0
3258,0.945,10.0
2834,0.863,15.0
3962,0.972,5.0
2440,0.89,10.0
3832,0.892,15.0
2083,0.921,5.0
2840,0.948,10.0
2940,0.936,15.0
2985,0.995,15.0
3924,0.92,5.0
2841,0.997,15.0
3491,0.989,15.0
2749,0.996,15.0
3738,0.997,15.0
2380,0.993,10.0
3706,0.905,5.0
2265,0.873,15.0
3075,0.954,10.0
3863,0.946,10.0
3477,0.929,5.0
3436,0.937,10.0
2228,0.994,15.0
3093,0.966,5.0
3742,0.935,5.0
2210,0.998,15.0
2650,0.994,15.0
2336,0.873,10.0
3980,0.994,15.0
2640,0.981,10.0
3634,0.956,10.0
3330,0.967,5.0
3229,0.977,5.0
2933,0.991,10.0
2652,0.88,15.0
3283,0.977,5.0
3486,0.926,5.0
2976,0.895,15.0
2121,0.878,10.0
3973,0.952,15.0
2240,0.871,15.0
3667,0.971,5.0
3249,0.972,5.0
3801,0.98,15.0
3818,0.996,15.0
2181,0.981,15.0
2508,0.899,10.0
2516,0.951,5.0
3026,0.96,10.0
2074,0.992,10.0
2404,0.934,5.0
3875,0.878,10.0
2159,0.989,10.0
3190,0.994,15.0
2429,0.99,10.0
2708,0.953,10.0
2064,0.971,5.0
3604,0.955,10.0
3887,0.977,5.0
3388,0.993,10.0
2881,0.994,15.0
3189,0.995,10.0
2649,0.981,10.0
3744,0.993,15.0
3073,0.989,15.0
2497,0.991,20.0
2460,0.872,10.0
3226,0.983,5.0
2399,0.872,15.0
3805,0.915,5.0
3735,0.957,10.0
2126,0.857,15.0
2098,0.93,5.0
3754,0.866,10.0
2672,0.992,10.0
2214,0.98,10.0
3315,0.962,15.0
3056,0.991,10.0
3669,0.992,10.0
3770,0.993,15.0
2942,0.956,10.0
2517,0.907,5.0
3126,0.994,15.0
2979,0.867,10.0
2542,0.951,15.0
2691,0.934,5.0
3442,0.865,10.0
3807,0.954,10.0
2053,0.886,10.0
2832,0.949,10.0
2413,0.993,10.0
3697,0.97,5.0
3943,0.945,15.0
3608,0.997,15.0
2876,0.892,15.0
2579,0.993,15.0
2611,0.853,5.0
2091,0.871,15.0
3514,0.935,5.0
2785,0.857,5.0
3681,0.857,5.0
2096,0.962,10.0
3301,0.936,5.0
3547,0.936,5.0
3628,0.987,15.0
2048,0.94,5.0
2528,0.933,5.0
3257,0.984,5.0
2894,0.995,15.0
2043,0.989,10.0
3993,0.993,10.0
3611,0.966,5.0
2716,0.922,5.0
3176,0.947,10.0
2104,0.892,15.0
2753,0.921,5.0
2704,0.993,15.0
2711,0.871,15.0
2821,0.994,15.0
3826,0.987,15.0
3088,0.958,5.0
2466,0.989,10.0
2132,0.977,5.0
3984,0.878,10.0
2356,0.887,10.0
3125,0.95,10.0
2313,0.946,5.0
3911,0.851,5.0
3069,0.994,10.0
3496,0.868,15.0
2166,0.951,15.0
2309,0.889,15.0
