,senior-level_skill
2737,1.0
3177,1.0
2111,1.0
3830,1.0
2875,1.0
3598,1.0
2124,1.0
2107,1.0
3633,1.0
2432,1.0
2584,1.0
2936,1.0
2757,1.0
3345,1.0
2340,1.0
3528,1.0
2306,1.0
3771,1.0
3854,1.0
3355,1.0
2653,1.0
3200,1.0
3382,1.0
3028,1.0
3276,1.0
3104,1.0
2030,1.0
3653,1.0
2801,1.0
3513,1.0
3778,1.0
3368,1.0
2117,1.0
3163,1.0
3158,1.0
3344,1.0
2069,1.0
2065,1.0
3096,1.0
3329,1.0
3338,1.0
3263,1.0
2967,1.0
2095,1.0
3960,1.0
3117,1.0
3057,1.0
3339,1.0
3690,1.0
3004,1.0
2538,1.0
2761,1.0
2529,1.0
2547,0.0
3448,1.0
3804,1.0
3640,1.0
2500,1.0
3999,1.0
3675,1.0
3997,1.0
3079,1.0
2859,1.0
3484,1.0
3452,1.0
3660,1.0
3825,1.0
3773,1.0
2622,1.0
3258,1.0
2834,1.0
3962,1.0
2440,1.0
3832,1.0
2083,1.0
2840,1.0
2940,1.0
2985,1.0
3924,1.0
2841,1.0
3491,1.0
2749,1.0
3738,1.0
2380,1.0
3706,0.0
2265,0.0
3075,1.0
3863,1.0
3477,1.0
3436,1.0
2228,1.0
3093,1.0
3742,1.0
2210,1.0
2650,1.0
2336,1.0
3980,1.0
2640,1.0
3634,1.0
3330,1.0
3229,1.0
2933,1.0
2652,1.0
3283,1.0
3486,1.0
2976,1.0
2121,1.0
3973,1.0
2240,1.0
3667,1.0
3249,1.0
3801,1.0
3818,1.0
2181,1.0
2508,1.0
2516,1.0
3026,1.0
2074,1.0
2404,1.0
3875,1.0
2159,1.0
3190,1.0
2429,1.0
2708,1.0
2064,1.0
3604,1.0
3887,1.0
3388,1.0
2881,1.0
3189,1.0
2649,1.0
3744,1.0
3073,1.0
2497,1.0
2460,0.0
3226,1.0
2399,0.0
3805,1.0
3735,1.0
2126,1.0
2098,1.0
3754,1.0
2672,1.0
2214,1.0
3315,1.0
3056,1.0
3669,1.0
3770,1.0
2942,1.0
2517,1.0
3126,1.0
2979,1.0
2542,1.0
2691,1.0
3442,1.0
3807,1.0
2053,1.0
2832,1.0
2413,1.0
3697,1.0
3943,1.0
3608,1.0
2876,1.0
2579,1.0
2611,1.0
2091,1.0
3514,1.0
2785,1.0
3681,1.0
2096,1.0
3301,1.0
3547,1.0
3628,1.0
2048,1.0
2528,1.0
3257,1.0
2894,1.0
2043,1.0
3993,1.0
3611,1.0
2716,1.0
3176,1.0
2104,1.0
2753,1.0
2704,1.0
2711,1.0
2821,1.0
3826,1.0
3088,1.0
2466,1.0
2132,1.0
3984,1.0
2356,1.0
3125,1.0
2313,1.0
3911,1.0
3069,1.0
3496,1.0
2166,1.0
2309,1.0
