,y_hat
3945,False
2000,False
2285,False
2748,False
2758,False
2018,False
3546,False
3843,False
3159,False
2756,False
2442,False
2738,False
2651,False
3914,False
2991,False
2755,False
2957,False
3001,False
2870,False
2908,False
2220,False
3605,False
3414,False
2490,False
3676,False
2265,False
3649,False
2196,False
2597,False
3857,False
3718,False
3492,False
3690,False
2390,False
2346,False
3242,False
3026,False
2581,False
2520,False
2538,False
2589,False
2136,False
3795,False
2933,False
3332,False
2907,False
2687,False
3107,False
2317,False
3861,False
2147,False
2278,False
2592,False
3625,False
3103,False
2046,False
3789,False
3636,False
3257,False
2545,False
2765,False
2534,False
3014,False
3497,False
3660,False
2182,False
3559,False
2799,False
3316,False
3572,False
2364,False
3468,False
3792,False
3122,False
2357,False
3569,False
3075,False
3518,False
2737,False
3400,False
3784,False
2433,False
3948,False
3261,False
3258,False
3921,False
2570,False
3695,False
2621,False
2764,False
3539,False
3566,False
2583,False
3917,False
2682,False
3240,False
3364,False
2633,False
2528,False
2929,False
2731,False
2438,False
2584,False
3938,False
3678,False
3338,False
3753,False
3439,False
2043,False
2973,False
2166,False
2052,False
3737,False
2858,False
3841,False
3342,False
2747,False
2843,False
2207,False
2414,False
3777,False
3314,False
3706,False
2085,False
2762,False
3151,False
2564,False
2725,False
3624,False
3952,False
3601,False
2253,False
3778,False
2500,False
3397,False
2824,False
2604,False
2298,False
3432,False
2715,False
2788,False
3648,False
3542,False
2875,False
3979,False
3415,False
3087,False
2959,False
2787,False
2345,False
2932,False
3918,False
3390,False
2746,False
3618,False
3855,False
2516,False
3990,False
3774,False
3037,False
2203,False
3140,False
2805,False
2033,False
2660,False
3924,False
2021,False
3978,False
3786,False
2447,False
2450,False
3220,False
2014,False
2840,False
3403,False
2029,False
3773,False
3385,False
2861,False
3717,False
2234,False
2008,False
2268,False
3827,False
2115,False
3966,False
3973,False
3511,False
2828,False
3503,False
2169,False
3365,False
2695,False
2150,False
3804,False
2517,False
3095,False
3506,False
3381,False
3136,False
