,years_experience,degree,nr_commits,nr_languages,nr_stars
3609,1.0,0.0,16.0,8.0,7.0
3118,1.0,1.0,14.0,5.0,3.0
2386,1.0,0.0,16.0,2.0,2.0
2732,3.0,0.0,34.0,6.0,1.0
3400,3.0,0.0,35.0,21.0,3.0
3784,1.0,2.0,18.0,0.0,4.0
2434,0.0,0.0,5.0,4.0,2.0
3256,0.0,2.0,5.0,3.0,11.0
3259,3.0,0.0,37.0,4.0,5.0
3989,1.0,0.0,15.0,1.0,2.0
3739,2.0,1.0,24.0,2.0,4.0
3276,3.0,0.0,33.0,9.0,3.0
3771,0.0,0.0,8.0,8.0,3.0
2267,1.0,0.0,16.0,8.0,1.0
2473,1.0,1.0,12.0,0.0,9.0
3506,2.0,0.0,21.0,2.0,3.0
3893,3.0,0.0,31.0,0.0,1.0
3380,2.0,0.0,24.0,0.0,2.0
2483,1.0,0.0,14.0,2.0,5.0
2588,2.0,0.0,22.0,4.0,0.0
2579,1.0,1.0,13.0,0.0,3.0
2474,0.0,2.0,2.0,13.0,7.0
2463,2.0,0.0,23.0,5.0,9.0
2592,1.0,0.0,15.0,1.0,3.0
3451,2.0,0.0,27.0,3.0,6.0
3456,0.0,2.0,7.0,7.0,4.0
3921,2.0,0.0,23.0,9.0,4.0
2135,3.0,0.0,36.0,4.0,2.0
3079,1.0,2.0,11.0,4.0,7.0
3971,1.0,0.0,13.0,2.0,5.0
2881,3.0,0.0,34.0,1.0,0.0
2309,3.0,0.0,33.0,6.0,4.0
3279,2.0,1.0,25.0,6.0,8.0
2824,1.0,0.0,13.0,3.0,2.0
3488,1.0,1.0,13.0,6.0,2.0
3326,0.0,0.0,1.0,0.0,3.0
3526,1.0,0.0,16.0,2.0,10.0
3841,0.0,0.0,5.0,9.0,4.0
2544,3.0,0.0,36.0,3.0,0.0
2615,0.0,0.0,2.0,6.0,4.0
3254,1.0,2.0,15.0,12.0,1.0
2059,2.0,1.0,23.0,1.0,5.0
2586,3.0,0.0,34.0,6.0,6.0
3249,3.0,0.0,34.0,6.0,14.0
3213,3.0,0.0,31.0,3.0,1.0
2305,0.0,2.0,5.0,1.0,2.0
2482,1.0,0.0,15.0,1.0,5.0
3777,0.0,3.0,3.0,6.0,11.0
2519,1.0,1.0,16.0,0.0,8.0
2048,2.0,0.0,22.0,3.0,3.0
3345,0.0,0.0,7.0,5.0,6.0
2433,1.0,1.0,12.0,1.0,2.0
3895,0.0,0.0,3.0,0.0,2.0
3162,3.0,0.0,36.0,1.0,5.0
2661,2.0,0.0,23.0,1.0,1.0
2442,0.0,2.0,1.0,8.0,0.0
2387,0.0,2.0,7.0,0.0,4.0
2484,1.0,1.0,14.0,10.0,4.0
2821,2.0,1.0,25.0,1.0,1.0
3319,3.0,0.0,36.0,1.0,3.0
3750,1.0,2.0,15.0,2.0,4.0
3585,3.0,0.0,34.0,3.0,6.0
3028,2.0,0.0,26.0,9.0,4.0
