,years_experience,degree,nr_commits,nr_languages,nr_stars
3996,3.0,0.0,852.0,6.0,4.0
2868,2.0,1.0,849.0,3.0,4.0
3617,1.0,1.0,850.0,4.0,8.0
3249,0.0,2.0,847.0,0.0,2.0
2252,0.0,0.0,856.0,14.0,1.0
3637,0.0,1.0,852.0,8.0,5.0
2947,1.0,0.0,854.0,2.0,3.0
3800,2.0,0.0,855.0,1.0,0.0
2369,0.0,1.0,849.0,10.0,6.0
2465,0.0,2.0,847.0,2.0,3.0
2974,2.0,0.0,850.0,12.0,4.0
2229,0.0,2.0,851.0,1.0,15.0
3214,4.0,0.0,1860.0,3.0,8.0
2415,0.0,2.0,845.0,5.0,5.0
2928,1.0,0.0,851.0,3.0,1.0
2261,2.0,0.0,847.0,2.0,6.0
3481,0.0,0.0,841.0,5.0,5.0
2127,1.0,0.0,847.0,6.0,5.0
3935,1.0,0.0,847.0,6.0,11.0
3678,2.0,0.0,848.0,1.0,2.0
2070,2.0,0.0,846.0,5.0,8.0
2617,1.0,1.0,844.0,7.0,8.0
3594,1.0,0.0,842.0,5.0,4.0
2326,1.0,2.0,848.0,6.0,2.0
3631,2.0,0.0,857.0,3.0,6.0
3841,0.0,0.0,851.0,8.0,1.0
2906,1.0,1.0,853.0,1.0,6.0
3875,1.0,0.0,840.0,4.0,4.0
3980,2.0,0.0,852.0,9.0,8.0
3397,3.0,0.0,1864.0,2.0,3.0
3690,1.0,2.0,845.0,3.0,5.0
2782,0.0,0.0,851.0,0.0,4.0
3967,4.0,0.0,848.0,4.0,4.0
3546,2.0,0.0,847.0,3.0,1.0
3282,1.0,0.0,843.0,4.0,4.0
3758,2.0,1.0,846.0,3.0,6.0
3508,3.0,0.0,1863.0,1.0,1.0
2723,2.0,0.0,848.0,2.0,3.0
2394,3.0,0.0,853.0,4.0,2.0
3642,0.0,2.0,848.0,1.0,5.0
2528,2.0,0.0,1856.0,1.0,0.0
2587,1.0,0.0,847.0,2.0,7.0
2913,2.0,0.0,849.0,2.0,3.0
3538,0.0,0.0,845.0,3.0,10.0
2082,2.0,0.0,853.0,2.0,1.0
2689,2.0,0.0,849.0,5.0,1.0
3036,0.0,1.0,851.0,8.0,2.0
3079,1.0,1.0,849.0,0.0,3.0
3121,1.0,1.0,848.0,3.0,5.0
2948,0.0,2.0,847.0,1.0,3.0
3573,2.0,0.0,850.0,5.0,7.0
3720,3.0,0.0,849.0,4.0,1.0
2001,1.0,0.0,847.0,1.0,5.0
3921,4.0,0.0,1861.0,4.0,5.0
2618,0.0,2.0,849.0,1.0,2.0
3760,0.0,2.0,845.0,2.0,12.0
2072,1.0,1.0,846.0,8.0,6.0
3461,2.0,0.0,849.0,10.0,12.0
2882,2.0,0.0,854.0,1.0,6.0
3221,2.0,0.0,840.0,7.0,4.0
2921,2.0,0.0,852.0,2.0,2.0
3579,1.0,0.0,849.0,8.0,3.0
3706,2.0,0.0,846.0,3.0,1.0
3052,3.0,0.0,853.0,3.0,7.0
2088,1.0,0.0,851.0,1.0,4.0
3571,2.0,0.0,1861.0,14.0,4.0
3024,0.0,1.0,848.0,3.0,11.0
3855,0.0,2.0,850.0,9.0,3.0
2450,2.0,0.0,854.0,0.0,6.0
3635,1.0,0.0,854.0,2.0,4.0
2751,2.0,0.0,1860.0,6.0,2.0
2789,3.0,0.0,849.0,6.0,4.0
2037,2.0,1.0,854.0,4.0,5.0
3995,0.0,0.0,848.0,5.0,1.0
2477,0.0,2.0,849.0,0.0,2.0
3962,1.0,0.0,847.0,8.0,6.0
2298,2.0,0.0,851.0,1.0,4.0
3142,0.0,0.0,850.0,7.0,2.0
3008,0.0,2.0,846.0,2.0,1.0
3961,2.0,0.0,849.0,4.0,1.0
3756,1.0,1.0,846.0,5.0,1.0
2301,2.0,0.0,850.0,1.0,1.0
3204,1.0,0.0,842.0,2.0,2.0
3643,4.0,0.0,860.0,0.0,2.0
2364,2.0,0.0,847.0,1.0,1.0
3680,1.0,1.0,848.0,10.0,7.0
2352,0.0,0.0,854.0,6.0,4.0
2247,2.0,0.0,849.0,6.0,4.0
2471,3.0,0.0,853.0,4.0,10.0
3884,1.0,1.0,850.0,1.0,2.0
2563,3.0,0.0,2866.0,6.0,5.0
2925,2.0,0.0,855.0,6.0,2.0
3652,3.0,0.0,1862.0,2.0,5.0
3157,2.0,1.0,850.0,3.0,6.0
3072,1.0,2.0,847.0,1.0,2.0
2684,1.0,0.0,847.0,0.0,2.0
3543,2.0,0.0,848.0,7.0,11.0
2656,1.0,1.0,843.0,0.0,5.0
2597,3.0,0.0,1860.0,13.0,1.0
2899,3.0,0.0,1859.0,12.0,5.0
3666,2.0,0.0,848.0,1.0,1.0
2743,3.0,0.0,856.0,0.0,8.0
3738,2.0,0.0,850.0,4.0,11.0
3748,0.0,0.0,843.0,2.0,3.0
3553,2.0,0.0,1862.0,2.0,2.0
3343,2.0,0.0,849.0,0.0,3.0
3742,1.0,0.0,842.0,2.0,1.0
3347,2.0,0.0,849.0,0.0,6.0
3485,2.0,1.0,849.0,4.0,8.0
3555,1.0,2.0,843.0,2.0,6.0
2404,2.0,0.0,853.0,1.0,5.0
3122,0.0,0.0,849.0,8.0,3.0
2935,2.0,0.0,851.0,1.0,1.0
3076,2.0,0.0,844.0,2.0,10.0
2371,3.0,0.0,1863.0,6.0,3.0
2454,1.0,1.0,844.0,5.0,4.0
2310,3.0,0.0,1858.0,6.0,3.0
2590,2.0,1.0,852.0,2.0,5.0
2842,3.0,0.0,1863.0,5.0,3.0
2155,2.0,1.0,851.0,4.0,8.0
3613,2.0,1.0,848.0,9.0,4.0
2595,0.0,0.0,852.0,10.0,6.0
2987,2.0,1.0,852.0,5.0,0.0
3294,1.0,0.0,848.0,6.0,4.0
3803,1.0,0.0,851.0,3.0,2.0
2373,2.0,0.0,859.0,3.0,2.0
2827,2.0,0.0,851.0,6.0,1.0
2572,1.0,1.0,847.0,2.0,4.0
3213,2.0,0.0,844.0,1.0,2.0
3653,1.0,1.0,849.0,1.0,5.0
2762,1.0,0.0,853.0,1.0,5.0
2112,2.0,0.0,847.0,3.0,2.0
3447,0.0,0.0,842.0,2.0,3.0
2215,1.0,0.0,854.0,5.0,1.0
3415,3.0,0.0,853.0,1.0,7.0
2840,0.0,0.0,852.0,5.0,4.0
2679,0.0,0.0,847.0,7.0,0.0
2453,1.0,0.0,850.0,1.0,6.0
3699,0.0,1.0,847.0,2.0,3.0
3798,2.0,1.0,846.0,4.0,4.0
2178,1.0,2.0,845.0,4.0,6.0
3599,1.0,2.0,850.0,1.0,0.0
3883,2.0,0.0,851.0,2.0,6.0
3533,0.0,0.0,851.0,0.0,4.0
2469,0.0,2.0,851.0,0.0,9.0
2895,1.0,0.0,842.0,3.0,1.0
2199,3.0,0.0,846.0,2.0,2.0
2333,0.0,2.0,846.0,3.0,1.0
2541,2.0,0.0,1857.0,1.0,8.0
2362,1.0,1.0,852.0,2.0,2.0
3710,0.0,1.0,851.0,4.0,4.0
3993,0.0,2.0,851.0,1.0,5.0
2101,2.0,0.0,843.0,2.0,8.0
2005,1.0,0.0,851.0,9.0,3.0
3126,1.0,0.0,846.0,8.0,8.0
3084,0.0,0.0,839.0,2.0,4.0
3548,1.0,0.0,844.0,6.0,5.0
3364,1.0,0.0,849.0,0.0,9.0
3789,1.0,1.0,845.0,1.0,2.0
2912,2.0,0.0,854.0,12.0,9.0
3452,2.0,1.0,1856.0,1.0,7.0
2134,4.0,0.0,1859.0,14.0,1.0
3513,0.0,1.0,845.0,1.0,11.0
2227,1.0,0.0,844.0,2.0,7.0
2266,2.0,1.0,850.0,4.0,3.0
2577,1.0,0.0,847.0,1.0,3.0
3306,1.0,0.0,845.0,2.0,6.0
3433,1.0,2.0,848.0,2.0,3.0
2192,3.0,0.0,851.0,9.0,7.0
2306,1.0,1.0,845.0,0.0,3.0
2322,2.0,0.0,850.0,2.0,7.0
2998,1.0,0.0,848.0,0.0,5.0
3437,0.0,2.0,849.0,1.0,8.0
2113,2.0,0.0,846.0,4.0,6.0
2950,2.0,0.0,844.0,4.0,1.0
3392,1.0,1.0,848.0,2.0,0.0
2066,0.0,0.0,852.0,1.0,4.0
2042,1.0,0.0,847.0,3.0,2.0
2721,2.0,0.0,1862.0,4.0,4.0
3590,1.0,0.0,843.0,4.0,5.0
2067,2.0,1.0,848.0,0.0,2.0
2853,4.0,0.0,852.0,2.0,4.0
3695,1.0,0.0,853.0,1.0,1.0
3765,2.0,0.0,843.0,3.0,3.0
3510,2.0,0.0,851.0,2.0,2.0
3823,0.0,1.0,847.0,2.0,5.0
2745,1.0,0.0,849.0,13.0,2.0
2714,4.0,0.0,2874.0,11.0,2.0
2970,0.0,1.0,845.0,2.0,8.0
3088,1.0,1.0,854.0,2.0,3.0
2318,2.0,1.0,849.0,10.0,5.0
3550,3.0,0.0,849.0,5.0,4.0
3746,1.0,0.0,849.0,11.0,2.0
3673,2.0,0.0,852.0,0.0,3.0
3616,0.0,0.0,848.0,1.0,7.0
3629,1.0,0.0,845.0,3.0,2.0
2526,1.0,0.0,851.0,1.0,4.0
2271,3.0,0.0,1861.0,5.0,8.0
3118,2.0,1.0,852.0,12.0,5.0
2855,2.0,1.0,853.0,6.0,1.0
