ix,goal_cost,intv_cost
3191,1.0,0.4823
2457,1.0,0.4934
3859,1.0,0.28290000000000004
2166,1.0,1.1
2929,1.0,0.4827
2096,1.0,0.2821
3349,1.0,0.883
3383,1.0,0.3808
3810,1.0,0.7823
2694,1.0,0.7000000000000001
2915,1.0,0.3934
3278,1.0,0.5827
2498,1.0,0.7836000000000001
2002,1.0,0.9822000000000001
2069,1.0,0.9827
3952,1.0,1.0
3129,1.0,0.5830000000000001
3767,1.0,0.8834000000000001
3257,1.0,0.9820000000000001
2930,1.0,0.2824
3843,1.0,0.6838000000000001
2042,1.0,1.0834000000000001
2681,1.0,0.6817000000000001
3716,1.0,0.8919
2813,1.0,0.892
2659,1.0,0.7000000000000001
3121,1.0,0.8818
2186,1.0,0.6919000000000001
3690,1.0,0.8818
2547,1.0,0.6000000000000001
3945,1.0,0.8836
3892,1.0,0.7000000000000001
2187,1.0,0.9929
3912,1.0,0.4817
2564,1.0,0.48310000000000003
3037,1.0,0.6836
3499,1.0,0.5837
2412,1.0,0.7823
3503,1.0,0.8
3574,1.0,0.4
2601,1.0,0.6836
3345,1.0,0.38260000000000005
3208,1.0,0.7825000000000001
2178,1.0,0.9825
3430,1.0,0.6823
3924,1.0,0.8822000000000001
2629,1.0,0.9825
3597,1.0,0.7000000000000001
3626,1.0,0.5823
3796,1.0,0.38260000000000005
3879,1.0,0.6825
2369,1.0,0.1812
2673,1.0,0.4838
2225,1.0,0.7100000000000001
2116,1.0,0.7821
3683,1.0,0.4
3240,1.0,0.30000000000000004
2977,1.0,1.1827
3921,1.0,1.0
2414,1.0,1.0838
2894,1.0,0.7933
2831,1.0,0.5
2788,1.0,0.5832
2510,1.0,0.7822
2554,1.0,0.6831
2951,1.0,0.6829000000000001
2214,1.0,0.5937
3858,1.0,1.0
2966,1.0,1.1835
2180,1.0,0.48350000000000004
2963,1.0,0.7823
2471,1.0,0.7000000000000001
3963,1.0,0.5822
3382,1.0,0.9
2797,1.0,0.48360000000000003
2678,1.0,0.7822
3693,1.0,1.083
3189,1.0,0.7833
2253,1.0,1.0825
2413,1.0,0.9827
2268,1.0,0.8818
3425,1.0,0.5831000000000001
3444,1.0,0.8823000000000001
2481,1.0,0.7826000000000001
3893,1.0,0.4828
3717,1.0,0.4818
2210,1.0,0.8825000000000001
2705,1.0,0.882
2245,1.0,0.8823000000000001
2358,1.0,0.1811
3416,1.0,0.8836
3922,1.0,0.2831
3669,1.0,0.6816
2046,1.0,0.3824
3076,1.0,0.6000000000000001
2082,1.0,0.7825000000000001
3326,1.0,0.3839
3007,1.0,0.8821000000000001
2685,1.0,0.9826
2447,1.0,0.7828
3179,1.0,0.0818
3517,1.0,0.38370000000000004
3661,1.0,0.4828
3852,1.0,1.0833000000000002
2003,1.0,0.5835
3730,1.0,0.5829
2167,1.0,0.5
2062,1.0,0.9821000000000001
2880,1.0,0.91
3841,1.0,0.8832000000000001
2329,1.0,0.9824
3831,1.0,0.48300000000000004
3162,1.0,0.4823
2640,1.0,0.7828
3939,1.0,1.01
3731,1.0,0.6819000000000001
3936,1.0,0.48360000000000003
3608,1.0,0.8819
3026,1.0,0.48100000000000004
3525,1.0,1.1
2433,1.0,0.6836
2586,1.0,0.31
2753,1.0,0.7837000000000001
3314,1.0,0.7828
3550,1.0,1.01
2738,1.0,0.1928
2306,1.0,0.6837000000000001
3286,1.0,0.7826000000000001
3863,1.0,1.0832000000000002
3974,1.0,0.6833
2734,1.0,0.30000000000000004
2585,1.0,0.7000000000000001
3159,1.0,0.9837
2837,1.0,0.7000000000000001
2359,1.0,0.7828
3413,1.0,0.9927
3805,1.0,0.6825
2748,1.0,0.7000000000000001
3320,1.0,0.7838
3566,1.0,0.9
3488,1.0,0.8817
2395,1.0,0.5824
2278,1.0,0.08220000000000001
2518,1.0,1.1823000000000001
2718,1.0,0.1836
3502,1.0,0.08310000000000001
2937,1.0,0.6821
2146,1.0,0.91
3709,1.0,0.8
2524,1.0,0.9822000000000001
3376,1.0,0.48340000000000005
3058,1.0,0.9
3531,1.0,1.081
2721,1.0,1.1
2808,1.0,0.8
2294,1.0,0.48150000000000004
2780,1.0,0.6834
2508,1.0,0.6829000000000001
2671,1.0,0.8829
2139,1.0,0.8835000000000001
3659,1.0,0.4
3125,1.0,0.6821
2740,1.0,0.9
3627,1.0,0.3934
3463,1.0,0.9936
3033,1.0,0.7822
2952,1.0,0.7826000000000001
2933,1.0,0.51
2309,1.0,0.9828000000000001
2884,1.0,0.8825000000000001
3823,1.0,0.8
2598,1.0,0.4822
2890,1.0,0.0818
2940,1.0,0.7923
2826,1.0,0.9836
2955,1.0,1.0828
2265,1.0,0.8
2066,1.0,0.1831
3199,1.0,1.0824
3055,1.0,0.3839
2979,1.0,0.881
2706,1.0,0.6831
2472,1.0,0.6824
2926,1.0,1.0815000000000001
2646,1.0,1.01
3011,1.0,0.5935
3107,1.0,0.7842
2529,1.0,0.2823
2805,1.0,0.8822000000000001
2400,1.0,0.7829
2782,1.0,0.08030000000000001
2040,1.0,0.4923
3593,1.0,0.8836
3395,1.0,0.3839
3492,1.0,0.18230000000000002
2632,1.0,0.38360000000000005
2476,1.0,0.18180000000000002
2994,1.0,0.6829000000000001
2591,1.0,0.7829
3258,1.0,0.7823
