,h_post,h_post_individualized
3026,1.0,1.0
3754,1.0,1.0
2858,1.0,1.0
2359,0.9874434047690915,1.0
2928,0.9874434047690915,1.0
3798,0.9874434047690915,1.0
2040,0.9874434047690915,1.0
2357,0.9874434047690915,1.0
2015,0.9874434047690915,1.0
3916,0.9874434047690915,1.0
2336,0.9874434047690915,1.0
3050,1.0,1.0
2562,0.9874434047690915,1.0
2368,0.9431605442017723,1.0
3384,0.9874434047690915,1.0
3853,0.9874434047690915,1.0
2222,1.0,1.0
2094,1.0,1.0
2661,1.0,1.0
3784,1.0,1.0
2148,0.9431605442017723,1.0
3866,0.9874434047690915,1.0
3847,0.9874434047690915,1.0
3421,0.9431605442017723,1.0
2564,0.9874434047690915,1.0
2974,1.0,1.0
3038,0.9874434047690915,1.0
2260,0.9874434047690915,1.0
2480,0.9431605442017723,1.0
3452,0.9431605442017723,1.0
3247,0.9431605442017723,1.0
3219,0.9874434047690915,1.0
2867,0.9874434047690915,1.0
3586,1.0,1.0
3905,0.9874434047690915,1.0
3803,0.9874434047690915,1.0
3841,0.9874434047690915,1.0
2066,1.0,1.0
3236,1.0,1.0
3204,1.0,1.0
3857,0.9431605442017723,1.0
3702,1.0,1.0
2481,0.9874434047690915,1.0
3082,0.7852300726296921,0.973457396030426
2968,0.9431605442017723,1.0
2762,0.9874434047690915,1.0
3910,0.9874434047690915,1.0
3527,0.0073211691054047056,0.0
2308,1.0,1.0
2617,1.0,1.0
3186,0.9874434047690915,1.0
2436,1.0,1.0
2712,0.9874434047690915,1.0
3257,1.0,1.0
2546,0.9874434047690915,1.0
3486,0.9874434047690915,1.0
2575,0.0073211691054047056,0.0
2490,0.9431605442017723,1.0
2502,1.0,1.0
2241,0.9874434047690915,1.0
2834,1.0,1.0
2824,0.9874434047690915,1.0
2632,0.9874434047690915,1.0
2651,0.9874434047690915,1.0
2190,0.9874434047690915,1.0
3280,0.9431605442017723,1.0
3234,0.9431605442017723,1.0
2627,0.9431605442017723,1.0
2444,0.9874434047690915,1.0
3805,1.0,1.0
2874,0.9874434047690915,1.0
3913,0.9874434047690915,1.0
2962,0.9431605442017723,1.0
2131,0.9874434047690915,1.0
2388,0.9874434047690915,1.0
3153,1.0,1.0
3966,0.9874434047690915,1.0
2600,0.9874434047690915,1.0
2311,1.0,1.0
3233,1.0,1.0
3985,0.9874434047690915,1.0
2141,0.9431605442017723,1.0
2570,0.9431605442017723,1.0
3332,1.0,1.0
3670,1.0,1.0
3885,0.9431605442017723,1.0
2259,1.0,1.0
3594,0.9431605442017723,1.0
2711,0.9874434047690915,1.0
2191,0.9431605442017723,1.0
2985,0.9874434047690915,1.0
2987,0.9874434047690915,1.0
2921,0.9431605442017723,1.0
2270,0.9431605442017723,1.0
2418,1.0,1.0
3766,0.9431605442017723,1.0
2861,0.9874434047690915,1.0
2378,0.9874434047690915,1.0
2794,1.0,1.0
3515,0.9431605442017723,1.0
2842,1.0,1.0
3500,1.0,1.0
3078,0.9431605442017723,1.0
3129,1.0,1.0
3590,1.0,1.0
3429,0.9874434047690915,1.0
3019,0.9874434047690915,1.0
2103,0.9431605442017723,1.0
3164,1.0,1.0
2166,0.9874434047690915,1.0
2652,0.9874434047690915,1.0
2809,1.0,1.0
2173,1.0,1.0
2675,1.0,1.0
2899,0.9874434047690915,1.0
2402,1.0,1.0
3742,0.9874434047690915,1.0
