,years_experience,degree,nr_commits,nr_languages,nr_stars
2368,2.0,0.0,848.0,3.0,10.0
2321,2.0,0.0,850.0,1.0,10.0
3373,0.0,1.0,850.0,9.0,11.0
2914,1.0,0.0,853.0,8.0,10.0
3054,2.0,0.0,851.0,10.0,10.0
2338,3.0,0.0,1858.0,2.0,14.0
2469,2.0,0.0,850.0,2.0,10.0
2735,2.0,0.0,1861.0,3.0,10.0
3828,1.0,0.0,847.0,0.0,10.0
3663,0.0,0.0,850.0,3.0,10.0
2590,1.0,1.0,847.0,2.0,10.0
3435,2.0,0.0,843.0,4.0,10.0
2129,0.0,0.0,844.0,0.0,10.0
3693,3.0,0.0,1864.0,5.0,10.0
3537,3.0,0.0,1862.0,4.0,10.0
2522,2.0,1.0,847.0,1.0,10.0
3495,2.0,1.0,850.0,4.0,10.0
2669,3.0,0.0,852.0,7.0,10.0
3454,1.0,0.0,844.0,3.0,10.0
3719,2.0,0.0,854.0,3.0,10.0
3253,2.0,0.0,849.0,1.0,10.0
2087,0.0,2.0,844.0,3.0,10.0
3261,1.0,1.0,847.0,6.0,10.0
2266,1.0,1.0,847.0,3.0,10.0
3623,1.0,0.0,847.0,3.0,10.0
2647,2.0,0.0,1854.0,3.0,10.0
3985,0.0,2.0,845.0,1.0,10.0
3885,0.0,2.0,841.0,1.0,10.0
3207,1.0,0.0,849.0,7.0,10.0
3130,3.0,0.0,846.0,1.0,10.0
2594,3.0,0.0,1857.0,13.0,10.0
2467,2.0,0.0,850.0,3.0,10.0
3755,2.0,0.0,854.0,0.0,10.0
3722,2.0,1.0,849.0,4.0,10.0
3097,1.0,0.0,844.0,2.0,10.0
3974,0.0,1.0,851.0,13.0,10.0
3644,3.0,0.0,848.0,4.0,10.0
2548,1.0,2.0,848.0,1.0,10.0
3857,2.0,1.0,853.0,1.0,10.0
2640,3.0,1.0,1856.0,4.0,10.0
2730,3.0,0.0,855.0,5.0,10.0
2555,0.0,0.0,847.0,1.0,10.0
2092,1.0,0.0,850.0,20.0,10.0
3636,1.0,1.0,847.0,0.0,10.0
