,years_experience,degree
3675,1.0,1.0
2607,1.0,1.0
3369,1.0,1.0
3267,0.0,1.0
3441,0.0,1.0
2289,1.0,1.0
2859,0.0,2.0
3024,1.0,0.0
3778,1.0,1.0
2986,3.0,0.0
2330,1.0,1.0
2760,1.0,1.0
2527,2.0,1.0
3791,0.0,1.0
3554,2.0,1.0
3729,0.0,1.0
2355,0.0,3.0
2960,0.0,2.0
2372,1.0,1.0
3814,0.0,1.0
2415,0.0,1.0
2266,1.0,3.0
2079,0.0,1.0
3632,1.0,2.0
2821,1.0,1.0
3739,0.0,3.0
3150,1.0,1.0
2392,1.0,1.0
2176,1.0,0.0
2812,2.0,1.0
3486,1.0,3.0
3222,0.0,3.0
3041,0.0,1.0
2349,1.0,0.0
2649,1.0,1.0
2272,1.0,2.0
2957,0.0,1.0
3282,0.0,1.0
3524,1.0,1.0
3577,0.0,3.0
3451,0.0,3.0
2006,0.0,1.0
3283,2.0,0.0
2885,1.0,0.0
3586,1.0,1.0
3410,0.0,2.0
3559,0.0,2.0
2370,0.0,2.0
3949,2.0,1.0
3049,0.0,3.0
3903,0.0,1.0
3990,0.0,3.0
3174,1.0,1.0
2168,1.0,0.0
3910,0.0,1.0
3934,1.0,1.0
2686,1.0,1.0
2741,0.0,2.0
3032,1.0,0.0
3459,0.0,3.0
3383,0.0,1.0
3622,0.0,2.0
3670,0.0,1.0
2683,0.0,1.0
2407,1.0,1.0
3822,3.0,1.0
3230,4.0,0.0
2733,0.0,3.0
3526,1.0,1.0
2417,1.0,2.0
3249,0.0,2.0
3120,0.0,2.0
2655,0.0,3.0
2594,0.0,1.0
2257,1.0,2.0
3820,2.0,1.0
2120,1.0,1.0
2777,0.0,1.0
3115,0.0,1.0
3438,0.0,2.0
2953,0.0,1.0
3704,0.0,1.0
2309,0.0,3.0
3962,2.0,2.0
2976,2.0,0.0
2866,0.0,1.0
3966,2.0,0.0
3078,0.0,1.0
2925,0.0,3.0
2062,0.0,2.0
2234,1.0,0.0
3735,0.0,2.0
2008,0.0,2.0
3567,1.0,1.0
2467,1.0,1.0
3107,1.0,3.0
3858,1.0,1.0
3374,1.0,3.0
2166,0.0,2.0
2097,2.0,0.0
3692,0.0,2.0
3478,0.0,2.0
2914,0.0,1.0
2826,0.0,1.0
3503,0.0,2.0
2861,0.0,1.0
2987,0.0,2.0
3658,3.0,0.0
2439,2.0,1.0
3256,2.0,1.0
3896,1.0,3.0
3059,0.0,1.0
3475,1.0,1.0
2387,0.0,1.0
2427,1.0,1.0
2444,0.0,1.0
3905,0.0,1.0
3264,0.0,1.0
3439,0.0,3.0
3885,0.0,1.0
3038,0.0,2.0
3998,2.0,2.0
2276,1.0,0.0
2682,1.0,3.0
2323,0.0,1.0
3724,2.0,1.0
2354,1.0,1.0
2635,0.0,1.0
2369,0.0,2.0
2206,0.0,3.0
2544,0.0,2.0
2917,2.0,0.0
3634,3.0,1.0
3045,0.0,1.0
3099,1.0,1.0
2656,3.0,0.0
3997,0.0,1.0
2425,0.0,3.0
3101,2.0,1.0
3830,0.0,1.0
3689,0.0,1.0
2876,0.0,2.0
3126,1.0,0.0
3065,0.0,1.0
2160,0.0,3.0
2051,0.0,1.0
3240,1.0,2.0
3016,0.0,1.0
2644,1.0,1.0
3988,0.0,3.0
3713,0.0,1.0
3093,0.0,3.0
3861,0.0,3.0
3231,0.0,3.0
2696,2.0,1.0
3968,2.0,2.0
3135,1.0,0.0
3185,1.0,1.0
3397,1.0,3.0
2406,1.0,1.0
3676,0.0,1.0
2321,0.0,3.0
3208,0.0,1.0
3138,0.0,2.0
3594,1.0,1.0
2731,1.0,1.0
3321,0.0,2.0
3375,0.0,2.0
2623,1.0,1.0
3371,2.0,0.0
2000,1.0,1.0
3428,1.0,3.0
2721,1.0,2.0
3646,1.0,1.0
2327,0.0,1.0
2937,0.0,1.0
3307,2.0,1.0
3206,1.0,0.0
2065,1.0,1.0
2573,1.0,3.0
2520,2.0,2.0
2267,0.0,2.0
3445,1.0,0.0
3091,1.0,2.0
2450,0.0,1.0
3073,3.0,1.0
3964,1.0,2.0
2245,0.0,3.0
3615,0.0,2.0
3117,0.0,3.0
3534,3.0,0.0
3582,0.0,1.0
3216,0.0,1.0
2377,0.0,1.0
3212,1.0,2.0
2144,3.0,0.0
2107,1.0,3.0
3294,0.0,1.0
2567,0.0,3.0
3125,3.0,1.0
