,y_hat
2514,False
3712,False
3821,False
2666,False
3100,False
2884,False
2980,False
3171,False
2294,False
2361,False
2203,False
3540,False
2516,False
3188,False
3561,False
2381,False
3313,False
3395,False
2683,False
3354,False
3752,False
2229,False
2305,False
3972,False
2376,False
3652,False
2645,False
2184,False
2438,False
2287,False
3753,False
2871,False
3491,False
3307,False
3971,False
3921,False
3268,False
3803,False
3111,False
3472,False
2892,False
3203,False
3191,False
3773,False
3657,False
2356,False
3585,False
3150,False
3146,False
2054,False
2239,False
3379,False
2502,False
2907,False
3755,False
2779,False
3642,False
3207,False
2931,False
3552,False
3800,False
2178,False
3443,False
2679,False
3358,False
3143,False
3316,False
2106,False
3819,False
2494,False
3270,False
3838,False
2799,False
2541,False
2479,False
2393,False
3320,False
2865,False
2330,False
2156,False
2142,False
3825,False
3458,False
3266,False
3500,False
3904,False
3257,False
3874,False
2003,False
2027,False
2405,False
3361,False
3553,False
2101,False
2053,False
2802,False
2961,False
3128,False
3745,False
2586,False
3881,False
2108,False
3076,False
3607,False
3786,False
2813,False
3793,False
3330,False
3487,False
3224,False
3219,False
3264,False
2697,False
3681,False
3036,False
3792,False
2489,False
3883,False
2225,False
3033,False
3860,False
2375,False
3748,False
2632,False
3715,False
3539,False
2640,False
3290,False
3763,False
2598,False
3521,False
3359,False
3165,False
3097,False
2741,False
3371,False
3209,False
2274,False
2824,False
3228,False
2691,False
2740,False
2289,False
2626,False
3907,False
3086,False
3721,False
2062,False
2770,False
3788,False
3758,False
3560,False
3925,False
2206,False
3114,False
3565,False
2025,False
3742,False
2587,False
2470,False
3389,False
3573,False
3741,False
2262,False
2308,False
2628,False
3337,False
3486,False
3877,False
3505,False
3687,False
3012,False
3451,False
2390,False
2919,False
2923,False
2719,False
2263,False
3512,False
2826,False
2364,False
3532,False
2711,False
3625,False
2712,False
2591,False
2599,False
2934,False
2888,False
2883,False
3926,False
3237,False
3943,False
3468,False
3129,False
3092,False
3089,False
3304,False
3931,False
2207,False
