ix,goal_cost,intv_cost
2214,0.99,15.0
3859,0.968,5.0
2745,0.962,5.0
3881,0.9854019421398699,0.0
3574,0.948,10.0
2222,0.95,15.0
3543,0.95,20.0
2953,0.946,10.0
3655,0.994,15.0
3967,0.95,20.0
2300,0.988,15.0
2964,0.98,10.0
2544,0.996,5.0
3337,0.992,5.0
3066,0.996,15.0
3002,0.962,20.0
3420,0.99,10.0
2314,0.97,10.0
2566,0.954,10.0
3264,0.944,5.0
3977,0.974,15.0
2569,0.994,20.0
2295,0.96,10.0
2035,0.916,5.0
3368,0.968,5.0
3715,0.99,5.0
3164,0.97,15.0
3158,0.946,5.0
2880,0.972,5.0
2264,0.996,20.0
3540,0.982,10.0
2067,0.998,15.0
3952,0.942,5.0
2524,0.994,15.0
2531,0.984,15.0
2091,0.988,10.0
3974,0.934,15.0
3359,0.944,15.0
3219,0.97,5.0
2303,0.908,5.0
3585,0.982,10.0
2554,0.996,5.0
3738,0.96,5.0
2385,0.95,20.0
2743,0.938,5.0
3100,0.966,15.0
3257,0.958,20.0
2360,0.988,10.0
3955,0.996,15.0
2435,0.99,15.0
3304,1.0,15.0
3361,0.992,15.0
3186,0.996,20.0
3609,0.996,15.0
3439,0.96,10.0
2123,0.99,10.0
3242,0.952,5.0
3275,0.946,10.0
3395,0.996,10.0
2320,0.97,10.0
2072,0.966,5.0
2342,0.96,15.0
2019,0.956,10.0
2079,0.984,15.0
2683,0.996,10.0
3286,1.0,10.0
2395,0.944,10.0
3049,0.98,10.0
3586,0.954,10.0
3932,0.956,5.0
2604,0.954,15.0
2588,0.93,10.0
3148,0.99,10.0
3320,0.998,5.0
3209,0.996,10.0
2511,0.994,10.0
2262,0.998,10.0
2958,0.952,5.0
3138,0.964,5.0
3615,0.962,20.0
2463,0.998,15.0
2258,0.994,15.0
3528,0.946,5.0
3755,0.958,10.0
3307,0.996,15.0
3616,0.964,10.0
2472,0.954,20.0
3874,0.994,15.0
3454,0.95,10.0
2848,0.954,5.0
3249,0.96,5.0
2874,0.99,10.0
3445,0.988,10.0
3569,0.994,10.0
3162,0.958,5.0
3931,0.996,15.0
2481,0.94,5.0
3154,0.992,20.0
3390,0.958,5.0
3716,0.94,10.0
3803,0.962,10.0
3979,0.93,5.0
3378,0.94,10.0
3777,0.994,15.0
3667,0.992,10.0
2635,0.954,5.0
3835,0.994,15.0
2962,0.904,10.0
2632,0.936,5.0
3115,0.998,15.0
2575,0.98,5.0
2551,0.976,10.0
2903,0.956,5.0
3721,0.952,10.0
3327,0.982,10.0
3237,0.992,15.0
3468,0.972,15.0
3741,0.942,10.0
3137,0.96,5.0
3056,0.998,15.0
3024,0.948,10.0
3220,0.94,15.0
3203,0.944,10.0
2305,0.994,5.0
2354,0.976,10.0
3660,0.992,15.0
2176,0.994,10.0
2722,0.988,10.0
2306,0.988,15.0
2209,0.964,5.0
3774,0.988,15.0
2558,0.978,10.0
3554,0.974,5.0
2657,0.936,15.0
3934,0.99,20.0
2949,0.95,20.0
3642,0.992,15.0
2851,0.964,15.0
3173,0.992,20.0
2286,1.0,5.0
2933,0.946,20.0
2598,1.0,5.0
2679,0.982,10.0
2540,0.988,15.0
3097,0.988,5.0
2279,0.996,15.0
2979,0.954,5.0
3122,0.95,5.0
2594,0.994,15.0
3943,0.952,10.0
3484,0.988,15.0
3838,0.962,10.0
3155,0.942,5.0
3036,0.996,10.0
3243,0.944,10.0
2811,0.956,5.0
3584,0.946,5.0
2467,0.998,10.0
3490,0.942,15.0
2715,0.994,15.0
3072,0.988,10.0
3907,0.946,5.0
3071,0.986,10.0
3112,0.96,10.0
3758,0.956,10.0
3829,0.95,10.0
2622,0.954,5.0
3188,0.99,10.0
3180,0.994,15.0
3347,0.976,10.0
3587,0.954,5.0
3225,0.974,10.0
3491,0.95,5.0
3406,0.946,5.0
2591,0.972,5.0
3628,0.958,10.0
3773,0.946,10.0
2225,0.996,15.0
2845,0.994,15.0
3354,0.96,5.0
3676,0.9918366716672838,0.0
2907,0.996,20.0
3984,0.9962514738729709,0.0
2697,0.994,10.0
3503,0.994,20.0
2106,0.946,10.0
3207,0.958,5.0
2104,0.978,5.0
3711,0.996,10.0
2739,0.996,15.0
2923,0.964,10.0
2122,0.934,5.0
3371,0.996,15.0
3358,0.994,20.0
2024,0.994,20.0
2908,0.972,10.0
3573,0.95,5.0
3254,0.984,20.0
2380,0.946,5.0
3028,0.958,5.0
