,y_hat
14752,False
15216,False
16313,False
11414,False
12099,False
12071,False
19983,False
11141,False
10896,False
12556,False
17877,False
19481,False
15524,False
17617,False
12824,False
16249,False
12376,False
12094,False
15340,False
15572,False
18779,False
13641,False
19044,False
10771,False
10094,False
19889,False
15324,False
17187,False
11924,False
13596,False
16453,False
13785,False
12748,False
15422,False
14954,False
14937,False
13274,False
15241,False
13932,False
10791,False
14624,False
14471,False
18404,False
13287,False
10773,False
13134,False
14335,False
16023,False
16100,False
12105,False
19266,False
12154,False
18943,False
12020,False
19034,False
19739,False
18980,False
11201,False
11016,False
12869,False
18851,False
10366,False
10981,False
15330,False
16454,False
17283,False
19545,False
16383,False
19026,False
17718,False
14210,False
18501,False
10474,False
15571,False
15914,False
15529,False
17795,False
18942,False
17493,False
17695,False
18284,False
12784,False
14823,False
15467,False
13950,False
19594,False
15706,False
14976,False
10728,False
15558,False
11868,False
13984,False
11848,False
19722,False
16566,False
11667,False
14692,False
19367,False
12729,False
10751,False
15383,False
17814,False
18738,False
18414,False
12454,False
19091,False
13194,False
14673,False
11660,False
14979,False
10028,False
16064,False
18495,False
14487,False
18979,False
19265,False
17856,False
15646,False
14862,False
12779,False
12232,False
12580,False
18337,False
18520,False
11278,False
19542,False
18733,False
15131,False
10363,False
14969,False
17790,False
10920,False
13987,False
12975,False
19457,False
12912,False
13835,False
17777,False
16131,False
12464,False
18323,False
19951,False
17870,False
10732,False
15776,False
10208,False
12290,False
15462,False
18440,False
17301,False
15427,False
13707,False
18749,False
17989,False
18106,False
13612,False
15709,False
15086,False
18417,False
17959,False
14474,False
14992,False
10069,False
11710,False
14148,False
19085,False
12203,False
17295,False
10242,False
16628,False
12951,False
11897,False
18528,False
17714,False
14409,False
10102,False
17223,False
16671,False
18617,False
14160,False
19004,False
14108,False
15321,False
11699,False
15856,False
18329,False
10688,False
10962,False
16809,False
11904,False
18242,False
11363,False
18164,False
18759,False
17767,False
12378,False
18410,False
13676,False
15456,False
10280,False
