ix,goal_cost,intv_cost
18886,0.874,1.5
13800,0.9559999704360962,1.0
15985,0.9639999866485596,1.0
16988,0.9279999732971191,1.0
17150,0.8700000047683716,0.5
13887,0.92,2.0
14006,0.9440000057220459,2.0
12477,0.852,0.4
18784,0.87,2.9
10649,0.856,0.7
12724,0.8679999709129333,1.0
19188,0.8560000061988831,1.0
13380,0.946,2.0
10147,0.864,2.6
11043,0.874,0.9
13923,0.914,1.0
12644,0.854,0.6
15088,0.9039999842643738,1.0
17441,0.856,1.2000000000000002
12767,0.862,2.5
10368,0.864,2.3
13706,0.856,0.7
19529,0.8999999761581421,1.0
16739,0.872,2.6
16382,0.9419999718666077,2.0
10653,0.9139999747276306,1.0
19086,0.87,1.8
15914,0.9179999828338623,1.0
16096,0.8700000047683716,0.5
13332,0.896,1.0
14625,0.858,0.2
10567,0.8799999952316284,2.0
11610,0.933706284763891,0.0
10681,0.854,0.1
15733,0.94,2.0
16839,0.9279999732971191,1.0
15414,0.9459999799728394,1.0
12087,0.874,2.0
19627,0.9319999814033508,1.0
19747,0.886,2.0
12235,0.9539999961853027,2.0
11703,0.854,1.4000000000000001
17964,0.856,0.6
16718,0.8700000047683716,0.5
12045,0.8859999775886536,1.0
14048,0.8840000033378601,0.5
19176,0.874,1.2000000000000002
17644,0.972000002861023,2.0
13577,0.862,0.7
11352,0.916,1.1
19522,0.9200000166893005,1.0
17813,0.926,2.1
16846,0.8539999723434448,1.0
16599,0.9200000166893005,1.0
13250,0.9359999895095825,1.0
19820,0.86,2.0
14246,0.9399999976158142,1.0
12928,0.9599999785423279,1.0
18957,0.904,1.0
13176,0.9399999976158142,2.0
15993,0.9300000071525574,1.0
16117,0.8579999804496765,1.0
12597,0.9440000057220459,2.0
14731,0.8960000276565552,2.0
16492,0.864,1.6
17342,0.944,1.1
12875,0.856,2.0
14824,0.854,1.5
11774,0.858,1.1
13615,0.9240000247955322,1.0
11271,0.858,0.7999999999999999
15455,0.8659999966621399,1.0
10207,0.921999990940094,2.0
15227,0.956,0.1
12820,0.9535127465459586,0.0
17658,0.9179999828338623,1.0
13210,0.9419999718666077,1.0
14641,0.854,0.2
19223,0.9391683616153037,0.0
13255,0.9580000042915344,2.0
12173,0.9380000233650208,1.0
14709,0.88,1.2
11881,0.9300000071525574,1.0
17794,0.9739999771118164,2.0
17077,0.858,1.0
18218,0.904,1.8
13298,0.86,1.4000000000000001
19852,0.9359999895095825,1.0
11722,0.862,1.1
12110,0.9139999747276306,1.0
15934,0.871999979019165,3.0
11320,0.9440000057220459,1.0
12738,0.9179999828338623,1.0
16136,0.862,1.3
13841,0.942,0.1
15732,0.878,1.6
18341,0.9660000205039978,2.0
13741,0.858,2.4
17034,0.8693167039149665,0.0
10487,0.8740000128746033,1.0
16967,0.86,0.8
19687,0.8579999804496765,1.0
14612,0.9440000057220459,1.0
12698,0.896,1.0
11422,0.926,1.0
15391,0.8960000276565552,1.0
16776,0.8799999952316284,1.0
16125,0.858,0.4
18176,0.8740000128746033,0.5
13306,0.9240000247955322,1.0
11876,0.87,0.30000000000000004
15333,0.852,0.30000000000000004
15361,0.866,1.3
11033,0.868,0.1
17397,0.876,1.4
19903,0.8500000238418579,1.0
13778,0.86,0.6
11336,0.86,0.7
17025,0.9459999799728394,2.0
19443,0.9340000152587891,1.0
12655,0.864,1.6
11182,0.9480000138282776,1.0
19924,0.862,1.1
15098,0.864,1.0
14291,0.9559999704360962,2.0
12088,0.9319999814033508,1.0
13054,0.9679999947547913,2.0
10572,0.9200000166893005,2.0
14056,0.8899999856948853,2.0
13999,0.858,2.0
13918,0.896,0.1
14878,0.856,0.7
14389,0.8759999871253967,1.0
15680,0.8820000290870667,1.0
16018,0.9279999732971191,2.0
10745,0.89,1.4
12761,0.9639999866485596,1.0
13890,0.984,0.1
18611,0.852,1.1
11920,0.9559999704360962,1.0
14707,0.9639999866485596,1.0
16956,0.8659999966621399,1.5
13309,0.8980000019073486,1.0
19021,0.964,4.8999999999999995
17863,0.882,1.2
16481,0.9120000004768372,1.0
18559,0.9200000166893005,1.0
12152,0.926,1.1
10810,0.874,0.8
11135,0.8700000047683716,1.0
14718,0.9319999814033508,2.0
19293,0.9539999961853027,2.0
13404,0.9419999718666077,1.0
13480,0.9,1.0
17775,0.9259999990463257,1.0
16341,0.8539999723434448,0.5
13415,0.9480000138282776,1.0
13987,0.864,2.0
13287,0.9139999747276306,1.0
14239,0.854,1.5
18325,0.856,1.3
15833,0.8700000047683716,2.0
14362,0.924,1.0
17973,0.955344430835121,0.0
18878,0.8759999871253967,2.0
15698,0.93,1.0
13784,0.934,1.0
13199,0.896,1.0
12130,0.864,1.4
11386,0.894,1.7
11025,0.968,1.4000000000000001
17242,0.898,1.0
15793,0.888,2.0
10756,0.9459999799728394,1.0
17008,0.854,1.2
11546,0.906000018119812,1.0
18292,0.9539999961853027,2.0
13981,0.87,0.30000000000000004
19199,0.8659999966621399,1.0
11490,0.864,1.8
16054,0.9539999961853027,2.0
19731,0.949999988079071,2.0
14720,0.949999988079071,1.0
18736,0.9998917386800581,0.0
16972,0.87,0.5
11319,0.8899999856948853,1.5
17532,0.949999988079071,1.0
13619,0.862,0.3
12822,0.8939999938011169,1.0
12823,0.878000020980835,1.0
13015,0.878,1.2
15252,0.858,2.4
19873,0.8725225979881964,0.0
18290,0.888,1.0
15135,0.871999979019165,1.0
17676,0.8859999775886536,1.0
13957,0.892,1.0
15961,0.86,2.0
17335,0.852,1.7
13140,0.921999990940094,1.0
