ix,goal_cost,intv_cost
16135,1.0,1.0
14225,1.0,0.2
12074,1.0,1.1
11752,1.0,1.0
16361,1.0,1.0
15138,1.0,1.0
13180,1.0,1.0
17252,1.0,1.0
19732,1.0,1.0
10255,1.0,0.4
10054,1.0,1.1
13917,1.0,1.0
17164,1.0,0.2
13297,1.0,1.6
15270,1.0,1.0
12301,1.0,1.0
15105,1.0,1.0
17997,1.0,1.0
18925,1.0,1.0
18970,1.0,1.0
11562,1.0,1.0
11577,1.0,1.0
17982,1.0,1.0
15864,1.0,0.1
19455,1.0,1.2
13286,1.0,1.0
15600,1.0,1.0
17608,1.0,1.0
18957,1.0,1.0
16677,1.0,1.0
11303,1.0,1.0
16154,1.0,1.0
17841,1.0,1.0
14806,1.0,1.0
12549,1.0,1.0
15822,1.0,1.0
10412,1.0,1.1
17584,1.0,1.9
18563,1.0,1.0
16504,1.0,1.0
12963,1.0,1.0
11309,1.0,1.0
11620,1.0,1.0
10915,1.0,1.0
12104,1.0,1.0
15046,1.0,1.0
14617,1.0,1.0
10357,1.0,1.1
13260,1.0,1.0
12631,1.0,1.0
12645,1.0,1.0
19720,1.0,1.0
16762,1.0,1.0
10013,1.0,1.1
11207,1.0,1.0
17696,1.0,1.1
10195,1.0,1.1
11682,1.0,1.0
14676,1.0,2.0
15355,1.0,1.0
16482,1.0,1.0
18858,1.0,1.0
13890,1.0,0.8
13448,1.0,1.0
16814,1.0,1.1
13347,1.0,1.0
18296,1.0,1.0
11549,1.0,1.1
14011,1.0,1.0
11168,1.0,1.0
13281,1.0,1.0
19146,1.0,1.0
15596,1.0,1.1
17174,1.0,1.0
10239,1.0,1.0
18912,1.0,1.1
18997,1.0,1.0
18342,1.0,1.0
19302,1.0,0.2
16858,1.0,1.6
14343,1.0,1.0
16397,1.0,1.1
13995,1.0,1.0
12161,1.0,1.0
18920,1.0,1.0
15362,1.0,1.1
13936,1.0,1.1
10425,1.0,1.1
18124,1.0,1.1
19857,1.0,0.5
17904,1.0,1.1
16481,1.0,1.0
13441,1.0,1.0
13145,1.0,1.0
19934,1.0,1.0
17531,1.0,1.0
10334,1.0,1.0
19259,1.0,1.1
11762,1.0,1.0
15237,1.0,1.0
18022,1.0,1.0
11109,1.0,1.0
13554,1.0,1.0
18840,1.0,1.0
10924,1.0,1.0
15069,1.0,1.0
17338,1.0,1.0
18550,1.0,1.1
19889,1.0,1.0
10959,1.0,1.0
13881,1.0,1.0
18973,1.0,1.6
16011,1.0,1.0
18871,1.0,1.0
13898,1.0,1.0
18918,1.0,1.0
13574,1.0,1.0
10403,1.0,1.0
16725,1.0,1.0
13859,1.0,1.1
12893,1.0,1.0
16086,1.0,1.0
13863,1.0,1.3
19702,1.0,2.0
13388,1.0,1.0
10851,1.0,0.8
15810,1.0,1.0
17352,1.0,1.0
18208,1.0,1.3
15265,1.0,1.0
11545,1.0,1.0
16806,1.0,1.0
17124,1.0,1.0
16439,1.0,1.1
10741,1.0,2.0
14415,1.0,1.1
12843,1.0,1.0
18557,1.0,1.0
10056,1.0,1.1
15079,1.0,1.0
13860,1.0,0.3
13743,1.0,1.0
10666,1.0,1.0
16122,1.0,1.0
16851,1.0,1.1
14129,1.0,1.0
16311,1.0,1.2
11518,1.0,1.0
14621,1.0,1.0
19651,1.0,1.0
15110,1.0,1.0
12294,1.0,1.0
19104,1.0,1.0
13687,1.0,1.0
17537,1.0,1.0
15900,1.0,1.0
18511,1.0,0.9
13290,1.0,1.0
17213,1.0,1.0
16938,1.0,1.0
15158,1.0,1.0
17619,1.0,1.0
10419,1.0,1.0
15741,1.0,1.0
13077,1.0,1.0
10080,1.0,1.0
18241,1.0,1.0
17819,1.0,1.0
16747,1.0,1.0
12209,1.0,1.0
13653,1.0,1.5
18869,1.0,1.0
10103,1.0,1.0
19514,1.0,1.0
11455,1.0,1.0
15930,1.0,1.1
11035,1.0,1.1
11556,1.0,1.0
14902,1.0,1.0
17389,1.0,1.0
19673,1.0,1.0
18776,1.0,1.0
16951,1.0,1.0
17738,1.0,1.0
13001,1.0,1.0
19066,1.0,1.1
17070,1.0,1.0
12401,1.0,1.0
13159,1.0,1.0
16399,1.0,1.0
18423,1.0,1.0
17514,1.0,1.0
18956,1.0,1.0
19760,1.0,1.0
17948,1.0,1.0
15779,1.0,1.0
10133,1.0,1.0
17084,1.0,1.0
14922,1.0,0.1
19469,1.0,1.1
