,h_post,h_post_individualized
11267,0.9791781308245319,1.0
12439,0.9791781308245319,1.0
15866,1.0,1.0
14008,1.0,1.0
17329,1.0,1.0
19674,1.0,1.0
17514,1.0,1.0
19767,1.0,1.0
13545,0.006321922165647365,0.0
13359,1.0,1.0
10646,1.0,1.0
19931,0.0017145006808065688,0.0
13692,1.0,1.0
11684,1.0,1.0
11143,1.0,1.0
18702,1.0,1.0
10829,1.0,1.0
13476,0.9791781308245319,1.0
19428,0.0017145006808065688,0.0
11372,1.0,1.0
18056,1.0,1.0
14225,1.0,1.0
18280,1.0,1.0
14625,0.9791781308245319,1.0
17070,0.006321922165647365,0.0
17826,1.0,1.0
18371,1.0,1.0
14317,0.09698446050474502,0.0
10161,0.9791781308245319,1.0
11055,1.0,1.0
10396,1.0,1.0
17839,1.0,1.0
13221,0.9791781308245319,1.0
19079,1.0,1.0
15070,1.0,1.0
17453,0.9791781308245319,1.0
14337,0.9791781308245319,1.0
17856,1.0,1.0
19441,1.0,1.0
14274,0.9791781308245319,1.0
14582,0.9791781308245319,1.0
11903,0.9791781308245319,1.0
18048,1.0,1.0
11369,0.9791781308245319,1.0
16296,0.348675620488338,0.0
18103,0.9791781308245319,1.0
10203,0.9975928873443771,1.0
19871,1.0,1.0
19430,1.0,1.0
19572,1.0,1.0
13197,1.0,1.0
14765,1.0,1.0
12290,0.8017145006808066,1.0
16785,1.0,1.0
19287,1.0,1.0
13830,0.9791781308245319,1.0
12728,0.9791781308245319,1.0
15929,1.0,1.0
18355,0.006321922165647365,0.0
12408,1.0,1.0
13481,0.8017145006808066,1.0
19223,1.0,1.0
15239,1.0,1.0
17402,1.0,1.0
12852,1.0,1.0
19695,1.0,1.0
13675,1.0,1.0
10705,0.0017145006808065688,0.0
16380,1.0,1.0
15276,1.0,1.0
14528,0.9791781308245319,1.0
19643,0.9278537513128697,1.0
12153,0.035209555728390074,0.0
14498,0.2761625913292768,0.0
10621,1.0,1.0
14001,1.0,1.0
17851,0.0017145006808065688,0.0
15361,0.035209555728390074,0.0
13357,1.0,1.0
10135,1.0,1.0
14974,0.9791781308245319,1.0
14016,1.0,1.0
17969,1.0,1.0
10925,1.0,1.0
13022,1.0,1.0
17333,0.9791781308245319,1.0
14539,1.0,1.0
16248,0.9278537513128697,1.0
12108,1.0,1.0
13407,0.8334950550475835,1.0
12754,0.9791781308245319,1.0
12637,0.0017145006808065688,0.0
18159,0.9791781308245319,1.0
12608,1.0,1.0
15642,0.9791781308245319,1.0
16956,0.9791781308245319,1.0
17746,1.0,1.0
14466,0.9791781308245319,1.0
18457,1.0,1.0
15076,1.0,1.0
18736,1.0,1.0
19743,0.9791781308245319,1.0
19130,1.0,1.0
15283,1.0,1.0
13841,0.9791781308245319,1.0
19656,0.006321922165647365,0.0
13278,0.8334950550475835,1.0
11080,0.9975928873443771,1.0
15024,1.0,1.0
13847,1.0,1.0
13934,0.2761625913292768,0.0
17646,0.9975928873443771,1.0
18046,1.0,1.0
18425,1.0,1.0
15010,0.9975928873443771,1.0
17761,1.0,1.0
19035,1.0,1.0
16766,1.0,1.0
16420,1.0,1.0
12064,1.0,1.0
18460,0.9791781308245319,1.0
14242,0.9791781308245319,1.0
17792,1.0,1.0
11422,1.0,1.0
13629,0.9791781308245319,1.0
16546,0.8761625913292768,1.0
10919,0.9791781308245319,1.0
10403,1.0,1.0
16600,0.006321922165647365,0.0
13448,0.9791781308245319,1.0
19064,1.0,1.0
14632,0.9791781308245319,1.0
15552,0.035209555728390074,0.0
14732,0.9791781308245319,1.0
15471,1.0,1.0
11293,0.9791781308245319,1.0
18293,1.0,1.0
14845,1.0,1.0
17765,0.9791781308245319,1.0
13326,1.0,1.0
14764,0.9975928873443771,1.0
10433,0.2761625913292768,0.0
19975,1.0,1.0
15990,0.006321922165647365,0.0
15760,1.0,1.0
16378,0.9975928873443771,1.0
10017,1.0,1.0
19567,0.006321922165647365,0.0
12385,0.9791781308245319,1.0
15067,0.9791781308245319,1.0
19817,0.9791781308245319,1.0
18927,0.29457734784912204,0.0
10639,0.8761625913292768,1.0
11449,1.0,1.0
17289,1.0,1.0
11169,0.9975928873443771,1.0
11952,1.0,1.0
10083,1.0,1.0
17702,1.0,1.0
11260,1.0,1.0
10437,0.9791781308245319,1.0
11875,1.0,1.0
15698,0.9791781308245319,1.0
14891,0.9791781308245319,1.0
10026,0.9791781308245319,1.0
10471,1.0,1.0
18332,1.0,1.0
10896,0.0017145006808065688,0.0
17465,0.9975928873443771,1.0
14639,0.9791781308245319,1.0
19602,1.0,1.0
10070,1.0,1.0
11144,1.0,1.0
11402,1.0,1.0
12815,1.0,1.0
12039,0.9791781308245319,1.0
16619,0.3278537513128698,0.0
11700,1.0,1.0
14702,1.0,1.0
18608,0.9791781308245319,1.0
17485,0.0017145006808065688,0.0
15387,0.9791781308245319,1.0
18534,0.9791781308245319,1.0
10947,1.0,1.0
11091,0.9791781308245319,1.0
16731,0.9791781308245319,1.0
13729,1.0,1.0
10037,0.9791781308245319,1.0
18838,1.0,1.0
16922,0.0017145006808065688,0.0
15947,0.9791781308245319,1.0
14460,0.8017145006808066,1.0
16701,1.0,1.0
14349,0.9791781308245319,1.0
11420,0.9975928873443771,1.0
18535,0.9791781308245319,1.0
18722,1.0,1.0
15912,0.9791781308245319,1.0
12226,0.9791781308245319,1.0
17589,0.9791781308245319,1.0
