,y_hat
15525,False
17328,False
15132,False
16412,False
16873,False
17665,False
13564,False
11673,False
12149,False
17172,False
16089,False
16013,False
17909,False
17852,False
16220,False
15830,False
13512,False
13051,False
15250,False
10360,False
15740,False
16923,False
15610,False
15748,False
12476,False
15839,False
17355,False
10411,False
19785,False
14163,False
15928,False
11575,False
11596,False
10070,False
12599,False
19788,False
15407,False
18057,False
11503,False
11015,False
18119,False
14706,False
13162,False
15895,False
12406,False
11595,False
17759,False
13270,False
16647,False
14744,False
10246,False
19388,False
10055,False
14461,False
19484,False
11962,False
16680,False
10302,False
16273,False
10795,False
15939,False
16288,False
19988,False
15418,False
18175,False
17773,False
10979,False
13440,False
15631,False
19283,False
12985,False
10899,False
18158,False
19977,False
11030,False
11275,False
12451,False
17147,False
19286,False
10636,False
14914,False
19050,False
13732,False
10595,False
16877,False
15113,False
13324,False
19230,False
18472,False
14051,False
13664,False
11115,False
12886,False
16190,False
17843,False
18809,False
13496,False
17823,False
13514,False
13003,False
13362,False
14883,False
13984,False
14715,False
18300,False
19645,False
13046,False
16751,False
13399,False
14796,False
19749,False
10937,False
14253,False
12981,False
14358,False
11934,False
11940,False
17640,False
17612,False
17546,False
15906,False
14296,False
15357,False
16341,False
12316,False
13846,False
13110,False
19124,False
11165,False
17279,False
14274,False
18647,False
13975,False
12786,False
12136,False
19404,False
11394,False
10785,False
19537,False
10125,False
11351,False
11649,False
11864,False
12956,False
10086,False
10949,False
10024,False
17211,False
13586,False
16715,False
12674,False
16142,False
13842,False
13810,False
16862,False
10755,False
16133,False
14370,False
11504,False
17072,False
16432,False
17028,False
19005,False
19034,False
19012,False
17224,False
17469,False
17426,False
10482,False
14425,False
14682,False
19897,False
17163,False
19504,False
17757,False
16021,False
13246,False
11452,False
19664,False
19781,False
18241,False
15274,False
12571,False
16693,False
17771,False
17889,False
13677,False
18292,False
19322,False
12270,False
15391,False
16375,False
18551,False
15371,False
13622,False
12068,False
18846,False
17112,False
13985,False
15167,False
