,y_hat
18233,False
13888,False
12662,False
14719,False
11118,False
10335,False
18663,False
17785,False
11242,False
15531,False
17697,False
12165,False
17057,False
19595,False
10103,False
14731,False
13366,False
14893,False
11847,False
17360,False
18372,False
18608,False
10657,False
14900,False
18207,False
15902,False
18136,False
12325,False
18012,False
15457,False
11920,False
14159,False
12907,False
15733,False
14462,False
13256,False
10360,False
10311,False
15489,False
11711,False
12413,False
13597,False
14218,False
15189,False
10483,False
11964,False
15416,False
18188,False
17594,False
13945,False
16777,False
12014,False
16730,False
11359,False
18725,False
15935,False
16035,False
15000,False
17874,False
13459,False
12540,False
14309,False
14197,False
19654,False
16058,False
10869,False
11312,False
19426,False
11473,False
18672,False
14727,False
13872,False
14782,False
14637,False
18472,False
15082,False
18917,False
18402,False
13589,False
15251,False
12989,False
17898,False
16202,False
12081,False
12798,False
16236,False
18492,False
10777,False
12779,False
17082,False
14929,False
10616,False
12173,False
18681,False
11735,False
18516,False
10357,False
12945,False
10041,False
19332,False
14423,False
13465,False
19442,False
11578,False
10133,False
19694,False
12727,False
13683,False
11520,False
15310,False
18991,False
18561,False
19705,False
15117,False
15679,False
19267,False
18715,False
13375,False
19956,False
18924,False
16639,False
13548,False
19664,False
17769,False
14154,False
12490,False
13152,False
17026,False
18810,False
11474,False
17441,False
16277,False
17804,False
17339,False
17580,False
12898,False
11705,False
19640,False
17021,False
10062,False
18331,False
12347,False
14543,False
17714,False
12024,False
16479,False
13398,False
12855,False
19756,False
12089,False
13141,False
15138,False
14625,False
13070,False
13702,False
18479,False
10204,False
19055,False
19279,False
11889,False
13183,False
14795,False
14319,False
19224,False
11532,False
12272,False
18148,False
18721,False
18351,False
17926,False
16270,False
12239,False
17019,False
16942,False
18341,False
15395,False
12573,False
19611,False
18866,False
18658,False
13358,False
15470,False
10559,False
14678,False
19226,False
14191,False
15647,False
14836,False
18056,False
16554,False
13068,False
16912,False
11791,False
14143,False
19974,False
14744,False
11066,False
10754,False
19333,False
10785,False
