,y_hat
3220,False
3309,False
2755,False
3361,False
3760,False
2429,False
2357,False
3172,False
2784,False
3870,False
2291,False
3588,False
2242,False
2640,False
3519,False
2387,False
2894,False
2993,False
2123,False
3900,False
3840,False
2406,False
2839,False
2905,False
3955,False
2574,False
2488,False
2032,False
3933,False
3190,False
3417,False
3912,False
2148,False
2648,False
3606,False
3644,False
3756,False
3109,False
3803,False
2747,False
2290,False
2219,False
3004,False
3577,False
2196,False
3471,False
3667,False
3604,False
3558,False
3834,False
2979,False
2632,False
3269,False
2834,False
2888,False
3647,False
2584,False
2107,False
2848,False
2308,False
2639,False
2182,False
2984,False
2370,False
2977,False
3131,False
3769,False
2656,False
2910,False
3969,False
3337,False
2218,False
3284,False
3872,False
3210,False
3144,False
2359,False
2341,False
2029,False
3806,False
3401,False
3956,False
2388,False
2887,False
2494,False
2435,False
2441,False
3088,False
2175,False
3444,False
3857,False
3413,False
3973,False
2674,False
3942,False
2300,False
3096,False
3247,False
3392,False
2628,False
2448,False
3740,False
3405,False
2650,False
3328,False
3830,False
3038,False
2547,False
2490,False
2735,False
2339,False
3762,False
3504,False
3823,False
2870,False
3481,False
3070,False
3418,False
3161,False
2011,False
3362,False
2110,False
2129,False
3065,False
3338,False
2141,False
3567,False
3645,False
3651,False
3006,False
3178,False
3847,False
2609,False
2953,False
3652,False
2616,False
3602,False
3860,False
2960,False
2283,False
3957,False
2336,False
2541,False
2793,False
3865,False
2573,False
2523,False
3425,False
2135,False
2264,False
2957,False
3754,False
3329,False
2379,False
2987,False
2504,False
2230,False
2223,False
2906,False
3288,False
2923,False
2665,False
2567,False
3072,False
3474,False
3244,False
2571,False
3055,False
2355,False
2078,False
2149,False
2100,False
2013,False
2807,False
2971,False
2745,False
3685,False
3783,False
2985,False
2941,False
3184,False
3897,False
2502,False
3268,False
2483,False
2021,False
2626,False
2222,False
2670,False
3429,False
2561,False
2752,False
3229,False
3627,False
3451,False
3722,False
2109,False
2176,False
2568,False
3101,False
