,y
3669,0.0
3811,0.0
3849,0.0
3850,0.0
3556,0.0
2985,0.0
3475,0.0
2336,0.0
2873,0.0
3936,1.0
2968,0.0
2208,0.0
2754,1.0
2963,0.0
2833,0.0
3002,0.0
2037,1.0
3215,0.0
2254,0.0
3531,0.0
3317,0.0
2738,0.0
2123,0.0
3208,0.0
2588,0.0
3032,0.0
2814,0.0
2798,0.0
2133,0.0
2267,0.0
3183,0.0
3965,0.0
2457,0.0
2961,0.0
2186,0.0
3580,1.0
3196,0.0
3817,0.0
2793,0.0
2795,0.0
2710,0.0
2834,0.0
3037,0.0
3570,0.0
2721,0.0
2328,0.0
3120,0.0
2874,0.0
3874,0.0
3207,0.0
3246,0.0
3641,0.0
2527,1.0
2387,0.0
3774,0.0
2369,1.0
3489,0.0
2649,1.0
3668,1.0
3048,0.0
3806,0.0
3285,1.0
2181,0.0
2413,1.0
3502,0.0
3396,1.0
2296,0.0
2490,0.0
3006,0.0
2330,0.0
3975,0.0
2591,0.0
3223,0.0
2045,0.0
3569,0.0
3282,0.0
2316,0.0
2191,1.0
2453,0.0
2305,0.0
2768,0.0
2940,0.0
2264,0.0
3275,0.0
3592,0.0
3161,0.0
2660,0.0
2258,1.0
3912,0.0
2952,0.0
2616,0.0
3306,0.0
2299,0.0
3288,0.0
2004,0.0
2200,0.0
2283,0.0
3376,1.0
2335,1.0
2173,0.0
2287,0.0
2917,0.0
3724,0.0
2327,0.0
2638,0.0
3399,0.0
3529,1.0
3679,0.0
3784,0.0
3100,0.0
3084,0.0
3973,0.0
2885,0.0
2340,0.0
3255,1.0
3344,0.0
3461,0.0
3294,0.0
3450,0.0
3727,0.0
3062,0.0
3170,0.0
3547,0.0
2090,0.0
2117,0.0
3949,0.0
3608,0.0
3442,0.0
3861,1.0
3685,0.0
2310,0.0
3770,0.0
2776,0.0
2204,0.0
2008,0.0
3706,0.0
2043,0.0
2995,0.0
2493,0.0
3732,0.0
3790,0.0
3416,0.0
3548,0.0
2443,0.0
3466,0.0
2355,0.0
3885,0.0
2720,0.0
2127,0.0
2931,0.0
3868,0.0
2014,0.0
3220,0.0
3054,0.0
2207,0.0
2061,0.0
2806,0.0
2746,0.0
2621,0.0
3222,0.0
2605,0.0
3939,0.0
3759,0.0
2971,1.0
2567,0.0
3300,0.0
3697,0.0
2763,0.0
2249,0.0
2410,0.0
2600,0.0
2321,0.0
2951,1.0
2519,0.0
2476,0.0
2402,0.0
3413,0.0
3298,0.0
3552,0.0
3698,1.0
2041,0.0
3597,0.0
2718,0.0
2853,0.0
2002,0.0
2981,1.0
2432,0.0
3747,0.0
3448,0.0
3401,0.0
3691,0.0
3088,1.0
2107,0.0
3611,0.0
3165,0.0
2929,0.0
2645,0.0
2005,0.0
2025,0.0
2463,0.0
