,y_hat
3126,False
2150,False
3730,False
3748,False
2349,False
2612,False
3248,False
3808,False
2904,False
2019,False
3270,False
2652,False
3493,False
3528,False
2731,False
2006,False
2600,False
2855,False
2287,False
3110,False
2471,False
2447,False
3866,False
3106,False
3344,False
2260,False
2334,False
2668,False
3058,False
3319,False
2520,False
3772,False
2718,False
3163,False
2716,False
2648,False
3733,False
2922,False
3551,False
2005,False
3832,False
3632,False
2821,False
3874,False
3897,False
3611,False
3447,False
2072,False
3830,False
2253,False
2875,False
2179,False
3875,False
2133,False
3094,False
2379,False
3164,False
3970,False
3374,False
3837,False
3926,False
3721,False
3411,False
3187,False
2356,False
2885,False
2090,False
2314,False
2783,False
3705,False
3502,False
3418,False
3048,False
2529,False
2369,False
2365,False
3492,False
2698,False
3155,False
2106,False
3381,False
2395,False
3034,False
3913,False
2330,False
3480,False
2075,False
2807,False
2853,False
2914,False
3054,False
2804,False
2833,False
2107,False
2261,False
2896,False
2760,False
2418,False
3306,False
2457,False
2806,False
2640,False
3588,False
3793,False
2375,False
3718,False
2670,False
3488,False
3586,False
2736,False
2188,False
3393,False
2763,False
2918,False
2832,False
3676,False
3231,False
2109,False
2155,False
2455,False
3901,False
2496,False
2588,False
2727,False
2437,False
3651,False
2851,False
3639,False
2016,False
3784,False
2299,False
3475,False
2340,False
3619,False
2181,False
2615,False
3440,False
3731,False
2408,False
2276,False
3774,False
2057,False
2030,False
3161,False
2070,False
2118,False
2554,False
3841,False
3027,False
3309,False
3104,False
3147,False
2169,False
2476,False
3581,False
3691,False
2860,False
3399,False
3984,False
2350,False
2946,False
3057,False
2963,False
2538,False
3328,False
2092,False
3349,False
2355,False
3912,False
2249,False
3809,False
2732,False
3580,False
3980,False
3565,False
2318,False
3234,False
3208,False
2012,False
2536,False
3037,False
3697,False
2621,False
3285,False
3162,False
2208,False
3657,False
2983,False
3706,False
2025,False
2575,False
3860,False
2296,False
2239,False
2562,False
3070,False
3345,False
3413,False
2629,False
3136,False
