,x1,x2,x3
2785,-0.10660462,0.24144177,-0.0376001
2879,0.11036001,-0.371182,0.16014555
3796,-0.03275454,0.08622568,0.11500181
3763,-0.49791864,-0.04377241,0.21466914
3850,-1.4708384,-1.5091228,1.3449262
3061,0.45710373,-0.8773577,0.27308932
3348,-0.28292775,-1.0946736,0.70941836
2504,0.16609071,-0.46495092,0.18237785
2600,-0.57621884,-0.24545479,0.33986184
2718,-0.5377659,0.23792344,0.1020306
3714,-0.30261767,0.4043643,0.1677821
2269,-0.36724934,-0.7489891,0.53614837
3296,-0.16555637,-0.3624796,0.2578315
2020,-0.33061808,0.28479388,-0.00019365922
3358,-0.7602202,0.70351243,-0.04898563
3009,0.28004283,-0.25221407,0.063308954
2757,0.074213594,-0.21367493,0.0719334
2601,-0.7412826,0.15660858,0.234641
3342,-0.6847908,-0.9932864,0.76175785
2172,-0.5125671,0.44588453,0.056858324
2180,-0.24933214,0.3961925,0.13672148
3536,0.18353267,-0.37551808,0.16353312
2638,-0.15979385,0.23431015,0.08313026
3952,0.18838486,-0.22035223,0.08888688
2510,-0.40507647,-1.5016131,0.9804481
2946,0.19718146,-0.106484205,0.15046361
2430,-0.7067838,0.7909585,-0.06049858
2290,0.31997687,-0.020937681,0.09354378
2187,0.1247232,-0.041220717,0.026245642
3389,-0.35025415,0.2321612,0.21423283
2432,0.14326471,-1.6342609,0.7433607
3501,-0.68738973,-0.6027147,0.56683356
3214,0.09157466,-0.30132458,0.114794515
2439,-1.9141523,0.10866652,0.728646
3224,-0.23966284,0.23325017,0.06619854
3247,0.40162382,-0.24459007,0.17347209
3803,0.5443066,-0.46490437,0.15289068
3065,0.23111245,-0.06422576,0.13796838
2164,-0.5865791,0.523352,-0.011058021
2744,0.23789407,-0.41504377,0.1450596
3176,-0.8015814,-1.3857993,1.0368297
2632,-0.49183112,0.47265524,-0.020127136
2465,-0.5214116,0.7158521,0.08118937
3173,-0.7046043,0.54838127,0.07554962
2449,-0.2537064,0.17696911,0.03206239
2024,0.12829134,-0.76682615,0.31503624
3574,-0.20503935,-0.04460144,0.10609331
2227,-0.5850832,-0.5787452,0.5293715
3132,0.24984097,-0.24915262,0.11543367
3005,-0.3411352,0.18504015,0.043328077
2759,-1.2067447,-0.61393297,0.8025963
2262,-0.5883331,-0.36443403,0.41486475
3036,-0.041226108,0.021580677,0.019126985
3513,0.48016426,-0.4664283,0.20878486
3109,-0.7090636,-0.13521707,0.4230114
2617,0.42356443,-0.8353585,0.24031137
2533,0.3107761,-0.13416764,0.15768175
2171,-0.97310656,-0.39796877,0.6297311
3719,-1.1716706,-0.4187783,0.75175464
2749,-1.8270184,-1.5508735,1.5810698
3207,-0.32581478,0.4745198,0.14078707
2651,-0.636132,-0.06871778,0.30287552
2142,0.34253943,-1.039751,0.381433
3709,-0.8866708,-2.203728,1.4648627
3906,-0.3767188,0.4768316,-0.048444174
2505,0.5096526,-0.71830577,0.13933754
2050,0.3630645,-0.31037816,0.043805465
2182,-1.4240572,-1.469586,1.3489301
2225,-0.7319201,0.7011169,-0.052610025
2447,0.5844649,-0.6574305,0.07950233
3888,0.32987133,-0.4912108,0.0914773
3935,0.29221234,-0.13777275,0.05708739
2157,0.037378956,-0.07633576,0.046287876
2720,0.13791244,-1.1724225,0.53165656
3943,0.36230594,-0.6863794,0.19507761
2862,0.02013895,-1.5517148,0.8285905
3738,-1.1449726,-1.9778712,1.4473854
3767,-2.0448666,-0.9034506,1.273
2662,-0.21611872,0.24889094,0.05272913
3615,-0.89722514,-0.7308269,0.74255913
2761,-0.16111144,0.30961764,0.119747646
2205,-0.5620543,0.48223948,0.0049323663
3920,-1.5246435,-2.2244124,1.7332419
2088,-0.42325276,0.27685088,0.07759724
2953,-1.1101446,-0.7654725,0.8319421
2888,0.7919319,-0.55544215,0.30177552
2793,-0.1496002,0.23576282,0.018546924
2128,-0.4011353,0.28338507,0.03509985
3942,-0.5579389,-1.3950785,0.9256078
2614,-0.14434466,0.40499982,0.02627875
3771,-0.29006213,-0.89163077,0.56770474
2342,0.1242816,-0.09984048,0.010144831
3797,0.20282984,-0.12816766,0.22963484
3169,-1.3755944,-1.3475136,1.2264509
3349,0.0680059,-0.36942667,0.13933197
