,x1,x2,x3
2785,0.2,1.8,-0.0
2879,0.0,0.1,0.4
3796,0.5,-0.0,-0.0
3763,0.4,1.3,2.4
3850,0.2,0.5,4.9
3061,-0.0,0.4,1.1
3348,0.0,0.0,2.2
2504,-0.0,0.0,0.5
2600,0.2,-0.0,1.6
2718,0.3,0.0,0.9
3714,0.5,-0.0,-0.0
2269,-0.0,0.0,1.7
3296,0.5,-0.0,1.8
2020,-0.0,0.9,0.0
3358,0.1,1.7,-0.0
3009,0.2,1.0,0.0
2757,-0.0,0.0,0.2
2601,0.5,-0.0,1.8
3342,0.0,0.0,2.5
2172,0.1,0.0,0.0
2180,0.8,-0.0,-0.0
3536,0.3,0.0,0.9
2638,0.5,0.0,0.0
3952,0.4,0.0,0.9
2510,0.1,0.5,3.4
2946,1.0,-0.0,0.0
2430,0.0,2.1,-0.0
2290,1.0,-0.0,0.0
2187,0.6,-0.0,1.3
3389,0.9,0.0,0.0
2432,0.1,0.8,3.2
3501,0.1,1.8,3.8
3214,0.0,0.0,0.4
2439,0.1,4.1,6.7
3224,0.2,1.4,-0.0
3247,0.4,0.0,0.0
3803,0.3,0.0,0.0
3065,0.4,-0.0,0.0
2164,0.1,-0.0,0.0
2744,0.0,0.0,0.2
3176,0.0,0.0,3.2
2632,0.5,0.0,-0.0
2465,0.8,-0.0,-0.0
3173,-0.0,-0.0,0.3
2449,0.1,-0.0,-0.0
2024,0.4,0.0,1.8
3574,0.6,-0.0,1.4
2227,0.1,0.2,2.0
3132,1.0,1.3,0.0
3005,0.5,1.4,-0.0
2759,0.1,0.0,2.8
2262,0.4,0.0,2.1
3036,0.2,0.0,-0.0
3513,0.1,0.0,0.0
3109,0.1,-0.0,1.6
2617,-0.0,0.1,0.8
2533,0.2,-0.0,0.0
2171,0.8,-0.0,3.7
3719,0.6,0.0,3.6
2749,0.1,-0.0,5.1
3207,0.2,-0.0,0.0
2651,2.0,0.0,5.0
2142,0.0,0.1,1.3
3709,0.1,1.3,5.9
3906,1.1,0.0,2.1
2505,0.2,0.8,1.5
2050,0.0,0.0,0.1
2182,0.1,-0.0,4.5
2225,1.6,3.1,0.0
2447,0.2,-0.0,0.0
3888,-0.0,-0.0,0.4
3935,0.4,1.3,-0.0
2157,0.3,-0.0,-0.0
2720,0.1,-0.0,1.8
3943,-0.0,0.1,0.7
2862,0.5,-0.0,3.1
3738,1.0,0.7,6.1
3767,0.6,2.9,7.8
2662,0.1,-0.0,0.0
3615,0.5,-0.0,3.2
2761,0.6,-0.0,0.0
2205,0.2,0.0,-0.0
3920,0.2,-0.0,5.9
2088,0.7,-0.0,1.6
2953,0.2,1.2,4.0
2888,1.3,0.0,-0.0
2793,0.1,0.0,0.0
2128,0.4,0.9,-0.0
3942,0.4,-0.0,3.9
2614,0.4,-0.0,0.0
3771,1.3,0.0,4.3
2342,0.7,1.8,0.0
3797,0.2,-0.0,-0.0
3169,0.0,0.9,5.0
3349,0.0,0.1,0.4
2724,2.0,-0.0,2.2
3792,0.8,0.0,1.8
3319,0.3,0.0,1.0
2331,0.7,-0.0,-0.0
2358,0.0,2.1,5.5
2593,1.0,-0.0,-0.0
2312,0.5,0.0,0.8
2968,0.0,-0.0,1.2
3127,0.5,-0.0,3.5
3675,0.3,0.4,-0.0
3096,0.6,2.0,0.0
2109,-0.0,0.1,4.1
2268,0.6,-0.0,-0.0
2852,1.4,0.0,3.1
3686,0.5,0.8,3.3
2891,1.0,0.0,2.5
3153,0.6,-0.0,1.4
2491,0.8,-0.0,-0.0
3995,0.1,1.4,-0.0
3230,1.0,0.0,6.1
3957,0.8,0.0,0.0
2739,0.0,0.0,0.5
2168,-0.0,0.4,3.4
2435,0.0,0.5,0.7
3502,0.1,-0.0,0.9
3461,0.1,0.0,0.4
3808,0.0,0.0,0.9
2495,1.5,0.0,3.3
2265,0.8,-0.0,-0.0
3759,0.0,-0.0,0.3
3326,0.2,0.0,0.0
2195,-0.0,0.6,5.8
3628,0.7,0.0,5.1
2835,2.1,0.0,-0.0
2512,-0.0,0.7,3.6
2894,0.5,0.0,1.2
3376,0.1,0.1,2.8
3017,0.5,-0.0,2.3
2918,0.1,0.2,0.0
2878,1.1,0.0,-0.0
3948,1.0,-0.0,-0.0
2259,0.6,-0.0,2.8
2714,0.4,0.0,0.0
3859,-0.0,-0.0,0.1
2742,0.0,0.1,3.3
2751,0.1,0.0,0.6
3491,-0.0,0.0,2.9
2366,-0.0,0.0,0.7
2834,0.1,0.2,3.3
2781,0.3,0.7,4.3
2364,0.2,0.1,0.6
2747,0.5,-0.0,0.0
2845,0.4,0.0,1.0
3167,0.1,-0.0,0.0
2351,0.9,0.0,1.4
2970,0.2,-0.0,0.0
3503,0.8,0.0,-0.0
3011,0.6,0.0,1.9
3241,0.0,0.2,4.7
2012,1.3,-0.0,1.9
2642,0.7,0.0,2.1
3861,0.1,0.0,1.6
2219,0.5,-0.0,4.8
2318,0.1,-0.0,-0.0
2678,0.1,-0.0,0.2
3249,0.0,0.1,0.5
2310,-0.0,0.9,5.4
2692,1.4,0.0,-0.0
3080,0.4,0.0,4.1
2058,0.2,-0.0,0.0
3693,0.0,0.0,4.5
3988,0.1,0.4,4.3
2926,0.0,2.1,4.3
3979,0.2,0.0,2.6
3655,-0.0,0.2,-0.0
2398,0.1,0.2,-0.0
2582,1.1,-0.0,0.0
2956,0.0,1.9,4.3
3023,0.3,0.9,6.1
3470,0.0,0.0,0.4
2836,1.7,2.8,7.6
3178,2.1,0.0,4.0
2103,0.9,-0.0,-0.0
2349,0.1,-0.0,0.0
2944,0.0,0.3,0.0
2989,0.5,0.0,5.2
3688,0.9,2.1,-0.0
3429,0.4,1.1,4.9
3667,0.2,0.0,0.0
3801,1.3,0.0,2.5
2516,0.1,1.8,-0.0
2588,0.4,0.0,-0.0
2833,1.7,-0.0,7.2
2001,0.3,-0.0,-0.0
3678,0.6,0.0,0.0
2634,0.7,0.0,1.5
2745,1.2,0.0,5.8
2519,0.4,-0.0,3.0
3493,0.8,1.2,6.2
3468,0.6,1.1,0.0
3756,-0.0,-0.0,2.5
2497,0.1,0.0,-0.0
3525,0.0,0.6,2.4
3799,0.3,-0.0,0.0
3830,0.1,0.4,-0.0
