,y
2638,0.0
3715,1.0
3484,0.0
3469,1.0
3816,1.0
3684,1.0
3066,1.0
3712,1.0
2108,1.0
2005,0.0
2883,1.0
3737,1.0
2662,0.0
2474,1.0
3143,0.0
3618,1.0
2559,1.0
2593,1.0
2505,1.0
3385,1.0
2158,1.0
2030,1.0
3067,1.0
2675,1.0
2800,1.0
2482,1.0
2114,1.0
2350,1.0
2685,1.0
3467,1.0
3770,1.0
2616,1.0
3023,1.0
3151,1.0
3180,1.0
2051,0.0
3937,1.0
3402,1.0
3083,0.0
3449,1.0
3681,1.0
2586,1.0
2156,1.0
2442,0.0
3956,1.0
3147,1.0
2552,1.0
3027,1.0
3641,0.0
3445,1.0
2959,0.0
3118,1.0
2073,1.0
2394,0.0
3529,1.0
2098,1.0
2555,1.0
2897,1.0
3818,1.0
2413,1.0
2687,1.0
2843,0.0
2341,1.0
3688,1.0
2110,1.0
3034,1.0
3218,1.0
3531,1.0
2792,0.0
2929,1.0
2834,1.0
2189,1.0
2844,1.0
2613,1.0
3026,1.0
3419,1.0
2903,1.0
3479,0.0
3833,1.0
2001,1.0
2889,1.0
3134,1.0
2276,1.0
3719,0.0
2983,1.0
2863,1.0
3343,0.0
2565,1.0
2105,0.0
3813,1.0
3543,1.0
2703,1.0
2994,1.0
2323,1.0
2794,0.0
2204,1.0
3122,1.0
3851,1.0
2658,1.0
2726,0.0
2636,0.0
3910,1.0
3415,0.0
2119,1.0
2871,0.0
3622,1.0
3206,0.0
2096,1.0
3539,1.0
2039,1.0
2522,1.0
3202,1.0
3703,1.0
2779,1.0
3677,1.0
3224,1.0
2718,1.0
3022,1.0
3732,0.0
3499,1.0
2838,1.0
3406,1.0
3248,1.0
2187,1.0
2705,0.0
2025,1.0
3408,1.0
2221,1.0
2372,1.0
3373,1.0
2256,0.0
3778,1.0
3915,1.0
2244,0.0
2335,1.0
2947,1.0
3234,1.0
3161,1.0
3339,1.0
2164,1.0
3082,1.0
3888,1.0
3102,0.0
2192,1.0
3086,1.0
3382,1.0
2757,1.0
2222,1.0
2207,1.0
3925,1.0
2263,1.0
2082,1.0
3063,1.0
2888,1.0
3501,1.0
3591,1.0
2246,1.0
3458,0.0
2679,1.0
3154,1.0
2796,1.0
3743,1.0
2574,1.0
3926,1.0
2996,1.0
2667,1.0
2817,0.0
2819,1.0
2358,1.0
2188,1.0
2815,0.0
2928,1.0
3599,1.0
3752,1.0
2417,0.0
3457,1.0
2012,1.0
3948,1.0
2154,1.0
2178,0.0
3707,1.0
3967,0.0
3150,1.0
2656,1.0
2420,1.0
2135,1.0
3923,1.0
3478,1.0
2748,1.0
3301,1.0
2090,1.0
2991,1.0
2274,1.0
2702,0.0
3773,1.0
3782,1.0
2788,1.0
3946,1.0
3667,1.0
2113,1.0
