,x1,x2,x3
3791,0.2992515,0.29160964,-0.15722765
2942,-0.62211585,0.71752214,-0.062483378
3370,0.7153647,-0.19720733,0.663793
2823,0.3926703,0.8310315,1.2660307
3741,1.1176871,-0.35235175,-2.0071871
2653,0.27460194,0.10176035,0.28551704
3615,1.0607929,-0.42709893,-1.5782415
2928,-0.26105464,0.79776835,-1.1908954
2163,-0.14595583,0.27382618,0.1000628
3367,0.6189533,0.18504024,-1.9609755
2540,0.94682693,0.058327843,0.87791705
3189,0.73262596,-0.29004714,0.34956044
3047,1.0197396,0.26784348,-3.264255
3837,0.49618065,0.47118297,-1.9581541
2691,-0.06354569,0.41889536,-0.011701608
3196,0.32110873,0.009223813,0.39280474
2431,0.28134182,0.0022702336,0.35349917
2625,1.0295448,-0.17633876,-2.1478953
3771,0.60117185,0.53897095,-2.827737
2388,1.1167073,-0.32033485,-2.0516343
3067,0.39313427,0.34653395,-1.8243432
3921,0.61660194,-0.2269049,0.4111934
3970,1.0717775,0.124431275,-2.9849575
3520,0.2718272,-0.24161334,0.012125611
3688,0.7036579,0.23656516,-2.32468
3407,0.19504401,0.46367216,0.61033416
3915,1.0434793,-0.3884194,-1.6392343
2044,0.4472194,-0.22703473,0.17007522
2874,0.54508793,-0.51108587,-0.12312963
2218,0.13111961,0.032657694,-0.34610993
3451,-0.014692187,0.27949935,-0.5384034
2931,1.0186695,-0.6164242,0.40081057
2376,0.5702774,-0.35131618,-0.5532701
3288,-0.03372897,0.39472544,-0.73002666
2415,-0.1523802,0.30414343,0.122991726
2668,0.46576837,0.61988544,-0.48096552
3908,0.40194535,-0.21969101,-0.43340743
3777,0.27634686,0.271057,0.47004044
3630,-0.016597223,1.5084157,1.4270215
2133,0.306086,0.8733937,-2.8492057
2238,0.097343355,0.07584889,-0.34397942
2948,0.4787375,0.09202526,0.6031511
2140,0.722824,0.14136109,-2.1701624
3100,0.85075974,-0.38781857,-1.0721177
3327,0.18845394,1.1456486,-0.5488892
3810,0.54970723,1.8364036,2.2633126
2913,1.3573172,-0.14783058,-3.0926318
2684,0.90784466,-0.5111392,-1.0710431
3616,-0.03803563,0.584406,-1.2704009
2090,0.43261954,0.2344821,-1.6349417
2753,1.0613164,0.49527007,1.8428571
3157,0.45427233,-0.02442975,0.5302178
3385,0.11040067,0.39250854,0.5058249
2836,-0.021824718,0.50626117,-1.0765259
3577,0.365149,-0.019428361,-0.61604077
2785,-0.18487953,0.34375346,0.033925585
3106,1.3184972,0.4102179,-4.3652697
3669,0.29393685,-0.0009848357,-0.70356876
3365,0.59983957,0.25013608,-2.1121671
3831,0.45258665,1.2647984,1.6817409
2864,-0.0688112,0.41708133,0.31626958
2600,0.23338509,0.032722127,-0.6262023
2228,1.5330462,-0.65864384,-2.2957752
3015,1.2323382,-0.2771721,-2.4643283
3079,0.57127744,0.60362005,1.0823814
3119,1.4837981,-0.3893447,-2.7854455
2730,0.8220191,-0.17912336,-1.6536435
