ix,goal_cost,intv_cost
2032,1.0,5.0
2852,1.0,2.4
3917,1.0,0.8999999999999999
3886,1.0,3.5
2084,1.0,4.5
2286,1.0,4.1
2899,1.0,0.30000000000000004
2757,1.0,0.2
3047,1.0,0.30000000000000004
2541,1.0,5.5
2971,1.0,6.699999999999999
2723,1.0,6.7
2742,1.0,4.6
2454,1.0,4.0
3738,1.0,3.8
3386,1.0,0.9
3739,1.0,0.2
3828,1.0,4.1
3805,1.0,1.9
2256,1.0,9.100000000000001
2111,1.0,2.3
3633,1.0,1.0
2609,1.0,4.2
3176,1.0,0.7
2303,1.0,0.7999999999999999
2419,1.0,2.2
3863,1.0,0.1
3193,1.0,1.2000000000000002
3444,1.0,4.1
2393,1.0,0.5
3736,1.0,3.6
2058,1.0,4.8
3552,1.0,10.2
3402,1.0,1.6
2901,1.0,2.5
3813,1.0,5.2
3506,1.0,3.0999999999999996
3642,1.0,2.5
3538,1.0,3.1999999999999997
3693,1.0,9.1
2575,1.0,3.5
2339,1.0,1.6
3447,1.0,0.30000000000000004
2776,1.0,0.6000000000000001
2635,1.0,3.6999999999999997
3580,1.0,0.4
3088,1.0,5.1
3593,1.0,1.6
2873,1.0,2.7
3031,1.0,0.4
2735,1.0,0.6
2157,1.0,2.1
3895,1.0,2.5
3639,1.0,4.4
2416,1.0,4.2
3757,1.0,0.5
2307,1.0,1.6
3341,1.0,0.7
2833,1.0,2.9
2410,1.0,6.9
3721,1.0,3.4
3167,1.0,1.3
3591,1.0,1.0
3995,1.0,3.3
3932,1.0,10.0
3861,1.0,4.4
3626,1.0,7.8
2492,1.0,1.5
3904,1.0,8.1
2520,1.0,3.4
2088,1.0,0.30000000000000004
3336,1.0,1.0
3308,1.0,0.7
3156,1.0,2.0
3958,1.0,2.1
2156,1.0,2.7
2715,1.0,2.1
2204,1.0,1.9000000000000001
2908,1.0,3.9
2922,1.0,4.8
3774,1.0,2.7
2738,1.0,3.6
3673,1.0,0.2
2859,1.0,3.4000000000000004
3526,1.0,1.7
2309,1.0,3.5
3631,1.0,2.0
2428,1.0,7.6000000000000005
3752,1.0,1.3
2430,1.0,3.7
2539,1.0,0.2
2881,1.0,3.3
3482,1.0,4.9
2030,1.0,4.9
2223,1.0,2.2
2276,1.0,3.2
2781,1.0,1.9
2861,1.0,0.9
2189,1.0,3.9
2162,1.0,1.5
3832,1.0,0.9
2079,1.0,3.0
2016,1.0,4.1
2642,1.0,6.3
2958,1.0,1.7
3146,1.0,2.9
3933,1.0,1.2
3568,1.0,2.5
3133,1.0,0.9
3222,1.0,3.9
2261,1.0,7.1
3391,1.0,4.9
3296,1.0,1.5999999999999999
3344,1.0,3.5
2582,1.0,0.2
3847,1.0,2.8
2043,1.0,5.4
2317,1.0,2.8
3177,1.0,5.1
2841,1.0,6.2
3366,1.0,2.3
3203,1.0,5.0
3801,1.0,3.0
2678,1.0,1.8
3101,1.0,1.1
3123,1.0,3.0
2015,1.0,0.6000000000000001
3285,1.0,1.1
3915,1.0,3.2
3525,1.0,3.0
3497,1.0,3.0
2486,1.0,1.0
3450,1.0,3.5
2152,1.0,3.4
3095,1.0,0.30000000000000004
3582,1.0,1.5999999999999999
3242,1.0,8.7
2818,1.0,5.4
2267,1.0,5.2
3082,1.0,2.1
3881,1.0,4.6
2278,1.0,10.5
2690,1.0,1.0
3611,1.0,2.3
2483,1.0,1.1
2251,1.0,0.6
3678,1.0,0.5
2158,1.0,0.8
2491,1.0,7.6000000000000005
3586,1.0,2.9
3159,1.0,2.6
2324,1.0,1.9000000000000001
2181,1.0,3.6
2382,1.0,6.1
2525,1.0,1.5999999999999999
3900,1.0,3.9
2404,1.0,4.0
2294,1.0,1.3
2257,1.0,7.6
2903,1.0,1.3
2026,1.0,3.6
2496,1.0,1.9
2522,1.0,5.8
3891,1.0,0.8999999999999999
2955,1.0,0.5
2987,1.0,2.5
3416,1.0,4.0
2570,1.0,4.6
2284,1.0,8.0
2801,1.0,0.7
3090,1.0,6.300000000000001
3388,1.0,5.7
3302,1.0,2.5
3503,1.0,1.5
2381,1.0,4.0
3860,1.0,3.7
3943,1.0,0.9
3292,1.0,3.0
3442,1.0,3.0999999999999996
3313,1.0,0.7
2398,1.0,0.9
3747,1.0,5.5
2230,1.0,5.4
3212,1.0,3.7
2934,1.0,2.6
2408,1.0,2.1
3734,1.0,5.2
3301,1.0,4.3
2811,1.0,4.8
2675,1.0,0.7
2942,1.0,0.2
3375,1.0,9.600000000000001
3293,1.0,3.1
2512,1.0,1.0
2765,1.0,2.5
2560,1.0,7.3
3357,1.0,1.3
3083,1.0,1.1
3178,1.0,0.2
2902,1.0,9.6
