,y_hat
3829,False
3095,False
3444,False
3172,False
3621,False
3987,False
2095,False
3170,False
3499,False
3538,False
2530,False
3005,False
2179,False
2823,False
3408,False
2411,False
3925,False
3594,False
2381,False
3176,False
2015,False
3712,False
2406,False
3351,False
2575,False
3935,False
3093,False
2392,False
2341,False
3692,False
3357,False
3371,False
3722,False
3124,False
2079,False
2706,False
2993,False
2118,False
2117,False
2858,False
3339,False
2371,False
3831,False
2597,False
2648,False
3411,False
3358,False
2003,False
3366,False
2153,False
2517,False
3519,False
2931,False
3814,False
2061,False
3677,False
2442,False
3257,False
3529,False
2925,False
3803,False
3515,False
2047,False
2481,False
3048,False
3671,False
3666,False
2652,False
2486,False
2283,False
2534,False
2255,False
2027,False
2747,False
2500,False
3552,False
3608,False
3407,False
2314,False
2505,False
2850,False
3453,False
2983,False
3022,False
2783,False
2327,False
2504,False
3234,False
2172,False
2213,False
3710,False
2863,False
3047,False
2339,False
3053,False
3748,False
2270,False
2349,False
3073,False
3544,False
2013,False
3617,False
3306,False
3387,False
2540,False
2307,False
3481,False
3739,False
2557,False
3179,False
2173,False
2217,False
3614,False
3206,False
2005,False
2461,False
3798,False
3507,False
2236,False
2802,False
2594,False
3078,False
2847,False
2550,False
3886,False
3737,False
3177,False
3502,False
2589,False
3820,False
3661,False
3418,False
3384,False
3049,False
3021,False
3261,False
2306,False
3939,False
2579,False
2367,False
3625,False
2705,False
3225,False
3899,False
3262,False
2813,False
2103,False
3201,False
3982,False
3966,False
2758,False
3556,False
2649,False
2328,False
3260,False
3135,False
3134,False
3077,False
2572,False
3955,False
3417,False
3283,False
2468,False
2827,False
2716,False
3586,False
3457,False
3638,False
3231,False
2746,False
3908,False
3885,False
3409,False
2316,False
3774,False
3622,False
3142,False
3646,False
3447,False
2106,False
2933,False
2740,False
3325,False
2796,False
2982,False
3954,False
3876,False
3331,False
2928,False
2837,False
2185,False
2162,False
3437,False
2178,False
3569,False
3250,False
2288,False
3878,False
3194,False
3102,False
